;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise, midpoint;human noise, endpoint
market for glider, passenger car;0.250972317;6.172562427;1.812673437;0.874601443;0.005599413;8.721504779;0.490613059;0.754522628;0.007471893;3.087877312;0.000872162;3.81E-07;0.019039569;0.028579244;0.027693155;0.001483338;0.092189953;0.027957225;0;0
Glider lightweighting;-0.014666106;-2.63338028;-0.682808737;0.064386291;9.05E-05;2.441228225;-0.052114342;0.061153323;-0.002465191;0.685217884;-0.000292571;-1.74E-07;-0.009258618;-0.015449361;-0.009259376;7.51E-05;-0.032726351;-0.001997247;0;0
maintenance, passenger car;57.20160823;1033.209196;447.7164073;72.05284247;0.499453413;687.683147;210.0095594;63.93831307;0.84441669;101.2034168;0.205949062;0.000119809;1.628129589;3.746450598;4.435544945;0.083941095;6.795332734;3.06406941;0;0
market for manual dismantling of used electric passenger car;0.004521513;0.00947776;0.002333844;0.000197942;2.82E-06;0.004178482;0.000436241;0.000164633;1.56E-05;0.001707433;1.23E-05;7.29E-10;3.19E-05;4.29E-05;7.45E-05;1.61E-06;0.00086838;2.70E-05;0;0
market for manual dismantling of used passenger car with internal combustion engine;0.004521513;0.00947776;0.002333844;0.000197942;2.82E-06;0.004178482;0.000436241;0.000164633;1.56E-05;0.001707433;1.23E-05;7.29E-10;3.19E-05;4.29E-05;7.45E-05;1.61E-06;0.00086838;2.70E-05;0;0
market for charger, electric passenger car;1.078811649;28.23042088;7.710151801;2.57990827;0.062142172;105.7654363;2.550837914;2.638835432;0.042674897;26.72617554;0.004760885;2.01E-06;0.093676738;0.130476602;0.208248818;0.01285889;0.590148019;0.165442527;0;0
market for converter, for electric passenger car;1.555778436;40.78062591;10.85389072;3.777960066;0.100766124;165.8157018;3.49686386;3.679109865;0.05696954;30.66796133;0.006541468;3.14E-06;0.120040793;0.183371965;0.268595047;0.011935883;0.886571152;0.230772303;0;0
market for electric motor, electric passenger car;0.295228266;8.359738898;2.404918605;0.832638592;0.016649253;32.75343498;0.562025106;0.823654317;0.013189996;8.253268321;0.001310956;5.73E-07;0.038555626;0.038935529;0.082667152;0.002586476;0.136581919;0.038030138;0;0
market for inverter, for electric passenger car;1.672246983;44.29123552;12.12289664;4.647771113;0.125582388;208.6378975;4.2213102;4.620971139;0.069217989;36.9613961;0.007779242;3.68E-06;0.141595028;0.213720859;0.316099454;0.010177452;1.101188424;0.265995633;0;0
market for power distribution unit, for electric passenger car;1.634085184;51.09136058;14.30925437;7.289550723;0.207885185;347.8478617;5.631727421;6.925913246;0.090137178;44.80696743;0.009466081;5.16E-06;0.178214591;0.231247809;0.405424928;0.014085979;1.527743311;0.383677039;0;0
market for used powertrain from electric passenger car, manual dismantling;0.004529386;0.052207137;0.002551633;0.008334608;3.16E-06;0.044965674;0.000457177;0.005926494;2.29E-05;0.001747265;1.24E-05;8.07E-10;3.54E-05;5.67E-05;8.30E-05;3.67E-05;0.000879544;5.52E-05;0;0
market for internal combustion engine, passenger car;0.206830716;7.566135986;2.151365652;2.266100239;0.004632632;7.117328867;0.500763302;1.941641666;0.008801133;2.66445853;0.000975391;6.65E-07;0.02338084;0.033632328;0.04958027;0.001393783;0.09685165;0.028341935;0;0
market for internal combustion engine, passenger car;0.206830716;7.566135986;2.151365652;2.266100239;0.004632632;7.117328867;0.500763302;1.941641666;0.008801133;2.66445853;0.000975391;6.65E-07;0.02338084;0.033632328;0.04958027;0.001393783;0.09685165;0.028341935;0;0
Ancillary BoP;0.439378851;7.418006455;2.461271003;0.721536857;0.020315567;37.26899955;0.707794808;0.720781791;0.012669461;30.83227851;0.001250093;9.66E-07;0.030208124;0.036119466;0.067242716;0.002200494;0.174365596;0.04490057;0;0
Essential BoP;0.176551772;6.066231613;2.218508795;0.221817972;0.002623743;2.989561784;0.382999574;0.183280081;0.006514908;2.171391361;0.000749182;7.61E-07;0.017513801;0.025907369;0.026662716;0.000783046;0.082922454;0.02339976;0;0
Stack 2020;0.339616253;15.34487094;4.349092692;0.695916593;0.015290068;22.99875328;0.935750416;0.636059905;0.017057391;21.16223115;0.001545577;8.22E-05;0.093826495;0.068834244;0.355375173;0.000911715;0.150593681;0.066428451;0;0
Battery BoP;0.495950189;11.54015505;3.153027826;0.601138033;0.012654008;20.74079054;0.639403117;0.580195511;0.015617395;6.224465613;0.002039195;5.71E-07;0.033595064;0.046881496;0.070934833;0.001499563;0.214011285;0.054852951;0;0
Battery cell;1.017139602;28.72221966;8.658770099;1.459879988;0.043100079;75.1414777;3.846633797;1.495884865;0.040380578;22.22544591;0.004079208;1.61E-06;0.143335104;0.115460332;0.415352647;0.005300874;0.409005603;0.558940133;0;0
market group for electricity, medium voltage;0.017055437;0.726696869;0.204730375;0.009981139;0.000406241;0.295911811;0.112299057;0.009140113;0.000717794;0.006758987;7.48E-05;3.30E-08;0.001935501;0.001887874;0.003023318;2.74E-05;0.004997301;0.002916515;0;0
market group for electricity, medium voltage;0.017055437;0.726696869;0.204730375;0.009981139;0.000406241;0.295911811;0.112299057;0.009140113;0.000717794;0.006758987;7.48E-05;3.30E-08;0.001935501;0.001887874;0.003023318;2.74E-05;0.004997301;0.002916515;0;0
market for heat, central or small-scale, natural gas;0.000158353;0.075984635;0.030332248;0.000200439;3.15E-06;0.003698726;0.000700816;0.000181833;1.91E-05;0.000827252;1.55E-05;9.61E-09;2.65E-05;7.71E-05;6.31E-05;1.14E-06;7.35E-05;1.89E-05;0;0
polyethylene production, high density, granulate;0.000181438;1.928779947;1.703234535;0.002094353;2.78E-05;0.021946957;0.000523201;0.001681627;0.001275055;0.001455477;-4.80E-07;1.15E-09;0.001977469;0.008640915;0.00592755;7.07E-06;0.000191862;0.001105235;0;0
glass fibre reinforced plastic production, polyamide, injection moulded;0.242704508;8.462507168;2.913873758;0.030837956;0.000889662;0.638906897;0.392606453;0.025364254;0.011709875;0.031632002;0.000214444;1.63E-07;0.010136949;0.02060534;0.029006403;8.58E-05;0.011256258;0.004862109;0;0
