;;carcinogenic substances into air;energy resources;global warming;heavy metals into air;heavy metals into soil;heavy metals into water;land use;main air pollutants and PM;mineral resources;non radioactive waste to deposit;ozone layer depletion;pesticides into soil;POP into water;radioactive substances into air;radioactive substances into water;radioactive waste to deposit;water pollutants;water resources;noise
;;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP
_lci_car_maintenance;maintenance, passenger car;84308.05016;78254.11086;477659.3367;170511.6776;4135.859156;81347.20713;3631.534803;252618.0814;1021277.619;98550.19522;883.7039407;13.18928228;14813.28123;0.016709187;765.9197919;68990.21412;38956.02612;5847.024839;0
_lci_direct_brake_wear;market for brake wear emissions, passenger car;-3.211000035;0;0;-267526.0085;0;0;0;-137947.5943;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_C6H6;Benzene;810000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_CH4;Methane, fossil;0;0;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_CO;Carbon monoxide, fossil;0;0;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_CO2;Carbon dioxide, fossil;0;0;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_HC;PAH, polycyclic aromatic hydrocarbons;1300000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_N2O;Dinitrogen monoxide;0;0;140000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_NH3;Ammonia;0;0;0;0;0;0;0;67000;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;0;0;0;0;0;0;0;14000;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, day time, rural;noise, octave 1, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 1, day time, suburban;noise, octave 1, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
