;;Human health;Terrestrial ecosystems;Freshwater ecosystems;Marine ecosystems;Resources
;;DALY;Species.year;Species.year;Species.year;USD2013
_lci_direct_CO2;Carbon dioxide, fossil;9.28E-07;2.8E-09;7.65E-14;0;0
_lci_direct_rural_SO2;Sulfur dioxide;0.0001260738;2.225E-07;0;0;0
_lci_direct_rural_NOx;Nitrogen oxides;0.00013891;2.48E-07;0;6.61E-10;0
_lci_direct_rural_PM;Particulates, > 2.5 um, and < 10um;0.000629;0;0;0;0
_lci_direct_rural_C6H6;Benzene;1.535E-06;4.750000106E-08;2.26E-14;8.97E-14;0
_lci_direct_rural_CH4;Methane, fossil;2.320922E-05;7.131E-08;1.91E-12;0;0
_lci_direct_rural_CO;Carbon monoxide, fossil;4.15E-08;5.88E-09;0;0;0
_lci_direct_rural_HC;PAH, polycyclic aromatic hydrocarbons;0.000115;7.67E-13;1.45E-11;2E-12;0
_lci_direct_rural_N2O;Dinitrogen monoxide;0.000277;8.34E-07;2.28E-11;0;0
_lci_direct_rural_NH3;Ammonia;0.000201;5.19E-07;0;1.56E-10;0
_lci_direct_rural_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;9.1E-07;1.29E-07;0;0;0
_lci_direct_rural_Pb;Lead;0.0538;6.86E-14;3.93E-12;2.35E-10;0
_lci_direct_suburban_SO2;Sulfur dioxide;0.0001260738;2.225E-07;0;0;0
_lci_direct_suburban_NOx;Nitrogen oxides;0.00013891;2.48E-07;0;6.61E-10;0
_lci_direct_suburban_PM;Particulates, > 2.5 um, and < 10um;0.000629;0;0;0;0
_lci_direct_suburban_C6H6;Benzene;1.535E-06;4.750000106E-08;2.26E-14;8.97E-14;0
_lci_direct_suburban_CH4;Methane, fossil;2.320922E-05;7.131E-08;1.91E-12;0;0
_lci_direct_suburban_CO;Carbon monoxide, fossil;4.15E-08;5.88E-09;0;0;0
_lci_direct_suburban_HC;PAH, polycyclic aromatic hydrocarbons;0.000115;7.67E-13;1.45E-11;2E-12;0
_lci_direct_suburban_N2O;Dinitrogen monoxide;0.000277;8.34E-07;2.28E-11;0;0
_lci_direct_suburban_NH3;Ammonia;0.000201;5.19E-07;0;1.56E-10;0
_lci_direct_suburban_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;9.1E-07;1.29E-07;0;0;0
_lci_direct_suburban_Pb;Lead;0.0538;6.86E-14;3.93E-12;2.35E-10;0
_lci_direct_urban_SO2;Sulfur dioxide;0.0001260738;2.225E-07;0;0;0
_lci_direct_urban_NOx;Nitrogen oxides;0.00013891;2.48E-07;0;6.61E-10;0
_lci_direct_urban_PM;Particulates, > 2.5 um, and < 10um;0.000629;0;0;0;0
_lci_direct_urban_C6H6;Benzene;4.835E-06;4.750000109E-08;2.21E-14;8.72E-14;0
_lci_direct_urban_CH4;Methane, fossil;2.320922E-05;7.131E-08;1.91E-12;0;0
_lci_direct_urban_CO;Carbon monoxide, fossil;4.15E-08;5.88E-09;0;0;0
_lci_direct_urban_HC;PAH, polycyclic aromatic hydrocarbons;6.81E-05;1.25E-12;1.02E-11;1.13E-12;0
_lci_direct_urban_N2O;Dinitrogen monoxide;0.000277;8.34E-07;2.28E-11;0;0
_lci_direct_urban_NH3;Ammonia;0.000201;5.19E-07;0;1.56E-10;0
_lci_direct_urban_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;9.1E-07;1.29E-07;0;0;0
_lci_direct_urban_Pb;Lead;0.0524;8.04E-13;3.35E-12;1.63E-10;0
_lci_direct_noise, octave 1, day time, rural;noise, octave 1, day time, rural;8.15E-10;0;0;0;0
_lci_direct_noise, octave 1, day time, suburban;noise, octave 1, day time, suburban;2.21E-08;0;0;0;0
_lci_direct_noise, octave 1, day time, urban;noise, octave 1, day time, urban;1.76E-08;0;0;0;0
_lci_direct_noise, octave 1, evening time, rural;noise, octave 1, evening time, rural;1.45E-09;0;0;0;0
_lci_direct_noise, octave 1, evening time, suburban;noise, octave 1, evening time, suburban;3.95E-08;0;0;0;0
