;;Human health, normalized;Terrestrial ecosystems, normalized;Freshwater ecosystems, normalized;Marine ecosystems, normalized;Resources, normalized
;;points;points;points;points;points
;;;;;;
_lci_direct_CO2;Carbon dioxide, fossil;4.582E-05;1.5512E-05;4.24E-10;0;0
_lci_direct_rural_C6H6;Benzene;0.00023858;0.000263138;1.22E-10;4.83E-10;0
_lci_direct_rural_CH4;Methane, fossil;0.001145955;0.000395043;1.06E-08;0;0
_lci_direct_rural_CO;Carbon monoxide, fossil;2.05E-06;3.26E-05;0;0;0
_lci_direct_rural_HC;PAH, polycyclic aromatic hydrocarbons;0.003846155;0.000164434;6.11E-08;6.28E-09;0
_lci_direct_rural_N2O;Dinitrogen monoxide;0.01365436;0.004622576;1.26E-07;0;0
_lci_direct_rural_NH3;Ammonia;0.0099382;0.002877476;0;8.66E-07;0
_lci_direct_rural_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;4.49E-05;0.00071466;0;0;0
_lci_direct_rural_NOx;Nitrogen oxides;0.006877444;0.001372369;0;3.66E-06;0
_lci_direct_rural_PM;Particulates, > 2.5 um, and < 10um;0.031056875;0;0;0;0
_lci_direct_rural_SO2;Sulfur dioxide;0.006215018;0.001232425;0;0;0
_lci_direct_rural_Pb;Lead;0;0;0;0;0
_lci_direct_suburban_C6H6;Benzene;0.00023858;0.000263138;1.22E-10;4.83E-10;0
_lci_direct_suburban_CH4;Methane, fossil;0.001145955;0.000395043;1.06E-08;0;0
_lci_direct_suburban_CO;Carbon monoxide, fossil;2.05E-06;3.26E-05;0;0;0
_lci_direct_suburban_HC;PAH, polycyclic aromatic hydrocarbons;0.003846155;0.000164434;6.11E-08;6.28E-09;0
_lci_direct_suburban_N2O;Dinitrogen monoxide;0.01365436;0.004622576;1.26E-07;0;0
_lci_direct_suburban_NH3;Ammonia;0.0099382;0.002877476;0;8.66E-07;0
_lci_direct_suburban_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;4.49E-05;0.00071466;0;0;0
_lci_direct_suburban_NOx;Nitrogen oxides;0.006877444;0.001372369;0;3.66E-06;0
_lci_direct_suburban_PM;Particulates, > 2.5 um, and < 10um;0.031056875;0;0;0;0
_lci_direct_suburban_SO2;Sulfur dioxide;0.006215018;0.001232425;0;0;0
_lci_direct_suburban_Pb;Lead;0;0;0;0;0
_lci_direct_urban_C6H6;Benzene;0.00023858;0.000263138;1.22E-10;4.83E-10;0
_lci_direct_urban_CH4;Methane, fossil;0.001145955;0.000395043;1.06E-08;0;0
_lci_direct_urban_CO;Carbon monoxide, fossil;2.05E-06;3.26E-05;0;0;0
_lci_direct_urban_HC;PAH, polycyclic aromatic hydrocarbons;0.003846155;0.000164434;6.11E-08;6.28E-09;0
_lci_direct_urban_N2O;Dinitrogen monoxide;0.01365436;0.004622576;1.26E-07;0;0
_lci_direct_urban_NH3;Ammonia;0.0099382;0.002877476;0;8.66E-07;0
_lci_direct_urban_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;4.49E-05;0.00071466;0;0;0
_lci_direct_urban_NOx;Nitrogen oxides;0.006877444;0.001372369;0;3.66E-06;0
_lci_direct_urban_PM;Particulates, > 2.5 um, and < 10um;0.031056875;0;0;0;0
_lci_direct_urban_SO2;Sulfur dioxide;0.006215018;0.001232425;0;0;0
_lci_direct_urban_Pb;Lead;0;0;0;0;0
_lci_direct_noise, octave 1, day time, rural;noise, octave 1, day time, rural;4.02E-08;0;0;0;0
_lci_direct_noise, octave 1, day time, suburban;noise, octave 1, day time, suburban;1.09E-06;0;0;0;0
_lci_direct_noise, octave 1, day time, urban;noise, octave 1, day time, urban;8.69E-07;0;0;0;0
_lci_direct_noise, octave 1, evening time, rural;noise, octave 1, evening time, rural;7.18E-08;0;0;0;0
_lci_direct_noise, octave 1, evening time, suburban;noise, octave 1, evening time, suburban;1.95E-06;0;0;0;0
_lci_direct_noise, octave 1, evening time, urban;noise, octave 1, evening time, urban;1.63E-06;0;0;0;0
_lci_direct_noise, octave 1, night time, rural;noise, octave 1, night time, rural;1.28E-07;0;0;0;0
_lci_direct_noise, octave 1, night time, suburban;noise, octave 1, night time, suburban;3.47E-06;0;0;0;0
_lci_direct_noise, octave 1, night time, urban;noise, octave 1, night time, urban;2.76E-06;0;0;0;0
