;;Human health, Climate change;Human health, Ozone depletion;Human health, Ionizing radiation;Human health, Fine particles;Human health, Summer smog;Human health, Toxicity;Human health, Water consumption;Human health, Human noise;Terrestrial ecosystems, Climate change;Terrestrial ecosystems, Summer smog;Terrestrial ecosystems, Acidification;Terrestrial ecosystems, Toxicity;Terrestrial ecosystems, Water consumption;Terrestrial ecosystems, Land use;Freshwater ecosystems, Climate change;Freshwater ecosystems, Eutrophication;Freshwater ecosystems, Toxicity;Freshwater ecosystems, Water consumption;Marine ecosystems, Toxicity;Marine ecosystems, Eutrophication;Resources, Mineral resources;Resources, Fossil resources
;;DALY;DALY;DALY;DALY;DALY;DALY;DALY;DALY;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;USD2013;USD2013
_lci_direct_CO2;Carbon dioxide, fossil;9.28E-07;0;0;0;0;0;0;0;2.80E-09;0;0;0;0;0;7.65E-14;0;0;0;0;0;0;0
_lci_direct_rural_SO2;Sulfur dioxide;0;0;0;0.000126;7.38E-08;0;0;0;0;1.05E-08;2.12E-07;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_NOx;Nitrogen oxides;0;0;0;0.000138;9.10E-07;0;0;0;0;1.29E-07;1.19E-07;0;0;0;0;0;0;0;0;6.61E-10;0;0
_lci_direct_rural_PM;Particulates, > 2.5 um, and < 10um;0;0;0;0.000629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_C6H6;Benzene;0;0;0;0;3.35E-07;1.20E-06;0;0;0;4.75E-08;0;1.06E-15;0;0;0;0;2.26E-14;0;8.97E-14;0;0;0
_lci_direct_rural_CH4;Methane, fossil;2.32E-05;0;0;0;9.22E-09;0;0;0;7.00E-08;1.31E-09;0;0;0;0;1.91E-12;0;0;0;0;0;0;0
_lci_direct_rural_CO;Carbon monoxide, fossil;0;0;0;0;4.15E-08;0;0;0;0;5.88E-09;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_HC;PAH, polycyclic aromatic hydrocarbons;0;0;0;0;0;0.000115;0;0;0;0;0;7.67E-13;0;0;0;0;1.45E-11;0;2.00E-12;0;0;0
_lci_direct_rural_N2O;Dinitrogen monoxide;0.000277;0;0;0;0;0;0;0;8.34E-07;0;0;0;0;0;2.28E-11;0;0;0;0;0;0;0
_lci_direct_rural_NH3;Ammonia;0;0;0;0.000201;0;0;0;0;0;0;5.19E-07;0;0;0;0;0;0;0;0;1.56E-10;0;0
_lci_direct_rural_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;0;0;0;0;9.10E-07;0;0;0;0;1.29E-07;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_Pb;Lead;0;0;0;0;0;0.0538;0;0;0;0;0;6.86E-14;0;0;0;0;3.93E-12;0;2.35E-10;0;0;0
_lci_direct_suburban_SO2;Sulfur dioxide;0;0;0;0.000126;7.38E-08;0;0;0;0;1.05E-08;2.12E-07;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_NOx;Nitrogen oxides;0;0;0;0.000138;9.10E-07;0;0;0;0;1.29E-07;1.19E-07;0;0;0;0;0;0;0;0;6.61E-10;0;0
_lci_direct_suburban_PM;Particulates, > 2.5 um, and < 10um;0;0;0;0.000629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_C6H6;Benzene;0;0;0;0;3.35E-07;1.20E-06;0;0;0;4.75E-08;0;1.06E-15;0;0;0;0;2.26E-14;0;8.97E-14;0;0;0
_lci_direct_suburban_CH4;Methane, fossil;2.32E-05;0;0;0;9.22E-09;0;0;0;7.00E-08;1.31E-09;0;0;0;0;1.91E-12;0;0;0;0;0;0;0
_lci_direct_suburban_CO;Carbon monoxide, fossil;0;0;0;0;4.15E-08;0;0;0;0;5.88E-09;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_HC;PAH, polycyclic aromatic hydrocarbons;0;0;0;0;0;0.000115;0;0;0;0;0;7.67E-13;0;0;0;0;1.45E-11;0;2.00E-12;0;0;0
_lci_direct_suburban_N2O;Dinitrogen monoxide;0.000277;0;0;0;0;0;0;0;8.34E-07;0;0;0;0;0;2.28E-11;0;0;0;0;0;0;0
_lci_direct_suburban_NH3;Ammonia;0;0;0;0.000201;0;0;0;0;0;0;5.19E-07;0;0;0;0;0;0;0;0;1.56E-10;0;0
_lci_direct_suburban_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;0;0;0;0;9.10E-07;0;0;0;0;1.29E-07;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_Pb;Lead;0;0;0;0;0;0.0538;0;0;0;0;0;6.86E-14;0;0;0;0;3.93E-12;0;2.35E-10;0;0;0
_lci_direct_urban_SO2;Sulfur dioxide;0;0;0;0.000126;7.38E-08;0;0;0;0;1.05E-08;2.12E-07;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_NOx;Nitrogen oxides;0;0;0;0.000138;9.10E-07;0;0;0;0;1.29E-07;1.19E-07;0;0;0;0;0;0;0;0;6.61E-10;0;0
_lci_direct_urban_PM;Particulates, > 2.5 um, and < 10um;0;0;0;0.000629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_C6H6;Benzene;0;0;0;0;3.35E-07;4.50E-06;0;0;0;4.75E-08;0;1.09E-15;0;0;0;0;2.21E-14;0;8.72E-14;0;0;0
_lci_direct_urban_CH4;Methane, fossil;2.32E-05;0;0;0;9.22E-09;0;0;0;7.00E-08;1.31E-09;0;0;0;0;1.91E-12;0;0;0;0;0;0;0
_lci_direct_urban_CO;Carbon monoxide, fossil;0;0;0;0;4.15E-08;0;0;0;0;5.88E-09;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_HC;PAH, polycyclic aromatic hydrocarbons;0;0;0;0;0;6.81E-05;0;0;0;0;0;1.25E-12;0;0;0;0;1.02E-11;0;1.13E-12;0;0;0
_lci_direct_urban_N2O;Dinitrogen monoxide;0.000277;0;0;0;0;0;0;0;8.34E-07;0;0;0;0;0;2.28E-11;0;0;0;0;0;0;0
_lci_direct_urban_NH3;Ammonia;0;0;0;0.000201;0;0;0;0;0;0;5.19E-07;0;0;0;0;0;0;0;0;1.56E-10;0;0
_lci_direct_urban_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;0;0;0;0;9.10E-07;0;0;0;0;1.29E-07;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_Pb;Lead;0;0;0;0;0;0.0524;0;0;0;0;0;8.04E-13;0;0;0;0;3.35E-12;0;1.63E-10;0;0;0
_lci_direct_noise, octave 1, day time, rural;noise, octave 1, day time, rural;0;0;0;0;0;0;0;8.15E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, day time, suburban;noise, octave 1, day time, suburban;0;0;0;0;0;0;0;2.21E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, day time, urban;noise, octave 1, day time, urban;0;0;0;0;0;0;0;1.76E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, evening time, rural;noise, octave 1, evening time, rural;0;0;0;0;0;0;0;1.45E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, evening time, suburban;noise, octave 1, evening time, suburban;0;0;0;0;0;0;0;3.95E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, evening time, urban;noise, octave 1, evening time, urban;0;0;0;0;0;0;0;3.31E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, night time, rural;noise, octave 1, night time, rural;0;0;0;0;0;0;0;2.59E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, night time, suburban;noise, octave 1, night time, suburban;0;0;0;0;0;0;0;7.02E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, night time, urban;noise, octave 1, night time, urban;0;0;0;0;0;0;0;5.60E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, day time, rural;noise, octave 2, day time, rural;0;0;0;0;0;0;0;1.83E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, day time, suburban;noise, octave 2, day time, suburban;0;0;0;0;0;0;0;4.95E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, day time, urban;noise, octave 2, day time, urban;0;0;0;0;0;0;0;3.95E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, evening time, rural;noise, octave 2, evening time, rural;0;0;0;0;0;0;0;3.26E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, evening time, suburban;noise, octave 2, evening time, suburban;0;0;0;0;0;0;0;8.83E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, evening time, urban;noise, octave 2, evening time, urban;0;0;0;0;0;0;0;7.41E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, night time, rural;noise, octave 2, night time, rural;0;0;0;0;0;0;0;5.77E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, night time, suburban;noise, octave 2, night time, suburban;0;0;0;0;0;0;0;1.57E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 2, night time, urban;noise, octave 2, night time, urban;0;0;0;0;0;0;0;1.25E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, day time, rural;noise, octave 3, day time, rural;0;0;0;0;0;0;0;4.38E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, day time, suburban;noise, octave 3, day time, suburban;0;0;0;0;0;0;0;1.19E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, day time, urban;noise, octave 3, day time, urban;0;0;0;0;0;0;0;9.45E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, evening time, rural;noise, octave 3, evening time, rural;0;0;0;0;0;0;0;7.81E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, evening time, suburban;noise, octave 3, evening time, suburban;0;0;0;0;0;0;0;2.12E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, evening time, urban;noise, octave 3, evening time, urban;0;0;0;0;0;0;0;1.77E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, night time, rural;noise, octave 3, night time, rural;0;0;0;0;0;0;0;1.39E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, night time, suburban;noise, octave 3, night time, suburban;0;0;0;0;0;0;0;3.76E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 3, night time, urban;noise, octave 3, night time, urban;0;0;0;0;0;0;0;3.01E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, day time, rural;noise, octave 4, day time, rural;0;0;0;0;0;0;0;8.09E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, day time, suburban;noise, octave 4, day time, suburban;0;0;0;0;0;0;0;2.21E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, day time, urban;noise, octave 4, day time, urban;0;0;0;0;0;0;0;1.76E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, evening time, rural;noise, octave 4, evening time, rural;0;0;0;0;0;0;0;1.45E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, evening time, suburban;noise, octave 4, evening time, suburban;0;0;0;0;0;0;0;3.94E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, evening time, urban;noise, octave 4, evening time, urban;0;0;0;0;0;0;0;3.30E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, night time, rural;noise, octave 4, night time, rural;0;0;0;0;0;0;0;2.58E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, night time, suburban;noise, octave 4, night time, suburban;0;0;0;0;0;0;0;7.02E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 4, night time, urban;noise, octave 4, night time, urban;0;0;0;0;0;0;0;5.60E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 5, day time, rural;noise, octave 5, day time, rural;0;0;0;0;0;0;0;1.15E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 5, day time, suburban;noise, octave 5, day time, suburban;0;0;0;0;0;0;0;3.19E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 5, day time, urban;noise, octave 5, day time, urban;0;0;0;0;0;0;0;2.54E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 5, evening time, rural;noise, octave 5, evening time, rural;0;0;0;0;0;0;0;2.07E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 5, evening time, suburban;noise, octave 5, evening time, suburban;0;0;0;0;0;0;0;5.72E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 5, evening time, urban;noise, octave 5, evening time, urban;0;0;0;0;0;0;0;4.77E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 5, night time, rural;noise, octave 5, night time, rural;0;0;0;0;0;0;0;3.67E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0
