;;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise;Coal;Crude oil;Natural gas;Brown coal;Peat
;;m2.year;kg CO2-eq.;kg oil-eq.;kg 1,4-DC;kg P-eq.;kg 1,4-DC;kg U235-eq.;kg 1,4-DC;kg N-eq.;kg Cu-eq.;m2;kg CFC-11-eq.;kg PM10-eq.;kg NMVOC;kg SO2-eq.;kg 1,4-DC;m2.year;m3;Person*Pa/W;kilogram;kilogram;cubic meter;kilogram;kilogram
_lci_direct_CO2;Carbon dioxide, fossil;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_SO2;Sulfur dioxide;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.081081081;1;0;0;0;0;0;0;0;0;0
_lci_direct_rural_NOx;Nitrogen oxides;0;0;0;0;0;0;0;0;0.389;0;0;0;0.22;1;0.56;0;0;0;0;0;0;0;0;0
_lci_direct_rural_PM;Particulates, > 2.5 um, and < 10um;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_C6H6;Benzene;0;0;0;3.25E-05;0;0.36016;0;0.000854655;0;0;0;0;0;0.368243243;0;9.26E-05;0;0;0;0;0;0;0;0
_lci_direct_rural_CH4;Methane, fossil;0;25;0;0;0;0;0;0;0;0;0;0;0;0.010135135;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_CO;Carbon monoxide, fossil;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045608108;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_HC;PAH, polycyclic aromatic hydrocarbons;0;0;0;0.0209;0;34.7;0;0.019;0;0;0;0;0;0;0;0.0673;0;0;0;0;0;0;0;0
_lci_direct_rural_N2O;Dinitrogen monoxide;0;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_NH3;Ammonia;0;0;0;0;0;0;0;0;0.092;0;0;0;0.32;0;2.45;0;0;0;0;0;0;0;0;0
_lci_direct_rural_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
_lci_direct_rural_Pb;Lead;0;0;0;0.0056535;0;16217.725;0;2.240095714;0;0;0;0;0;0;0;0.006015855;0;0;0;0;0;0;0;0
_lci_direct_suburban_SO2;Sulfur dioxide;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.081081081;1;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_NOx;Nitrogen oxides;0;0;0;0;0;0;0;0;0.389;0;0;0;0.22;1;0.56;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_PM;Particulates, > 2.5 um, and < 10um;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_C6H6;Benzene;0;0;0;3.25E-05;0;0.36016;0;0.000854655;0;0;0;0;0;0.368243243;0;9.26E-05;0;0;0;0;0;0;0;0
_lci_direct_suburban_CH4;Methane, fossil;0;25;0;0;0;0;0;0;0;0;0;0;0;0.010135135;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_CO;Carbon monoxide, fossil;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045608108;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_HC;PAH, polycyclic aromatic hydrocarbons;0;0;0;0.0209;0;34.7;0;0.019;0;0;0;0;0;0;0;0.0673;0;0;0;0;0;0;0;0
_lci_direct_suburban_N2O;Dinitrogen monoxide;0;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_NH3;Ammonia;0;0;0;0;0;0;0;0;0.092;0;0;0;0.32;0;2.45;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
_lci_direct_suburban_Pb;Lead;0;0;0;0.0056535;0;16217.725;0;2.240095714;0;0;0;0;0;0;0;0.006015855;0;0;0;0;0;0;0;0
_lci_direct_urban_SO2;Sulfur dioxide;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.081081081;1;0;0;0;0;0;0;0;0;0
_lci_direct_urban_NOx;Nitrogen oxides;0;0;0;0;0;0;0;0;0.389;0;0;0;0.22;1;0.56;0;0;0;0;0;0;0;0;0
_lci_direct_urban_PM;Particulates, > 2.5 um, and < 10um;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_C6H6;Benzene;0;0;0;3.18E-05;0;1.3546;0;0.000830297;0;0;0;0;0;0.368243243;0;9.54E-05;0;0;0;0;0;0;0;0
_lci_direct_urban_CH4;Methane, fossil;0;25;0;0;0;0;0;0;0;0;0;0;0;0.010135135;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_CO;Carbon monoxide, fossil;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045608108;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_HC;PAH, polycyclic aromatic hydrocarbons;0;0;0;0.0147;0;20.5;0;0.0108;0;0;0;0;0;0;0;0.11;0;0;0;0;0;0;0;0
_lci_direct_urban_N2O;Dinitrogen monoxide;0;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_NH3;Ammonia;0;0;0;0;0;0;0;0;0.092;0;0;0;0.32;0;2.45;0;0;0;0;0;0;0;0;0
_lci_direct_urban_NMVOC;NMVOC, non-methane volatile organic compounds, unspecified origin;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
_lci_direct_urban_Pb;Lead;0;0;0;0.004817;0;15778.92482;0;1.550529611;0;0;0;0;0;0;0;0.070564574;0;0;0;0;0;0;0;0
_lci_direct_noise, octave 1, day time, rural;noise, octave 1, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1440;0;0;0;0;0
_lci_direct_noise, octave 1, day time, suburban;noise, octave 1, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39100;0;0;0;0;0
_lci_direct_noise, octave 1, day time, urban;noise, octave 1, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31100;0;0;0;0;0
_lci_direct_noise, octave 1, evening time, rural;noise, octave 1, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2570;0;0;0;0;0
_lci_direct_noise, octave 1, evening time, suburban;noise, octave 1, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69700;0;0;0;0;0
_lci_direct_noise, octave 1, evening time, urban;noise, octave 1, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58400;0;0;0;0;0
_lci_direct_noise, octave 1, night time, rural;noise, octave 1, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4580;0;0;0;0;0
_lci_direct_noise, octave 1, night time, suburban;noise, octave 1, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124000;0;0;0;0;0
_lci_direct_noise, octave 1, night time, urban;noise, octave 1, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98900;0;0;0;0;0
_lci_direct_noise, octave 2, day time, rural;noise, octave 2, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3230;0;0;0;0;0
_lci_direct_noise, octave 2, day time, suburban;noise, octave 2, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87500;0;0;0;0;0
_lci_direct_noise, octave 2, day time, urban;noise, octave 2, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69700;0;0;0;0;0
_lci_direct_noise, octave 2, evening time, rural;noise, octave 2, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5760;0;0;0;0;0
_lci_direct_noise, octave 2, evening time, suburban;noise, octave 2, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156000;0;0;0;0;0
_lci_direct_noise, octave 2, evening time, urban;noise, octave 2, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131000;0;0;0;0;0
_lci_direct_noise, octave 2, night time, rural;noise, octave 2, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10200;0;0;0;0;0
