country;year;diesel;petrol
RER;1994;0.002;0.002
RER;2000;0.00035;0.00015
RER;2005;0.00005;0.00005
RER;2009;0.00001;0.00001
AD;1994;0.002;0.002
AD;2000;0.00035;0.00015
AD;2005;0.00005;0.00005
AD;2009;0.00001;0.00001
AE;2019;0.00001;0.00001
AF;2019;0.01;0.01
AG;2019;0.01;0.01
AL;2019;0.00001;0.00001
AM;2019;0.00001;0.00001
AO;2019;0.002;0.002
AR;2019;0.002;0.002
AT;2019;0.00001;0.00001
AT;1994;0.002;0.002
AT;2000;0.00035;0.00015
AT;2005;0.00005;0.00005
AT;2009;0.00001;0.00001
AU;1990;0.00001;0.0001014
AU;1991;0.00001;0.0001014
AU;1992;0.00001;0.0001014
AU;1993;0.00001;0.0001014
AU;1994;0.00001;0.00009
AU;1995;0.00001;0.00008
AU;1996;0.00001;0.00007
AU;1997;0.00001;0.00006
AU;1998;0.00001;0.00005
AU;1999;0.00001;0.00004
AU;2000;0.00001;0.00003
AU;2001;0.00001;0.0000187
AU;2002;0.00001;0.0000148
AU;2003;0.00001;0.0000127
AU;2004;0.00001;0.0000067
AU;2005;0.00001;0.0000049
AU;2006;0.00001;0.0000049
AU;2007;0.00001;0.0000049
AU;2008;0.00001;0.0000049
AU;2009;0.00001;0.0000049
AU;2010;0.00001;0.0000049
AU;2011;0.00001;0.0000049
AU;2012;0.00001;0.0000049
AU;2013;0.00001;0.0000049
AU;2014;0.00001;0.0000049
AU;2015;0.00001;0.0000049
AU;2016;0.00001;0.0000049
AU;2017;0.00001;0.0000049
AU;2018;0.00001;0.0000049
AU;2020;0.00001;0.0000049
AU;2021;0.00001;0.0000049
AU;2022;0.00001;0.0000049
AU;2023;0.00001;0.0000049
AU;2024;0.00001;0.0000049
AU;2025;0.00001;0.0000049
AU;2026;0.00001;0.0000049
AU;2027;0.00001;0.0000049
AU;2028;0.00001;0.0000049
AU;2029;0.00001;0.0000049
AU;2030;0.00001;0.0000049
AU;2031;0.00001;0.0000049
AU;2032;0.00001;0.0000049
AU;2033;0.00001;0.0000049
AU;2034;0.00001;0.0000049
AU;2035;0.00001;0.0000049
AU;2036;0.00001;0.0000049
AU;2037;0.00001;0.0000049
AU;2038;0.00001;0.0000049
AU;2039;0.00001;0.0000049
AU;2040;0.00001;0.0000049
AU;2041;0.00001;0.0000049
AU;2042;0.00001;0.0000049
AU;2043;0.00001;0.0000049
AU;2044;0.00001;0.0000049
AU;2045;0.00001;0.0000049
AU;2046;0.00001;0.0000049
AU;2047;0.00001;0.0000049
AU;2048;0.00001;0.0000049
AU;2049;0.00001;0.0000049
AU;2050;0.00001;0.0000049
AU;2019;0.00001;0.0000049
AW;2019;0.0005;0.0005
AZ;2019;0.00035;0.00035
BA;2019;0.00005;0.00005
BB;2019;0.00001;0.00001
BD;2019;0.002;0.002
BE;2019;0.00001;0.00001
BE;1994;0.002;0.002
BE;2000;0.00035;0.00015
BE;2005;0.00005;0.00005
BE;2009;0.00001;0.00001
BF;2019;0.01;0.01
BG;2019;0.00001;0.00001
BG;1994;0.002;0.002
BG;2000;0.00035;0.00015
BG;2005;0.00005;0.00005
BG;2009;0.00001;0.00001
BH;2019;0.0005;0.0005
BI;2019;0.00005;0.00005
BJ;2019;0.00005;0.00005
BM;2019;0.0005;0.0005
BN;2019;0.00005;0.00005
BO;2019;0.002;0.002
BR;2019;0.00035;0.00035
BS;2019;0.002;0.002
BT;2019;0.0005;0.0005
BW;2019;0.0005;0.0005
BY;2019;0.00001;0.00001
BZ;2019;0.01;0.01
CA;2019;0.00001;0.00001
CD;2019;0.01;0.01
CF;2019;0.01;0.01
CG;2019;0.01;0.01
CH;1990;0.0014;0.0002
CH;1991;0.0013;0.0002
CH;1992;0.0012;0.0002
CH;1993;0.001;0.0002
CH;1994;0.000434;0.0002
CH;1995;0.000341;0.0002
CH;1996;0.000372;0.0002
CH;1997;0.000353;0.0002
CH;1998;0.000402;0.0002
CH;1999;0.000443;0.0002
CH;2000;0.000272;0.00014151
CH;2001;0.00025;0.00012129
CH;2002;0.000235;0.00010108
CH;2003;0.0002;0.00008086
CH;2004;0.00001;0.000008
CH;2005;0.00001;0.000008
CH;2006;0.00001;0.000008
CH;2007;0.00001;0.000008
CH;2008;0.00001;0.000008
CH;2009;0.00001;0.000008
CH;2010;0.00001;0.000008
CH;2011;0.00001;0.000008
CH;2012;0.00001;0.000008
CH;2013;0.00001;0.000008
CH;2014;0.00001;0.000008
CH;2015;0.00001;0.000008
CH;2016;0.00001;0.000008
CH;2017;0.00001;0.000008
CH;2018;0.00001;0.000008
CH;2020;0.00001;0.000008
CH;2021;0.00001;0.000008
CH;2022;0.00001;0.000008
CH;2023;0.00001;0.000008
CH;2024;0.00001;0.000008
CH;2025;0.00001;0.000008
CH;2026;0.00001;0.000008
CH;2027;0.00001;0.000008
CH;2028;0.00001;0.000008
CH;2029;0.00001;0.000008
CH;2030;0.00001;0.000008
CH;2031;0.00001;0.000008
CH;2032;0.00001;0.000008
CH;2033;0.00001;0.000008
CH;2034;0.00001;0.000008
CH;2035;0.00001;0.000008
CH;2036;0.00001;0.000008
CH;2037;0.00001;0.000008
CH;2038;0.00001;0.000008
CH;2039;0.00001;0.000008
CH;2040;0.00001;0.000008
CH;2041;0.00001;0.000008
CH;2042;0.00001;0.000008
CH;2043;0.00001;0.000008
CH;2044;0.00001;0.000008
CH;2045;0.00001;0.000008
CH;2046;0.00001;0.000008
CH;2047;0.00001;0.000008
CH;2048;0.00001;0.000008
CH;2049;0.00001;0.000008
CH;2050;0.00001;0.000008
CH;2019;0.00001;0.000008
CI;2019;0.01;0.01
CL;2019;0.00001;0.00001
CM;2019;0.002;0.002
CN;2019;0.00001;0.00001
CO;2019;0.00005;0.00005
CR;2019;0.00001;0.00001
CU;2019;0.01;0.01
CV;2019;0.002;0.002
CY;2019;0.00001;0.00001
CY;1994;0.002;0.002
CY;2000;0.00035;0.00015
CY;2005;0.00005;0.00005
CY;2009;0.00001;0.00001
CZ;2019;0.00001;0.00001
CZ;1994;0.002;0.002
CZ;2000;0.00035;0.00015
CZ;2005;0.00005;0.00005
CZ;2009;0.00001;0.00001
DE;1990;0.0013;0.00022237
DE;1991;0.0013;0.00022237
DE;1992;0.0013;0.00022237
DE;1993;0.0013;0.00022237
DE;1994;0.0013;0.00022237
DE;1995;0.0013;0.00018194
DE;1996;0.0006;0.00018194
DE;1997;0.0004;0.00018194
DE;1998;0.00036;0.00014
DE;1999;0.00033;0.00009
DE;2000;0.0003;0.00007
DE;2001;0.00025;0.000055
DE;2002;0.00004;0.000025
DE;2003;0.000008;0.000008
DE;2004;0.000008;7.99E-06
DE;2005;0.000008;7.91E-06
DE;2006;0.000008;7.82E-06
DE;2007;0.000008;7.83E-06
DE;2008;0.000008;7.76E-06
DE;2009;0.000008;7.64E-06
DE;2010;0.000008;7.53E-06
DE;2011;0.000008;7.50E-06
DE;2012;0.000008;7.46E-06
DE;2013;0.000008;7.48E-06
DE;2014;0.000008;7.47E-06
DE;2015;0.000008;7.47E-06
DE;2016;0.000008;7.47E-06
DE;2017;0.000008;7.48E-06
DE;2018;0.000008;7.40E-06
DE;2020;0.000008;7.23E-06
DE;2021;0.000008;7.23E-06
DE;2022;0.000008;7.23E-06
DE;2023;0.000008;7.23E-06
DE;2024;0.000008;7.23E-06
DE;2025;0.000008;7.23E-06
DE;2026;0.000008;7.23E-06
DE;2027;0.000008;7.23E-06
DE;2028;0.000008;7.23E-06
DE;2029;0.000008;7.23E-06
DE;2030;0.000008;7.23E-06
DE;2031;0.000008;7.23E-06
DE;2032;0.000008;7.23E-06
DE;2033;0.000008;7.23E-06
DE;2034;0.000008;7.23E-06
DE;2035;0.000008;7.23E-06
DE;2036;0.000008;7.23E-06
DE;2037;0.000008;7.23E-06
DE;2038;0.000008;7.23E-06
DE;2039;0.000008;7.23E-06
DE;2040;0.000008;7.23E-06
DE;2041;0.000008;7.23E-06
DE;2042;0.000008;7.23E-06
DE;2043;0.000008;7.23E-06
DE;2044;0.000008;7.23E-06
DE;2045;0.000008;7.23E-06
DE;2046;0.000008;7.23E-06
DE;2047;0.000008;7.23E-06
DE;2048;0.000008;7.23E-06
DE;2049;0.000008;7.23E-06
DE;2050;0.000008;7.23E-06
DE;2019;0.000008;7.31E-06
DJ;2019;0.01;0.01
DK;2019;0.00001;0.00001
DK;1994;0.002;0.002
DK;2000;0.00035;0.00015
DK;2005;0.00005;0.00005
DK;2009;0.00001;0.00001
DM;2019;0.0005;0.0005
DO;2019;0.01;0.01
DZ;2019;0.002;0.002
EC;2019;0.00035;0.00035
EE;2019;0.00001;0.00001
EE;1994;0.002;0.002
EE;2000;0.00035;0.00015
EE;2005;0.00005;0.00005
EE;2009;0.00001;0.00001
EG;2019;0.01;0.01
ER;2019;0.01;0.01
ES;2019;0.00001;0.00001
ES;1994;0.002;0.002
ES;2000;0.00035;0.00015
ES;2005;0.00005;0.00005
ES;2009;0.00001;0.00001
ET;2019;0.0005;0.0005
FI;2019;0.00001;0.00001
FI;1994;0.002;0.002
FI;2000;0.00035;0.00015
FI;2005;0.00005;0.00005
FI;2009;0.00001;0.00001
FJ;2019;0.0005;0.0005
FM;2019;0.0005;0.0005
FR;1990;0.0017;0.00022237
FR;1991;0.0013;0.00022237
FR;1992;0.0013;0.00022237
FR;1993;0.0013;0.00022237
FR;1994;0.0013;0.00022237
FR;1995;0.0013;0.00018194
FR;1996;0.0006;0.00018194
FR;1997;0.0004;0.00018194
FR;1998;0.00036;0.00014
FR;1999;0.00033;0.00009
FR;2000;0.0003;0.00007
FR;2001;0.00025;0.000055
FR;2002;0.00004;0.000025
FR;2003;0.000008;0.000008
FR;2004;0.000008;0.000008
FR;2005;0.000008;0.000008
FR;2006;0.000008;0.000008
FR;2007;0.000008;0.000008
FR;2008;0.000008;0.000008
FR;2009;0.000008;0.000008
FR;2010;0.000008;0.000008
FR;2011;0.000008;0.000008
FR;2012;0.000008;0.000008
FR;2013;0.000008;0.000008
FR;2014;0.000008;0.000008
FR;2015;0.000008;0.000008
FR;2016;0.000008;0.000008
FR;2017;0.000008;0.000008
FR;2018;0.000008;0.000008
FR;2020;0.000008;0.000008
FR;2021;0.000008;0.000008
FR;2022;0.000008;0.000008
FR;2023;0.000008;0.000008
FR;2024;0.000008;0.000008
FR;2025;0.000008;0.000008
FR;2026;0.000008;0.000008
FR;2027;0.000008;0.000008
FR;2028;0.000008;0.000008
FR;2029;0.000008;0.000008
FR;2030;0.000008;0.000008
FR;2031;0.000008;0.000008
FR;2032;0.000008;0.000008
FR;2033;0.000008;0.000008
FR;2034;0.000008;0.000008
FR;2035;0.000008;0.000008
FR;2036;0.000008;0.000008
FR;2037;0.000008;0.000008
FR;2038;0.000008;0.000008
FR;2039;0.000008;0.000008
FR;2040;0.000008;0.000008
FR;2041;0.000008;0.000008
FR;2042;0.000008;0.000008
FR;2043;0.000008;0.000008
FR;2044;0.000008;0.000008
FR;2045;0.000008;0.000008
FR;2046;0.000008;0.000008
FR;2047;0.000008;0.000008
FR;2048;0.000008;0.000008
FR;2049;0.000008;0.000008
FR;2050;0.000008;0.000008
FR;2019;0.000008;0.000008
GA;2019;0.002;0.002
GB;2019;0.00001;0.00001
GD;2019;0.0005;0.0005
GE;2019;0.00005;0.00005
GH;2019;0.002;0.002
GM;2019;0.01;0.01
GN;2019;0.002;0.002
GQ;2019;0.01;0.01
GR;2019;0.00001;0.00001
GR;1994;0.002;0.002
GR;2000;0.00035;0.00015
GR;2005;0.00005;0.00005
GR;2009;0.00001;0.00001
GT;2019;0.0005;0.0005
GW;2019;0.01;0.01
GY;2019;0.01;0.01
HN;2019;0.0005;0.0005
HR;2019;0.00001;0.00001
HR;1994;0.002;0.002
HR;2000;0.00035;0.00015
HR;2005;0.00005;0.00005
HR;2009;0.00001;0.00001
HT;2019;0.0005;0.0005
HU;2019;0.00001;0.00001
HU;1994;0.002;0.002
HU;2000;0.00035;0.00015
HU;2005;0.00005;0.00005
HU;2009;0.00001;0.00001
ID;2019;0.01;0.01
IE;2019;0.00001;0.00001
IE;1994;0.002;0.002
IE;2000;0.00035;0.00015
IE;2005;0.00005;0.00005
IE;2009;0.00001;0.00001
IL;2019;0.00001;0.00001
IN;2019;0.00005;0.00005
IQ;2019;0.01;0.01
IR;2019;0.00005;0.00005
IS;2019;0.00001;0.00001
IS;1994;0.002;0.002
IS;2000;0.00035;0.00015
IS;2005;0.00005;0.00005
IS;2009;0.00001;0.00001
IT;2019;0.00001;0.00001
IT;1994;0.002;0.002
IT;2000;0.00035;0.00015
IT;2005;0.00005;0.00005
IT;2009;0.00001;0.00001
JM;2019;0.00001;0.00001
JO;2019;0.00005;0.00005
JP;2019;0.00001;0.00001
KE;2019;0.00005;0.00005
KG;2019;0.00005;0.00005
KH;2019;0.01;0.01
KI;2019;0.0005;0.0005
KM;2019;0.002;0.002
KN;2019;0.00005;0.00005
KP;2019;0.0005;0.0005
KR;2019;0.00001;0.00001
KW;2019;0.00001;0.00001
KY;2019;0.0005;0.0005
KZ;2019;0.00005;0.00005
LA;2019;0.01;0.01
LB;2019;0.00035;0.00035
LC;2019;0.01;0.01
LI;2019;0.00001;0.00001
LI;1994;0.002;0.002
LI;2000;0.00035;0.00015
LI;2005;0.00005;0.00005
LI;2009;0.00001;0.00001
LK;2019;0.01;0.01
LR;2019;0.01;0.01
LS;2019;0.0005;0.0005
LT;2019;0.00001;0.00001
LT;1994;0.002;0.002
LT;2000;0.00035;0.00015
LT;2005;0.00005;0.00005
LT;2009;0.00001;0.00001
LU;2019;0.00001;0.00001
LU;1994;0.002;0.002
LU;2000;0.00035;0.00015
LU;2005;0.00005;0.00005
LU;2009;0.00001;0.00001
LV;2019;0.00001;0.00001
LV;1994;0.002;0.002
LV;2000;0.00035;0.00015
LV;2005;0.00005;0.00005
LV;2009;0.00001;0.00001
LY;2019;0.00035;0.00035
MA;2019;0.00001;0.00001
MC;1994;0.002;0.002
MC;2000;0.00035;0.00015
MC;2005;0.00005;0.00005
MC;2009;0.00001;0.00001
MD;2019;0.00001;0.00001
ME;2019;0.00001;0.00001
MG;2019;0.0005;0.0005
MK;2019;0.00001;0.00001
ML;2019;0.01;0.01
MM;2019;0.00005;0.00005
MN;2019;0.00035;0.00035
MO;2019;0.00005;0.00005
MR;2019;0.002;0.002
MT;2019;0.00001;0.00001
MU;2019;0.00005;0.00005
MV;2019;0.0005;0.0005
MW;2019;0.00005;0.00005
MX;2019;0.00001;0.00001
MY;2019;0.0005;0.0005
MZ;2019;0.00005;0.00005
NA;2019;0.00005;0.00005
NC;2019;0.00001;0.00001
NE;2019;0.002;0.002
NG;2019;0.01;0.01
NI;2019;0.0005;0.0005
NL;2019;0.00001;0.00001
NL;1994;0.002;0.002
NL;2000;0.00035;0.00015
NL;2005;0.00005;0.00005
NL;2009;0.00001;0.00001
NO;2019;0.00001;0.00001
NO;1994;0.002;0.002
NO;2000;0.00035;0.00015
NO;2005;0.00005;0.00005
NO;2009;0.00001;0.00001
