Region;Year;Scenario;Biomass fuel;Synthetic fuel
CAZ;2005;BAU;0;0
CAZ;2010;BAU;0;0
CAZ;2015;BAU;0;0
CAZ;2020;BAU;0;0
CAZ;2025;BAU;0;0
CAZ;2030;BAU;0.01;0.01
CAZ;2035;BAU;0.01;0.01
CAZ;2040;BAU;0.01;0.01
CAZ;2045;BAU;0.01;0.01
CAZ;2050;BAU;0;0
CAZ;2055;BAU;0.01;0.01
CAZ;2060;BAU;0.01;0.01
CAZ;2070;BAU;0.03;0.03
CAZ;2080;BAU;0.06;0.06
CAZ;2090;BAU;0.08;0.08
CAZ;2100;BAU;0.1;0.1
CHA;2005;BAU;0;0
CHA;2010;BAU;0;0
CHA;2015;BAU;0;0
CHA;2020;BAU;0;0
CHA;2025;BAU;0;0
CHA;2030;BAU;0;0
CHA;2035;BAU;0;0
CHA;2040;BAU;0;0
CHA;2045;BAU;0;0
CHA;2050;BAU;0;0
CHA;2055;BAU;0;0
CHA;2060;BAU;0;0
CHA;2070;BAU;0.03;0.03
CHA;2080;BAU;0.11;0.11
CHA;2090;BAU;0.22;0.22
CHA;2100;BAU;0.35;0.35
EUR;2005;BAU;0;0
EUR;2010;BAU;0.01;0.01
EUR;2015;BAU;0.01;0.01
EUR;2020;BAU;0.01;0.01
EUR;2025;BAU;0.04;0.04
EUR;2030;BAU;0.07;0.07
EUR;2035;BAU;0.07;0.07
EUR;2040;BAU;0.06;0.06
EUR;2045;BAU;0.06;0.06
EUR;2050;BAU;0.06;0.06
EUR;2055;BAU;0.06;0.06
EUR;2060;BAU;0.06;0.06
EUR;2070;BAU;0.1;0.1
EUR;2080;BAU;0.2;0.2
EUR;2090;BAU;0.32;0.32
EUR;2100;BAU;0.44;0.44
IND;2005;BAU;0;0
IND;2010;BAU;0;0
IND;2015;BAU;0;0
IND;2020;BAU;0;0
IND;2025;BAU;0;0
IND;2030;BAU;0;0
IND;2035;BAU;0;0
IND;2040;BAU;0;0
IND;2045;BAU;0;0
IND;2050;BAU;0;0
IND;2055;BAU;0;0
IND;2060;BAU;0;0
IND;2070;BAU;0;0
IND;2080;BAU;0;0
IND;2090;BAU;0;0
IND;2100;BAU;0;0
JPN;2005;BAU;0;0
JPN;2010;BAU;0;0
JPN;2015;BAU;0;0
JPN;2020;BAU;0;0
JPN;2025;BAU;0;0
JPN;2030;BAU;0;0
JPN;2035;BAU;0;0
JPN;2040;BAU;0;0
JPN;2045;BAU;0;0
JPN;2050;BAU;0.01;0.01
JPN;2055;BAU;0.02;0.02
JPN;2060;BAU;0.02;0.02
JPN;2070;BAU;0.05;0.05
JPN;2080;BAU;0.1;0.1
JPN;2090;BAU;0.17;0.17
JPN;2100;BAU;0.24;0.24
LAM;2005;BAU;0.02;0.02
LAM;2010;BAU;0.01;0.01
LAM;2015;BAU;0.01;0.01
LAM;2020;BAU;0.02;0.02
LAM;2025;BAU;0.06;0.06
LAM;2030;BAU;0.08;0.08
LAM;2035;BAU;0.08;0.08
LAM;2040;BAU;0.07;0.07
LAM;2045;BAU;0.06;0.06
LAM;2050;BAU;0.06;0.06
LAM;2055;BAU;0.05;0.05
LAM;2060;BAU;0.05;0.05
LAM;2070;BAU;0.06;0.06
LAM;2080;BAU;0.12;0.12
LAM;2090;BAU;0.23;0.23
LAM;2100;BAU;0.37;0.37
MEA;2005;BAU;0;0
MEA;2010;BAU;0;0
MEA;2015;BAU;0;0
MEA;2020;BAU;0;0
MEA;2025;BAU;0;0
MEA;2030;BAU;0;0
MEA;2035;BAU;0;0
MEA;2040;BAU;0;0
MEA;2045;BAU;0;0
MEA;2050;BAU;0;0
MEA;2055;BAU;0;0
MEA;2060;BAU;0;0
MEA;2070;BAU;0;0
MEA;2080;BAU;0;0
MEA;2090;BAU;0;0
MEA;2100;BAU;0;0
NEU;2005;BAU;0;0
NEU;2010;BAU;0;0
NEU;2015;BAU;0;0
NEU;2020;BAU;0;0
NEU;2025;BAU;0;0
NEU;2030;BAU;0;0
NEU;2035;BAU;0;0
NEU;2040;BAU;0;0
NEU;2045;BAU;0.01;0.01
NEU;2050;BAU;0.01;0.01
NEU;2055;BAU;0.01;0.01
NEU;2060;BAU;0.02;0.02
NEU;2070;BAU;0.05;0.05
NEU;2080;BAU;0.09;0.09
NEU;2090;BAU;0.13;0.13
NEU;2100;BAU;0.16;0.16
OAS;2005;BAU;0;0
OAS;2010;BAU;0;0
OAS;2015;BAU;0;0
OAS;2020;BAU;0;0
OAS;2025;BAU;0;0
OAS;2030;BAU;0;0
OAS;2035;BAU;0;0
OAS;2040;BAU;0;0
OAS;2045;BAU;0;0
OAS;2050;BAU;0;0
OAS;2055;BAU;0;0
OAS;2060;BAU;0;0
OAS;2070;BAU;0;0
OAS;2080;BAU;0;0
OAS;2090;BAU;0.01;0.01
OAS;2100;BAU;0.06;0.06
REF;2005;BAU;0;0
REF;2010;BAU;0;0
REF;2015;BAU;0;0
REF;2020;BAU;0;0
REF;2025;BAU;0;0
REF;2030;BAU;0;0
REF;2035;BAU;0;0
REF;2040;BAU;0;0
REF;2045;BAU;0;0
REF;2050;BAU;0;0
REF;2055;BAU;0;0
REF;2060;BAU;0;0
REF;2070;BAU;0.02;0.02
REF;2080;BAU;0.04;0.04
REF;2090;BAU;0.08;0.08
REF;2100;BAU;0.16;0.16
SSA;2005;BAU;0;0
SSA;2010;BAU;0;0
SSA;2015;BAU;0;0
SSA;2020;BAU;0;0
SSA;2025;BAU;0;0
SSA;2030;BAU;0;0
SSA;2035;BAU;0;0
SSA;2040;BAU;0;0
SSA;2045;BAU;0;0
SSA;2050;BAU;0;0
SSA;2055;BAU;0;0
SSA;2060;BAU;0;0
SSA;2070;BAU;0;0
SSA;2080;BAU;0;0
SSA;2090;BAU;0;0
SSA;2100;BAU;0;0
USA;2005;BAU;0.01;0.01
