Code;HV;MV;LV
AL;1.059483604;1.081739608;1.218175234
DZ;1.080623943;1.111579316;1.308795001
AO;1.047244897;1.06465642;1.169104681
AR;1.056774681;1.077946365;1.206849485
AM;1.061294847;1.084279683;1.22564138
AU;1.020234661;1.027443897;1.031891683
AT;1.019719196;1.02331188;1.047868993
AZ;1.059402709;1.081626233;1.217541061
BH;1.01555192;1.021060033;1.05235876
BD;1.049680336;1.068044775;1.171239935
BY;1.035960909;1.049028905;1.125848081
BE;1.017923219;0.99924454;0.981099832
BJ;1.081761006;1.1131963;1.313892749
BO;1.038318312;1.052284044;1.133353413
BA;1.043534147;1.05950433;1.154686661
BW;1.02771552;1.037683605;1.095031173
BR;1.062715434;1.086274057;1.231535018
BN;1.0286554;1.038973703;1.097940078
BG;1.049811919;1.068227999;1.130476975
KH;1.061725138;1.084883573;1.226053166
CM;1.044912613;1.061416736;1.160018291
CA;1.039930195;1.054003731;1.134914955
CL;1.026663754;1.036240887;1.07857941
CN;1.023577688;1.032013507;1.071332227
SGCC;1.023577688;1.032013507;1.07185454
CSG;1.023577688;1.032013507;1.07953194
CO;1.045486609;1.062213584;1.162246858
CG;1.246156336;1.360613086;2.407927107
CR;1.043873073;1.059974373;1.155436203
CI;1.071007818;1.097953712;1.266615276
HR;1.042230644;1.057697537;1.146962955
CU;1.067133453;1.092488679;1.247614188
CW;1.072279587;1.099750714;1.272099706
CY;1.016235277;1.021990402;1.02115353
CZ;1.0247248;1.033231506;1.042118622
KP;1.073062232;1.100857349;1.275488867
CD;1.08698204;1.120636844;1.337607972
DK;1.023444008;1.020676035;1.044350339
DO;1.049145737;1.067300532;1.145604904
EC;1.05245573;1.071912815;1.187999196
EG;1.047196848;1.064589626;1.165996568
SV;1.046280356;1.063316004;1.165336863
ER;1.059001513;1.081064044;1.203434721
EE;1.041298976;1.050676489;1.139120324
ET;1.09127245;1.126770713;1.357482201
FI;1.013158392;1.010568597;1.036224283
MK;1.055472104;1.07612484;1.198223752
FR;1.030631912;1.041467094;1.086444104
GA;1.089084679;1.123640714;1.345248524
GE;1.023017903;1.031247626;1.078600833
DE;1.017428311;0.998742661;0.939611318
GH;1.101417376;1.141345223;1.405053061
GI;1.020956475;1.028429692;1.07128093
GR;1.030133212;1.041003804;0.985586157
GT;1.044685583;1.061101647;1.157761751
HT;1.310717039;1.465710868;3.169599751
HN;1.150865214;1.213831165;1.674758945
HK;1.041385338;1.056526693;1.14639123
HU;1.03620318;1.043145992;1.117268982
IS;1.011281458;1.015255467;1.037677187
IN;1.088109082;1.12224643;1.331391437
ID;1.039464994;1.053869247;1.138984496
IR;1.054795538;1.075179354;1.199098047
IQ;1.206084791;1.297715006;2.056657084
IE;1.03040773;1.035672279;1.098716294
IL;1.012731373;1.017224403;1.018282143
IT;1.025038413;1.015072999;0.948081469
JM;1.116544417;1.163263124;1.482097701
JP;1.018048672;1.023631193;1.014222566
JO;1.044453232;1.060779221;1.158238312
KZ;1.033938554;1.046240472;1.118334139
KE;1.073624961;1.101653387;1.277671198
KR;1.013802443;1.018680095;1.037577541
XK;1.061854474;1.085065121;1.227959136
KW;1.054299637;1.074486615;1.197100703
KG;1.102455469;1.142842203;1.410986463
LV;1.026694045;1.036282423;1.091797553
LB;1.04224281;1.057714393;1.149717927
LY;1.380833921;1.58540058;4.457028352
LT;1.030456563;1.034709981;1.087365799
LU;1.007436598;1.000225388;0.999730808
MY;1.02416115;1.032812086;1.079819272
MT;1.020456821;1.027747255;1.016262224
MU;1.024547171;1.0333406;1.047995361
MX;1.058941088;1.080979385;1.214138613
MD;1.084439424;1.117010079;1.325559766
MN;1.054901192;1.075326975;1.199524096
ME;1.071103008;1.098088162;1.267024802
MA;1.050853414;1.069678808;1.183327703
MZ;1.073009088;1.100782185;1.27525839
MM;1.086806355;1.120386049;1.336801649
NA;1.051498997;1.070578616;1.1858936
NP;1.102230244;1.142517328;1.409336431
NL;1.017232;1.023348164;1.046842634
NZ;1.027025056;1.036736375;1.092292672
NI;1.093064429;1.129337895;1.3658884
NE;1.070848073;1.097728101;1.258936021
NG;1.06921656;1.095425268;1.258938179
NO;1.027734935;1.034956168;1.092422329
OM;1.045613698;1.062390057;1.162740965
PK;1.075423106;1.104199064;1.285777732
PA;1.059887084;1.082305179;1.219597575
PY;1.118197562;1.165671999;1.490726602
PE;1.045794135;1.062640631;1.163442898
PH;1.041828023;1.0560916;1.14639099
PL;1.028040333;1.038107279;1.096568098
PT;1.041199884;1.056269906;1.123190587
QA;1.025920687;1.035222221;1.089005969
RO;1.055169253;1.07570156;1.148160482
RU;1.044115357;1.060310453;1.156611918
SA;1.027853811;1.037873376;1.09599035
SN;1.05344296;1.073290436;1.190876102
RS;1.065877516;1.090720141;1.244436224
SG;1.008294343;0.978819093;0.992607181
SK;1.010251602;1.013858105;1.008670661
SI;1.024486608;1.032920919;1.06495462
ZA;1.044725687;1.061157301;1.141835278
SS;1.025529129;1.034685639;1.071367535
ES;1.041254556;1.055946349;1.086164285
LK;1.048528145;1.066441079;1.170647316
SD;1.059387349;1.081604706;1.217779964
SE;1.022071273;1.010693372;1.053368704
CH;1.030389442;1.024444136;1.078880054
SY;1.073384447;1.101313118;1.276887306
TW;1.014483623;1.019261945;1.044036544
TJ;1.077622974;1.107317648;1.295454141
TZ;1.0733208;1.101223082;1.269680287
TH;1.02361188;1.032060298;1.064580914
TG;1.033591731;1.045762648;1.117064647
TT;1.009501817;1.012841357;1.031627931
TN;1.064498847;1.088780491;1.236096897
TR;1.063257083;1.08665964;1.233129019
TM;1.067858483;1.093510301;1.253154458
UA;1.050601052;1.069327173;1.177478776
AE;1.030797825;1.041917448;1.105762194
GB;1.033292789;1.045350878;1.093152928
US;1.024587553;1.029225382;1.070393248
UY;1.044755566;1.061198768;1.159409415
UZ;1.037734353;1.051477227;1.132564599
VE;1.172775595;1.24673642;1.814376301
VN;1.037111331;1.050616788;1.130217654
YE;1.135462031;1.190990565;1.584656909
ZM;1.069980727;1.096503554;1.262206517
ZW;1.070741494;1.097577591;1.265470331
RoW;1.035246598;1.046524224;1.105875225
RER;1.03;1.05;1.1
