split;category;search by;search for
components;direct;compartment;air
components;direct;name;noise
components;energy chain;name;market for petrol
components;energy chain;name;market for diesel
components;energy chain;name;Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station
components;energy chain;name;market for natural gas, from high pressure network
components;energy chain;name;market group for electricity, low voltage
components;energy chain;name;market group for electricity, medium voltage
components;energy chain;name;electricity production, deep geothermal
components;energy chain;name;electricity production, hard coal
components;energy chain;name;electricity production, hydro, reservoir, alpine region
components;energy chain;name;electricity production, hydro, run-of-river
components;energy chain;name;electricity production, natural gas, combined cycle power plant
components;energy chain;name;electricity production, natural gas, conventional power plant
components;energy chain;name;electricity production, nuclear, pressure water reactor
components;energy chain;name;electricity production, oil
components;energy chain;name;electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted
components;energy chain;name;electricity production, wind, >3MW turbine, onshore
components;energy chain;name;electricity production, wind, 1-3MW turbine, onshore
components;energy chain;name;electricity, from municipal waste incineration to generic market for electricity, medium voltage
components;energy chain;name;Electricity, high voltage, hard coal, at grid
components;energy chain;name;Electricity, high voltage, hydro-reservoir, at grid
components;energy chain;name;Electricity, high voltage, natural gas CCPP, at grid
components;energy chain;name;Electricity, high voltage, nuclear- PWR, at grid
components;energy chain;name;Electricity, high voltage, wind, at grid
components;energy chain;name;Electricity, low voltage, hard coal, at grid
components;energy chain;name;Electricity, low voltage, hydro-reservoir, at grid
components;energy chain;name;Electricity, low voltage, natural gas CCPP, at grid
components;energy chain;name;Electricity, low voltage, nuclear- PWR, at grid
components;energy chain;name;Electricity, low voltage, solar, at grid
components;energy chain;name;Electricity, low voltage, wind, at grid
components;energy chain;name;Electricity, medium voltage, hard coal, at grid
components;energy chain;name;Electricity, medium voltage, hydro-reservoir, at grid
components;energy chain;name;Electricity, medium voltage, natural gas CCPP, at grid
components;energy chain;name;Electricity, medium voltage, nuclear- PWR, at grid
components;energy chain;name;Electricity, medium voltage, wind, at grid
components;energy chain;name;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014
components;maintenance;name;maintenance
components;glider;name;glider
components;glider;name;lightweighting
components;glider;name;manual dismantling
components;glider;name;steel
components;powertrain;name;market for charger
components;powertrain;name;market for inverter
components;powertrain;name;market for converter
components;powertrain;name;market for electric motor
components;powertrain;name;market for power distribution unit
components;powertrain;name;market for used powertrain
components;powertrain;name;market for internal combustion engine
components;powertrain;name;Ancillary BoP
components;powertrain;name;Essential BoP
components;powertrain;name;Stack 2020
components;energy storage;name;Battery BoP
components;energy storage;name;Battery cell
components;energy storage;name;polyethylene production, high density
components;energy storage;name;glass fibre reinforced plastic production
components;energy storage;name;Fuel tank, compressed hydrogen gas, 700bar
components;road;name;market for road
