;;2011;2012;2013;2014;2015;2016;2017;2018
Australia;AU;0.41;0.42;0.43;0.45;0.46;0.47;0.47;0.49
Austria;AT;0.76;0.76;0.78;0.78;0.78;0.79;0.8;0.8
Belgium;BE;0.85;0.85;0.85;0.85;0.84;0.83;0.82;0.8
Canada;CA;0.34;0.34;0.34;0.34;0.32;0.3;0.32;0.32
Chile;CL;0.59;0.59;0.58;0.54;0.56;0.56;0.57;0.58
Czech Republic;CZ;0.67;0.68;0.7;0.71;0.72;0.73;0.73;0.74
Denmark;DK;0.61;0.62;0.63;0.64;0.63;0.64;0.65;0.65
Estonia;EE;0.62;0.64;0.66;0.66;0.67;0.66;0.66;0.66
Finland;FI;0.61;0.62;0.62;0.63;0.63;0.64;0.65;0.66
France;FR;0.82;0.83;0.83;0.83;0.83;0.83;0.82;0.81
Germany;DE;0.61;0.63;0.64;0.64;0.65;0.66;0.66;0.66
Greece;GR;0.4;0.37;0.42;0.45;0.46;0.48;0.49;0.5
Hungary;HU;0.64;0.64;0.64;0.65;0.67;0.66;0.67;0.68
Iceland;IS;0.43;0.45;0.47;0.47;0.51;0.53;0.57;0.59
Ireland;IE;0.62;0.62;0.66;0.68;0.72;0.74;0.77;0.79
Israel;IL;0.47;0.5;0.48;0.48;0.47;0.47;0.47;0.47
Italy;IT;0.71;0.72;0.73;0.74;0.74;0.75;0.75;0.75
Japan;JP;0.35;0.34;0.35;0.36;0.36;0.36;0.36;0.37
Korea;KR;0.63;0.64;0.64;0.65;0.66;0.66;0.67;0.66
Luxembourg;LU;0.84;0.84;0.85;0.85;0.85;0.84;0.84;0.84
Mexico;ME;0.28;0.28;0.28;0.29;0.28;0.27;0.27;0.25
Netherlands;NL;0.6;0.61;0.6;0.59;0.59;0.58;0.58;0.58
New Zealand;NZ;0.42;0.43;0.44;0.45;0.45;0.45;0.47;0.49
Norway;NO;0.69;0.71;0.73;0.76;0.78;0.79;0.78;0.78
Poland;PO;0.72;0.72;0.72;0.72;0.73;0.74;0.76;0.76
Portugal;PT;0.78;0.78;0.78;0.78;0.79;0.8;0.8;0.81
Slovak Republic;SK;0.71;0.72;0.72;0.71;0.7;0.72;0.75;0.77
Slovenia;SL;0.69;0.72;0.73;0.75;0.75;0.77;0.78;0.78
Spain;ES;0.81;0.81;0.81;0.82;0.82;0.82;0.82;0.82
Sweden;SE;0.53;0.55;0.58;0.59;0.62;0.63;0.64;0.65
Switzerland;CH;0.44;0.46;0.48;0.5;0.52;0.53;0.54;0.55
Turkey;TR;0.83;0.86;0.87;0.87;0.89;0.89;0.89;0.9
United Kingdom;UK;0.6;0.61;0.63;0.64;0.66;0.67;0.67;0.68
United States;US;0.24;0.23;0.24;0.24;0.24;0.24;0.24;0.25
