country;year;Hydro;Nuclear;Gas;Solar;Wind;Biomass;Coal;Oil;Geothermal;Waste;Biogas CCS;Biomass CCS;Coal CCS;Gas CCS;Wood CCS;"Hydro, reservoir";Gas CCGT;Gas CHP;"Solar, thermal";"Wind, offshore";Lignite
AO;2015;0.380;0.000;0.060;0.000;0.000;0.000;0.000;0.560;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AO;2016;0.410;0.000;0.060;0.000;0.000;0.000;0.000;0.530;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AO;2020;0.710;0.000;0.210;0.000;0.000;0.010;0.000;0.070;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AO;2025;0.910;0.000;0.040;0.000;0.000;0.010;0.000;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AO;2030;0.880;0.000;0.070;0.020;0.000;0.010;0.000;0.030;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AO;2040;0.800;0.000;0.010;0.180;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AO;2050;0.550;0.000;0.000;0.190;0.000;0.000;0.260;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AT;2000;0.700;0.000;0.150;0.000;0.000;0.030;0.100;0.030;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AT;2005;0.570;0.000;0.220;0.000;0.020;0.040;0.110;0.030;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AT;2010;0.560;0.000;0.240;0.000;0.030;0.070;0.070;0.020;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AT;2015;0.660;0.000;0.120;0.010;0.140;0.000;0.050;0.020;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AT;2016;0.660;0.000;0.120;0.010;0.140;0.000;0.050;0.020;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AT;2020;0.360;0.080;0.050;0.030;0.110;0.040;0.060;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.110;0.040;0.030;0.000;0.000;0.100
AT;2025;0.540;0.000;0.000;0.130;0.170;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.030;0.060;0.070;0.000;0.000;0.000
AT;2030;0.470;0.000;0.000;0.180;0.270;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.020;0.010;0.050;0.000;0.000;0.000
AT;2040;0.440;0.000;0.000;0.200;0.300;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.020;0.010;0.040;0.000;0.000;0.000
AT;2050;0.442;0.000;0.000;0.202;0.295;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.016;0.010;0.035;0.000;0.000;0.000
AU;2015;0.070;0.000;0.110;0.050;0.160;0.040;0.570;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AU;2016;0.090;0.000;0.120;0.080;0.150;0.030;0.530;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AU;2020;0.070;0.000;0.130;0.170;0.170;0.030;0.430;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AU;2025;0.060;0.000;0.090;0.250;0.150;0.030;0.420;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AU;2030;0.070;0.000;0.110;0.280;0.120;0.020;0.400;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AU;2040;0.050;0.000;0.260;0.350;0.140;0.030;0.170;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AU;2050;0.070;0.000;0.160;0.580;0.150;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AU;2000;0.080;0.000;0.080;0.000;0.000;0.010;0.830;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
