,variable,powertrain,euro_class,component,hot
0,a,ICEV-d,0.0,Benzene,7.156785691005712e-07
1,a,ICEV-d,0.0,CH4,1.0285201295427754e-06
2,a,ICEV-d,0.0,CO,0.00021549131715289837
3,a,ICEV-d,0.0,FC_MJ,0.0010000000000000002
4,a,ICEV-d,0.0,HC,4.2855005065842516e-05
5,a,ICEV-d,0.0,N2O,0.0
6,a,ICEV-d,0.0,NH3,1.0000000474974498e-06
7,a,ICEV-d,0.0,NMHC,4.182648532044089e-05
8,a,ICEV-d,0.0,NO2,1.947662428107087e-05
9,a,ICEV-d,0.0,NOx,0.00024345780878877994
10,a,ICEV-d,0.0,PM2.5,3.678419585441587e-05
11,a,ICEV-d,0.0,Pb,0.0
12,a,ICEV-d,1.0,Benzene,3.55875760411446e-07
13,a,ICEV-d,1.0,CH4,5.114382354926221e-07
14,a,ICEV-d,1.0,CO,0.00011989964042005657
15,a,ICEV-d,1.0,FC_MJ,0.0009999999999999994
16,a,ICEV-d,1.0,HC,2.1309926357504962e-05
17,a,ICEV-d,1.0,N2O,3.963636551898994e-06
18,a,ICEV-d,1.0,NH3,1.00000004749745e-06
19,a,ICEV-d,1.0,NMHC,2.079848844937548e-05
20,a,ICEV-d,1.0,NO2,1.858224069171431e-05
21,a,ICEV-d,1.0,NOx,0.00023227801355257114
22,a,ICEV-d,1.0,PM2.5,3.7767609797615804e-05
23,a,ICEV-d,1.0,Pb,0.0
24,a,ICEV-d,2.0,Benzene,1.9317266102904078e-07
25,a,ICEV-d,2.0,CH4,5.783612901952136e-07
26,a,ICEV-d,2.0,CO,4.6156560628072886e-05
27,a,ICEV-d,2.0,FC_MJ,0.0010000000000000005
28,a,ICEV-d,2.0,HC,1.1567225648734064e-05
29,a,ICEV-d,2.0,N2O,5.963636418296528e-06
30,a,ICEV-d,2.0,NH3,1.0000000474974498e-06
31,a,ICEV-d,2.0,NMHC,1.0988864188269087e-05
32,a,ICEV-d,2.0,NO2,2.7815910480149408e-05
33,a,ICEV-d,2.0,NOx,0.000252871913459819
34,a,ICEV-d,2.0,PM2.5,2.295589323444965e-05
35,a,ICEV-d,2.0,Pb,0.0
36,a,ICEV-d,3.0,Benzene,1.431839399267063e-07
37,a,ICEV-d,3.0,CH4,8.57388897346978e-07
38,a,ICEV-d,3.0,CO,1.9213937505589843e-05
39,a,ICEV-d,3.0,FC_MJ,0.0010000000000000002
40,a,ICEV-d,3.0,HC,8.573888899212042e-06
41,a,ICEV-d,3.0,N2O,4.090909270400357e-06
42,a,ICEV-d,3.0,NH3,1.0000000474974498e-06
43,a,ICEV-d,3.0,NMHC,7.716499849626793e-06
44,a,ICEV-d,3.0,NO2,0.0001289768113497672
45,a,ICEV-d,3.0,NOx,0.00036850518204840525
46,a,ICEV-d,3.0,PM2.5,1.2905993742987718e-05
47,a,ICEV-d,3.0,Pb,0.0
48,a,ICEV-d,4.0,Benzene,3.24776542239527e-08
49,a,ICEV-d,4.0,CH4,6.089560111870357e-07
50,a,ICEV-d,4.0,CO,1.1804960082979991e-05
51,a,ICEV-d,4.0,FC_MJ,0.0009999999999999998
52,a,ICEV-d,4.0,HC,4.0597065922444804e-06
53,a,ICEV-d,4.0,N2O,4.090909270400357e-06
54,a,ICEV-d,4.0,NH3,1.0000000474974498e-06
55,a,ICEV-d,4.0,NMHC,3.450750702956594e-06
56,a,ICEV-d,4.0,NO2,0.00012598357080062514
57,a,ICEV-d,4.0,NOx,0.000292516463715701
58,a,ICEV-d,4.0,PM2.5,7.74554694581512e-06
59,a,ICEV-d,4.0,Pb,0.0
60,a,ICEV-d,5.0,Benzene,2.2404155006449487e-08
61,a,ICEV-d,5.0,CH4,1.6803116243517182e-06
62,a,ICEV-d,5.0,CO,9.720958482660953e-06
63,a,ICEV-d,5.0,FC_MJ,0.001
64,a,ICEV-d,5.0,HC,2.800519253803218e-06
65,a,ICEV-d,5.0,N2O,5.872727481817661e-06
66,a,ICEV-d,5.0,NH3,1.0363636855882665e-07
67,a,ICEV-d,5.0,NMHC,1.1202077250695396e-06
68,a,ICEV-d,5.0,NO2,0.0001350673579904501
69,a,ICEV-d,5.0,NOx,0.0003972569270603779
70,a,ICEV-d,5.0,PM2.5,8.489565395943003e-07
71,a,ICEV-d,5.0,Pb,0.0
72,a,ICEV-d,6.0,Benzene,5.549093257183846e-08
73,a,ICEV-d,6.0,CH4,6.242729440078154e-06
74,a,ICEV-d,6.0,CO,2.9755907053322286e-05
75,a,ICEV-d,6.0,FC_MJ,0.001
76,a,ICEV-d,6.0,HC,6.936366216732393e-06
77,a,ICEV-d,6.0,N2O,1.1109091256829836e-05
78,a,ICEV-d,6.0,NH3,7.909091282635927e-06
79,a,ICEV-d,6.0,NMHC,6.936366332546486e-07
80,a,ICEV-d,6.0,NO2,8.004696354974196e-05
81,a,ICEV-d,6.0,NOx,0.00022870561348617804
82,a,ICEV-d,6.0,PM2.5,2.641808229884865e-07
83,a,ICEV-d,6.0,Pb,0.0
84,a,ICEV-d,6.1,Benzene,4.5461597474401813e-08
85,a,ICEV-d,6.1,CH4,5.114429357925476e-06
86,a,ICEV-d,6.1,CO,1.4790660585778387e-05
87,a,ICEV-d,6.1,FC_MJ,0.0010000000000000002
88,a,ICEV-d,6.1,HC,5.6826994369558e-06
89,a,ICEV-d,6.1,N2O,1.1109091256829836e-05
90,a,ICEV-d,6.1,NH3,7.909091282635927e-06
91,a,ICEV-d,6.1,NMHC,5.682699512107554e-07
92,a,ICEV-d,6.1,NO2,3.38500024697876e-05
93,a,ICEV-d,6.1,NOx,9.671429363795527e-05
94,a,ICEV-d,6.1,PM2.5,2.686773956200281e-07
95,a,ICEV-d,6.1,Pb,0.0
96,a,ICEV-d,6.2,Benzene,3.792975324933136e-08
97,a,ICEV-d,6.2,CH4,4.267096868689656e-06
98,a,ICEV-d,6.2,CO,6.255758146091409e-06
99,a,ICEV-d,6.2,FC_MJ,0.001
100,a,ICEV-d,6.2,HC,4.741218891261616e-06
101,a,ICEV-d,6.2,N2O,1.1109091256829836e-05
102,a,ICEV-d,6.2,NH3,7.909091282635927e-06
103,a,ICEV-d,6.2,NMHC,4.741218970616667e-07
104,a,ICEV-d,6.2,NO2,5.6953117082542454e-06
105,a,ICEV-d,6.2,NOx,1.6272319429052636e-05
106,a,ICEV-d,6.2,PM2.5,2.614114540959954e-07
107,a,ICEV-d,6.2,Pb,0.0
108,a,ICEV-d,6.3,Benzene,3.5756826588059034e-08
109,a,ICEV-d,6.3,CH4,4.022642697776781e-06
110,a,ICEV-d,6.3,CO,5.994513458459658e-06
111,a,ICEV-d,6.3,FC_MJ,0.0009999999999999996
112,a,ICEV-d,6.3,HC,4.469603105196313e-06
113,a,ICEV-d,6.3,N2O,1.1109091256829836e-05
114,a,ICEV-d,6.3,NH3,7.909091282635927e-06
115,a,ICEV-d,6.3,NMHC,4.4696031687048915e-07
116,a,ICEV-d,6.3,NO2,5.217104022097616e-06
117,a,ICEV-d,6.3,NOx,1.490601166204026e-05
118,a,ICEV-d,6.3,PM2.5,2.498627874396118e-07
119,a,ICEV-d,6.3,Pb,0.0
120,a,ICEV-d,7.0,Benzene,2.2030074824681696e-08
121,a,ICEV-d,7.0,CH4,2.478383212676885e-06
122,a,ICEV-d,7.0,CO,6.314182036594072e-05
123,a,ICEV-d,7.0,FC_MJ,0.001
124,a,ICEV-d,7.0,HC,2.753759212330318e-06
125,a,ICEV-d,7.0,N2O,1.1109091256829836e-05
126,a,ICEV-d,7.0,NH3,7.909091282635927e-06
127,a,ICEV-d,7.0,NMHC,2.7537592698518245e-07
128,a,ICEV-d,7.0,NO2,2.0873451382597816e-06
129,a,ICEV-d,7.0,NOx,5.9638433258112415e-06
130,a,ICEV-d,7.0,PM2.5,2.511384472718646e-07
131,a,ICEV-d,7.0,Pb,0.0
132,a,ICEV-g,0.0,Benzene,2.2030074824681696e-08
133,a,ICEV-g,0.0,CH4,2.478383212676885e-06
134,a,ICEV-g,0.0,CO,6.314182036594072e-05
135,a,ICEV-g,0.0,FC_MJ,0.001
136,a,ICEV-g,0.0,HC,2.753759212330318e-06
137,a,ICEV-g,0.0,N2O,1.1109091256829836e-05
138,a,ICEV-g,0.0,NH3,7.909091282635927e-06
139,a,ICEV-g,0.0,NMHC,2.7537592698518245e-07
140,a,ICEV-g,0.0,NO2,2.0873451382597816e-06
141,a,ICEV-g,0.0,NOx,5.9638433258112415e-06
142,a,ICEV-g,0.0,PM2.5,2.511384472718646e-07
143,a,ICEV-g,0.0,Pb,0.0
144,a,ICEV-g,1.0,Benzene,2.2030074824681696e-08
145,a,ICEV-g,1.0,CH4,2.478383212676885e-06
146,a,ICEV-g,1.0,CO,6.314182036594072e-05
147,a,ICEV-g,1.0,FC_MJ,0.001
148,a,ICEV-g,1.0,HC,2.753759212330318e-06
149,a,ICEV-g,1.0,N2O,1.1109091256829836e-05
150,a,ICEV-g,1.0,NH3,7.909091282635927e-06
151,a,ICEV-g,1.0,NMHC,2.7537592698518245e-07
