,powertrain,euro_class,type,Component,hot
0,ICEV-d,0.0,cold start,Benzene,0.00703805312514305
1,ICEV-d,0.0,cold start,CH4,0.0144370319321752
2,ICEV-d,0.0,cold start,CO,3.09511065483093
3,ICEV-d,0.0,cold start,FC_MJ,1.4321311712265001
4,ICEV-d,0.0,cold start,HC,0.601543009281158
5,ICEV-d,0.0,cold start,N2O,0.0
6,ICEV-d,0.0,cold start,NH3,0.0
7,ICEV-d,0.0,cold start,NMHC,0.587105989456177
8,ICEV-d,0.0,cold start,NO2,0.170803412795067
9,ICEV-d,0.0,cold start,NOx,0.268405348062515
10,ICEV-d,0.0,cold start,PM2.5,0.083287850022316
11,ICEV-d,0.0,cold start,Pb,0.0
12,ICEV-d,0.0,diurnal,Benzene,0.0
13,ICEV-d,0.0,diurnal,CH4,0.0
14,ICEV-d,0.0,diurnal,CO,0.0
15,ICEV-d,0.0,diurnal,FC_MJ,0.0
16,ICEV-d,0.0,diurnal,HC,0.0
17,ICEV-d,0.0,diurnal,N2O,0.0
18,ICEV-d,0.0,diurnal,NH3,0.0
19,ICEV-d,0.0,diurnal,NMHC,0.0
20,ICEV-d,0.0,diurnal,NO2,0.0
21,ICEV-d,0.0,diurnal,NOx,0.0
22,ICEV-d,0.0,diurnal,PM2.5,0.0
23,ICEV-d,0.0,diurnal,Pb,0.0
24,ICEV-d,0.0,running losses,Benzene,0.0
25,ICEV-d,0.0,running losses,CH4,0.0
26,ICEV-d,0.0,running losses,CO,0.0
27,ICEV-d,0.0,running losses,FC_MJ,0.0
28,ICEV-d,0.0,running losses,HC,0.0
29,ICEV-d,0.0,running losses,N2O,0.0
30,ICEV-d,0.0,running losses,NH3,0.0
31,ICEV-d,0.0,running losses,NMHC,0.0
32,ICEV-d,0.0,running losses,NO2,0.0
33,ICEV-d,0.0,running losses,NOx,0.0
34,ICEV-d,0.0,running losses,PM2.5,0.0
35,ICEV-d,0.0,running losses,Pb,0.0
36,ICEV-d,0.0,soak,Benzene,0.0
37,ICEV-d,0.0,soak,CH4,0.0
38,ICEV-d,0.0,soak,CO,0.0
