country;year;value
AO;2000;0
AO;2005;0
AO;2010;0
AO;2015;0
AO;2016;0
AO;2017;0
AO;2018;0
AL;2000;0
AL;2005;0
AL;2010;0
AL;2015;0
AL;2016;0
AL;2017;0
AL;2018;0
AE;2000;0
AE;2005;0
AE;2010;0
AE;2015;0
AE;2016;0
AE;2017;0
AE;2018;0
AR;2000;0
AR;2005;0
AR;2010;0
AR;2015;0
AR;2016;0
AR;2017;0
AR;2018;0
AM;2000;0
AM;2005;0
AM;2010;0
AM;2015;0
AM;2016;0
AM;2017;0
AM;2018;0
AU;2000;0
AU;2005;0
AU;2010;0
AU;2015;0
AU;2016;0
AU;2017;0
AU;2018;0
AT;2000;0
AT;2005;0
AT;2010;0.000193695
AT;2015;0.023458406
AT;2016;0.023450021
AT;2017;0.015835258
AT;2018;0.022243458
AZ;2000;0
AZ;2005;0
AZ;2010;0
AZ;2015;0
AZ;2016;0
AZ;2017;0
AZ;2018;0
BE;2000;0
BE;2005;0
BE;2010;0
BE;2015;0
BE;2016;0
BE;2017;0
BE;2018;0
BJ;2000;0
BJ;2005;0
BJ;2010;0
BJ;2015;0
BJ;2016;0
BJ;2017;0
BJ;2018;0
BD;2000;0
BD;2005;0
BD;2010;0
BD;2015;0
BD;2016;0
BD;2017;0
BD;2018;0
BG;2000;0
BG;2005;0
BG;2010;0
BG;2015;0
BG;2016;0
BG;2017;0
BG;2018;0
BH;2000;0
BH;2005;0
BH;2010;0
BH;2015;0
BH;2016;0
BH;2017;0
BH;2018;0
BA;2000;0
BA;2005;0
BA;2010;0
BA;2015;0
BA;2016;0
BA;2017;0
BA;2018;0
BY;2000;0
BY;2005;0
BY;2010;0
BY;2015;0
BY;2016;0
BY;2017;0
BY;2018;0
BO;2000;0
BO;2005;0
BO;2010;0
BO;2015;0
BO;2016;0
BO;2017;0
BO;2018;0
BR;2000;0
BR;2005;0
BR;2010;0
BR;2015;0
BR;2016;0
BR;2017;0
BR;2018;0
BN;2000;0
BN;2005;0
BN;2010;0
BN;2015;0
BN;2016;0
BN;2017;0
BN;2018;0
BW;2000;0
BW;2005;0
BW;2010;0
BW;2015;0
BW;2016;0
BW;2017;0
BW;2018;0
CA;2000;0
CA;2005;0
CA;2010;0
CA;2015;0
CA;2016;0
CA;2017;0
CA;2018;0
CH;2000;0.1
CH;2005;0.15
CH;2010;0.2
CH;2015;0.2
CH;2016;0.2
CH;2017;0.22
CH;2018;0.22
CL;2000;0
CL;2005;0
CL;2010;0
CL;2015;0
CL;2016;0
CL;2017;0
CL;2018;0
CN;2000;0
CN;2005;0
CN;2010;0
CN;2015;0
CN;2016;0
CN;2017;0
CN;2018;0
CI;2000;0
CI;2005;0
CI;2010;0
CI;2015;0
CI;2016;0
CI;2017;0
CI;2018;0
CM;2000;0
CM;2005;0
CM;2010;0
CM;2015;0
CM;2016;0
CM;2017;0
CM;2018;0
CD;2000;0
CD;2005;0
CD;2010;0
CD;2015;0
CD;2016;0
CD;2017;0
CD;2018;0
CG;2000;0
CG;2005;0
CG;2010;0
CG;2015;0
CG;2016;0
CG;2017;0
CG;2018;0
CO;2000;0
CO;2005;0
CO;2010;0
CO;2015;0
CO;2016;0
CO;2017;0
CO;2018;0
CR;2000;0
CR;2005;0
CR;2010;0
CR;2015;0
CR;2016;0
CR;2017;0
CR;2018;0
CU;2000;0
CU;2005;0
CU;2010;0
CU;2015;0
CU;2016;0
CU;2017;0
CU;2018;0
CW;2000;0
CW;2005;0
CW;2010;0
CW;2015;0
CW;2016;0
CW;2017;0
CW;2018;0
CY;2000;0
CY;2005;0
CY;2010;0
CY;2015;0
CY;2016;0
CY;2017;0
CY;2018;0
CZ;2000;0
CZ;2005;0
CZ;2010;0
CZ;2015;0
CZ;2016;0
CZ;2017;0
CZ;2018;0
DE;2000;0
DE;2005;0
DE;2010;0.044483724
DE;2015;0.143930109
DE;2016;0.166891209
DE;2017;0.211165454
DE;2018;0.210331483
DK;2000;0
DK;2005;0
DK;2010;0
DK;2015;0
DK;2016;0
DK;2017;0
DK;2018;0
DO;2000;0
DO;2005;0
DO;2010;0
DO;2015;0
DO;2016;0
DO;2017;0
DO;2018;0
DZ;2000;0
DZ;2005;0
DZ;2010;0
DZ;2015;0
DZ;2016;0
DZ;2017;0
DZ;2018;0
EC;2000;0
EC;2005;0
EC;2010;0
EC;2015;0
EC;2016;0
EC;2017;0
EC;2018;0
EG;2000;0
EG;2005;0
EG;2010;0
EG;2015;0
EG;2016;0
EG;2017;0
EG;2018;0
ER;2000;0
ER;2005;0
ER;2010;0
ER;2015;0
ER;2016;0
ER;2017;0
ER;2018;0
ES;2000;0
ES;2005;0
ES;2010;0
ES;2015;0
ES;2016;0
ES;2017;0
ES;2018;0
EE;2000;0
EE;2005;0
EE;2010;0
EE;2015;0
EE;2016;0
EE;2017;0
EE;2018;0
ET;2000;0
ET;2005;0
ET;2010;0
ET;2015;0
ET;2016;0
ET;2017;0
ET;2018;0
FI;2000;0
FI;2005;0
FI;2010;0.00918017
FI;2015;0.04527958
FI;2016;0.046088311
FI;2017;0.06866407
FI;2018;0.124622914
FR;2000;0
FR;2005;0
FR;2010;0
FR;2015;0
FR;2016;0
FR;2017;0
FR;2018;0
GA;2000;0
GA;2005;0
GA;2010;0
GA;2015;0
GA;2016;0
GA;2017;0
GA;2018;0
GB;2000;0
GB;2005;0
GB;2010;0
GB;2015;0
GB;2016;0
GB;2017;0
GB;2018;0
GE;2000;0
GE;2005;0
GE;2010;0
GE;2015;0
GE;2016;0
GE;2017;0
GE;2018;0
GH;2000;0
GH;2005;0
GH;2010;0
GH;2015;0
GH;2016;0
GH;2017;0
GH;2018;0
GI;2000;0
GI;2005;0
GI;2010;0
GI;2015;0
GI;2016;0
GI;2017;0
GI;2018;0
GR;2000;0
GR;2005;0
GR;2010;0
GR;2015;0
GR;2016;0
GR;2017;0
GR;2018;0
GT;2000;0
GT;2005;0
GT;2010;0
GT;2015;0
GT;2016;0
GT;2017;0
GT;2018;0
HK;2000;0
HK;2005;0
HK;2010;0
HK;2015;0
HK;2016;0
HK;2017;0
HK;2018;0
HN;2000;0
HN;2005;0
HN;2010;0
HN;2015;0
HN;2016;0
HN;2017;0
HN;2018;0
HR;2000;0
HR;2005;0
HR;2010;0
HR;2015;0
HR;2016;0
HR;2017;0
HR;2018;0
HT;2000;0
HT;2005;0
HT;2010;0
HT;2015;0
HT;2016;0
HT;2017;0
HT;2018;0
HU;2000;0
HU;2005;0
HU;2010;0
HU;2015;0
HU;2016;0
HU;2017;0
HU;2018;0
ID;2000;0
ID;2005;0
ID;2010;0
ID;2015;0
ID;2016;0
ID;2017;0
ID;2018;0
IN;2000;0
IN;2005;0
IN;2010;0
IN;2015;0
IN;2016;0
IN;2017;0
IN;2018;0
IE;2000;0
IE;2005;0
IE;2010;0
IE;2015;0
IE;2016;0
IE;2017;0
IE;2018;0
IR;2000;0
IR;2005;0
IR;2010;0
IR;2015;0
IR;2016;0
IR;2017;0
IR;2018;0
IQ;2000;0
IQ;2005;0
IQ;2010;0
IQ;2015;0
IQ;2016;0
IQ;2017;0
IQ;2018;0
IS;2000;0
IS;2005;0
IS;2010;1
IS;2015;1
IS;2016;1
IS;2017;1
IS;2018;1
IL;2000;0
IL;2005;0
IL;2010;0
IL;2015;0
IL;2016;0
IL;2017;0
IL;2018;0
IT;2000;0
IT;2005;0
IT;2010;3.44E-05
IT;2015;2.65E-05
IT;2016;2.67E-05
IT;2017;2.82E-05
IT;2018;2.79E-05
JM;2000;0
JM;2005;0
JM;2010;0
JM;2015;0
JM;2016;0
JM;2017;0
JM;2018;0
JO;2000;0
JO;2005;0
JO;2010;0
JO;2015;0
JO;2016;0
JO;2017;0
JO;2018;0
JP;2000;0
JP;2005;0
JP;2010;0
JP;2015;0
JP;2016;0
JP;2017;0
JP;2018;0
KZ;2000;0
KZ;2005;0
KZ;2010;0
KZ;2015;0
KZ;2016;0
KZ;2017;0
KZ;2018;0
KE;2000;0
KE;2005;0
KE;2010;0
KE;2015;0
KE;2016;0
KE;2017;0
KE;2018;0
KG;2000;0
KG;2005;0
KG;2010;0
KG;2015;0
KG;2016;0
KG;2017;0
KG;2018;0
KH;2000;0
KH;2005;0
KH;2010;0
KH;2015;0
KH;2016;0
KH;2017;0
KH;2018;0
KR;2000;0
KR;2005;0
KR;2010;0
KR;2015;0
KR;2016;0
KR;2017;0
KR;2018;0
KW;2000;0
KW;2005;0
KW;2010;0
KW;2015;0
KW;2016;0
KW;2017;0
KW;2018;0
LB;2000;0
LB;2005;0
LB;2010;0
LB;2015;0
LB;2016;0
LB;2017;0
LB;2018;0
LY;2000;0
LY;2005;0
LY;2010;0
LY;2015;0
LY;2016;0
LY;2017;0
LY;2018;0
LK;2000;0
LK;2005;0
LK;2010;0
LK;2015;0
LK;2016;0
LK;2017;0
LK;2018;0
LT;2000;0
LT;2005;0
LT;2010;0
LT;2015;0
LT;2016;0
LT;2017;0
LT;2018;0
LU;2000;0
LU;2005;0
LU;2010;0
LU;2015;0
LU;2016;0
LU;2017;0
LU;2018;0
LV;2000;0
LV;2005;0
LV;2010;0
LV;2015;0
LV;2016;0
LV;2017;0
LV;2018;0
MA;2000;0
MA;2005;0
MA;2010;0
MA;2015;0
MA;2016;0
MA;2017;0
MA;2018;0
MU;2000;0
MU;2005;0
MU;2010;0
MU;2015;0
MU;2016;0
MU;2017;0
MU;2018;0
MD;2000;0
MD;2005;0
MD;2010;0
MD;2015;0
MD;2016;0
MD;2017;0
MD;2018;0
MX;2000;0
MX;2005;0
MX;2010;0
MX;2015;0
MX;2016;0
MX;2017;0
MX;2018;0
MT;2000;0
MT;2005;0
MT;2010;0
MT;2015;0
MT;2016;0
MT;2017;0
MT;2018;0
MM;2000;0
MM;2005;0
MM;2010;0
MM;2015;0
MM;2016;0
MM;2017;0
MM;2018;0
ME;2000;0
ME;2005;0
ME;2010;0
ME;2015;0
ME;2016;0
ME;2017;0
ME;2018;0
MN;2000;0
MN;2005;0
MN;2010;0
MN;2015;0
MN;2016;0
MN;2017;0
MN;2018;0
MZ;2000;0
MZ;2005;0
MZ;2010;0
MZ;2015;0
MZ;2016;0
MZ;2017;0
MZ;2018;0
MY;2000;0
MY;2005;0
MY;2010;0
MY;2015;0
MY;2016;0
MY;2017;0
MY;2018;0
NA;2000;0
NA;2005;0
