country;year;value
AO;2000;0
AO;2005;0
AO;2010;0
AO;2015;0
AO;2016;0
AO;2017;0
AO;2018;0
AL;2000;0
AL;2005;0
AL;2010;0
AL;2015;0.044883005
AL;2016;0.119333522
AL;2017;0.113813566
AL;2018;0.163542806
AE;2000;0
AE;2005;0
AE;2010;0
AE;2015;0
AE;2016;0
AE;2017;0
AE;2018;0
AR;2000;0
AR;2005;0
AR;2010;0.063915113
AR;2015;0.122677344
AR;2016;0.131561184
AR;2017;0.143825183
AR;2018;0.130568543
AM;2000;0
AM;2005;0
AM;2010;0
AM;2015;0
AM;2016;0
AM;2017;0
AM;2018;0
AU;2000;0
AU;2005;0
AU;2010;0.005701856
AU;2015;0.010534055
AU;2016;0.003982885
AU;2017;0.000285884
AU;2018;6.73E-05
AT;2000;0.004093092
AT;2005;0.012886307
AT;2010;0.072777349
AT;2015;0.094845386
AT;2016;0.075569962
AT;2017;0.064489908
AT;2018;0.062845078
AZ;2000;0
AZ;2005;0
AZ;2010;0
AZ;2015;0
AZ;2016;0
AZ;2017;0
AZ;2018;0
BE;2000;0
BE;2005;0
BE;2010;0.042873701
BE;2015;0.030905958
BE;2016;0.055884789
BE;2017;0.055200442
BE;2018;0.053990229
BJ;2000;0
BJ;2005;0
BJ;2010;0
BJ;2015;0
BJ;2016;0
BJ;2017;0
BJ;2018;0
BD;2000;0
BD;2005;0
BD;2010;0
BD;2015;0
BD;2016;0
BD;2017;0
BD;2018;0
BG;2000;0
BG;2005;0
BG;2010;0.007256571
BG;2015;0.059201526
BG;2016;0.0658152
BG;2017;0.069275322
BG;2018;0.062776303
BH;2000;0
BH;2005;0
BH;2010;0
BH;2015;0
BH;2016;0
BH;2017;0
BH;2018;0
BA;2000;0
BA;2005;0
BA;2010;0
BA;2015;0
BA;2016;0
BA;2017;0
BA;2018;0
BY;2000;0
BY;2005;0
BY;2010;0.006658194
BY;2015;0.001551957
BY;2016;0.001466661
BY;2017;0.001373681
BY;2018;0.000846476
BO;2000;0
BO;2005;0
BO;2010;0
BO;2015;0
BO;2016;0
BO;2017;0
BO;2018;0
BR;2000;0
BR;2005;0
BR;2010;0.062293155
BR;2015;0.06429978
BR;2016;0.065675747
BR;2017;0.072970585
BR;2018;0.091209621
BN;2000;0
BN;2005;0
BN;2010;0
BN;2015;0
BN;2016;0
BN;2017;0
BN;2018;0
BW;2000;0
BW;2005;0
BW;2010;0
BW;2015;0
BW;2016;0
BW;2017;0
BW;2018;0
CA;2000;0
CA;2005;0
CA;2010;0.01357489
CA;2015;0.022108133
CA;2016;0.020097854
CA;2017;0.034682271
CA;2018;0.035226142
CH;2000;0
CH;2005;0.003669327
CH;2010;0.00389715
CH;2015;0.013078107
CH;2016;0.023313159
CH;2017;0.038579754
CH;2018;0.048075181
CL;2000;0
CL;2005;0
CL;2010;0
CL;2015;0
CL;2016;0
CL;2017;0
CL;2018;0
CN;2000;0
CN;2005;0.000817559
CN;2010;0.007021677
CN;2015;0.006831951
CN;2016;0.00705448
CN;2017;0.005314918
CN;2018;0.006245786
CI;2000;0
CI;2005;0
CI;2010;0
CI;2015;0
CI;2016;0
CI;2017;0
CI;2018;0
CM;2000;0
CM;2005;0
CM;2010;0
CM;2015;0
CM;2016;0
CM;2017;0
CM;2018;0
CD;2000;0
CD;2005;0
CD;2010;0
CD;2015;0
CD;2016;0
CD;2017;0
CD;2018;0
CG;2000;0
CG;2005;0
CG;2010;0
CG;2015;0
CG;2016;0
CG;2017;0
CG;2018;0
CO;2000;0
CO;2005;0
CO;2010;0.064645844
CO;2015;0.094095573
CO;2016;0.094322033
CO;2017;0.094469872
CO;2018;0.0996036
CR;2000;0
CR;2005;0
CR;2010;0
CR;2015;0
CR;2016;0
CR;2017;0
CR;2018;0
CU;2000;0
CU;2005;0
CU;2010;0
CU;2015;0
CU;2016;0
CU;2017;0
CU;2018;0
CW;2000;0
CW;2005;0
CW;2010;0
CW;2015;0
CW;2016;0
CW;2017;0
CW;2018;0
CY;2000;0
CY;2005;0
CY;2010;0.04295155
CY;2015;0.038131361
CY;2016;0.031851534
CY;2017;0.028667657
CY;2018;0.028684767
CZ;2000;0.033743033
CZ;2005;0.000806549
CZ;2010;0.049041541
CZ;2015;0.056992032
CZ;2016;0.057333008
CZ;2017;0.055670085
CZ;2018;0.053611682
DE;2000;0.008470386
DE;2005;0.056216594
DE;2010;0.069602036
DE;2015;0.052300778
DE;2016;0.050711505
DE;2017;0.050703788
DE;2018;0.054851109
DK;2000;0
DK;2005;0
DK;2010;0
DK;2015;0.069676876
DK;2016;0.068920373
DK;2017;0.067044406
DK;2018;0.064470882
DO;2000;0
DO;2005;0
DO;2010;0.007181096
DO;2015;0
DO;2016;0
DO;2017;0
DO;2018;0
DZ;2000;0
DZ;2005;0
DZ;2010;0
DZ;2015;0
DZ;2016;0
DZ;2017;0
DZ;2018;0
EC;2000;0
EC;2005;0
EC;2010;0
EC;2015;0
EC;2016;0
EC;2017;0
EC;2018;0
EG;2000;0
EG;2005;0
EG;2010;0
EG;2015;0
EG;2016;0
EG;2017;0
EG;2018;0
ER;2000;0
ER;2005;0
ER;2010;0
ER;2015;0
ER;2016;0
ER;2017;0
ER;2018;0
ES;2000;0.00418861
ES;2005;0.006191138
ES;2010;0.051585938
ES;2015;0.036787681
ES;2016;0.044239255
ES;2017;0.050574198
ES;2018;0.06591819
EE;2000;0
EE;2005;0
EE;2010;0.015345827
EE;2015;0.007252279
EE;2016;0.00537015
EE;2017;0.002637406
EE;2018;0.023678348
ET;2000;0
ET;2005;0
ET;2010;0
ET;2015;0
ET;2016;0
ET;2017;0
ET;2018;0
FI;2000;0
FI;2005;0
FI;2010;0.026417756
FI;2015;0.178818243
FI;2016;0.0437585
FI;2017;0.122219144
FI;2018;0.109053596
FR;2000;0.009652204
FR;2005;0.015755147
FR;2010;0.060798068
FR;2015;0.072867095
FR;2016;0.074838167
FR;2017;0.079700186
FR;2018;0.082823342
GA;2000;0
GA;2005;0
GA;2010;0
GA;2015;0
GA;2016;0
GA;2017;0
GA;2018;0
GB;2000;0
GB;2005;0.001303835
GB;2010;0.037828475
GB;2015;0.02148674
GB;2016;0.021831069
GB;2017;0.021266439
GB;2018;0.034655924
GE;2000;0
GE;2005;0
GE;2010;0
GE;2015;0
GE;2016;0
GE;2017;0
GE;2018;0
GH;2000;0
GH;2005;0
GH;2010;0
GH;2015;0
GH;2016;0
GH;2017;0
GH;2018;0
GI;2000;0
GI;2005;0
GI;2010;0
GI;2015;0
GI;2016;0
GI;2017;0
GI;2018;0
GR;2000;0
GR;2005;0
GR;2010;0.049929718
GR;2015;0.065258937
GR;2016;0.064568443
GR;2017;0.071716684
GR;2018;0.066787691
GT;2000;0
GT;2005;0
GT;2010;0
GT;2015;0
GT;2016;0
GT;2017;0
GT;2018;0
HK;2000;0
HK;2005;0
HK;2010;0.002408621
HK;2015;0.003274866
HK;2016;0.002021843
HK;2017;0.003177042
HK;2018;0.002541049
HN;2000;0
HN;2005;0
HN;2010;0
HN;2015;0
HN;2016;0
HN;2017;0
HN;2018;0
HR;2000;0
HR;2005;0
HR;2010;0.002356767
HR;2015;0.019219979
HR;2016;0.000655269
HR;2017;0.000224106
HR;2018;0.018536556
HT;2000;0
HT;2005;0
HT;2010;0
HT;2015;0
HT;2016;0
HT;2017;0
HT;2018;0
HU;2000;0
HU;2005;0
HU;2010;0.047115926
HU;2015;0.04947504
HU;2016;0.053678868
HU;2017;0.041407341
HU;2018;0.046701681
ID;2000;0
ID;2005;0
ID;2010;0.020261475
ID;2015;0.041782715
ID;2016;0.127827494
ID;2017;0.102958756
ID;2018;0.136400793
IN;2000;0
IN;2005;0
IN;2010;0.000680875
IN;2015;0.000599453
IN;2016;0.000699714
IN;2017;0.000979661
IN;2018;0.001101461
IE;2000;0
IE;2005;0.000470884
IE;2010;0.027323399
IE;2015;0.024121876
IE;2016;0.028171365
IE;2017;0.04367175
IE;2018;0.041637077
IR;2000;0
IR;2005;0
IR;2010;0
IR;2015;0
IR;2016;0
IR;2017;0
IR;2018;0
IQ;2000;0
IQ;2005;0
IQ;2010;0
IQ;2015;0
IQ;2016;0
IQ;2017;0
IQ;2018;0
IS;2000;0
IS;2005;0
IS;2010;0
IS;2015;0.087328961
IS;2016;0.071611824
IS;2017;0.072168653
IS;2018;0.080470043
IL;2000;0
IL;2005;0
IL;2010;0
IL;2015;0
IL;2016;0
IL;2017;0
IL;2018;0
IT;2000;0
IT;2005;0.007652138
IT;2010;0.055643807
IT;2015;0.050370391
IT;2016;0.044563763
IT;2017;0.047840846
IT;2018;0.054108028
JM;2000;0
JM;2005;0
JM;2010;0
JM;2015;0
JM;2016;0
JM;2017;0
JM;2018;0
JO;2000;0
JO;2005;0
JO;2010;0
JO;2015;0
JO;2016;0
JO;2017;0
JO;2018;0
JP;2000;0
JP;2005;0
JP;2010;0.000286933
JP;2015;0.000596158
JP;2016;0.000540539
JP;2017;0.000531865
JP;2018;0.000514487
KZ;2000;0
KZ;2005;0
KZ;2010;0
KZ;2015;0
KZ;2016;0
KZ;2017;0
KZ;2018;0
KE;2000;0
KE;2005;0
KE;2010;0
KE;2015;0
KE;2016;0
KE;2017;0
KE;2018;0
KG;2000;0
KG;2005;0
KG;2010;0
KG;2015;0
KG;2016;0
KG;2017;0
KG;2018;0
KH;2000;0
KH;2005;0
KH;2010;0
KH;2015;0
KH;2016;0
KH;2017;0
KH;2018;0
KR;2000;0
KR;2005;0.00075816
KR;2010;0.023681222
KR;2015;0.024037256
KR;2016;0.027482248
KR;2017;0.02800433
KR;2018;0.034499928
KW;2000;0
KW;2005;0
KW;2010;0
KW;2015;0
KW;2016;0
KW;2017;0
KW;2018;0
LB;2000;0
LB;2005;0
LB;2010;0
LB;2015;0
LB;2016;0
LB;2017;0
LB;2018;0
LY;2000;0
LY;2005;0
LY;2010;0
LY;2015;0
LY;2016;0
LY;2017;0
LY;2018;0
LK;2000;0
LK;2005;0
LK;2010;0
LK;2015;0
LK;2016;0
LK;2017;0
LK;2018;0
LT;2000;0
LT;2005;0.003794963
LT;2010;0.038022553
LT;2015;0.04350925
LT;2016;0.034496642
LT;2017;0.04089721
LT;2018;0.042129073
LU;2000;0
LU;2005;0
LU;2010;0.022902448
LU;2015;0.046435009
LU;2016;0.05047975
LU;2017;0.065120753
LU;2018;0.064875118
