country;year;value
AO;2000;0
AO;2005;0
AO;2010;0
AO;2015;0
AO;2016;0
AO;2017;0
AO;2018;0
AL;2000;0
AL;2005;0
AL;2010;0
AL;2015;0
AL;2016;0
AL;2017;0
AL;2018;0
AE;2000;0
AE;2005;0
AE;2010;0
AE;2015;0
AE;2016;0
AE;2017;0
AE;2018;0
AR;2000;0
AR;2005;0
AR;2010;0.012733473
AR;2015;0.067346427
AR;2016;0.074811408
AR;2017;0.081647695
AR;2018;0.077815434
AM;2000;0
AM;2005;0
AM;2010;0
AM;2015;0
AM;2016;0
AM;2017;0
AM;2018;0
AU;2000;0
AU;2005;0.001233313
AU;2010;0.007794208
AU;2015;0.008895161
AU;2016;0.008155834
AU;2017;0.006662055
AU;2018;0.008354688
AT;2000;0
AT;2005;0
AT;2010;0.040935467
AT;2015;0.035472072
AT;2016;0.03391422
AT;2017;0.033640801
AT;2018;0.033776069
AZ;2000;0
AZ;2005;0
AZ;2010;0
AZ;2015;0
AZ;2016;0
AZ;2017;0
AZ;2018;0
BE;2000;0
BE;2005;0
BE;2010;0.04392307
BE;2015;0.029740268
BE;2016;0.029202674
BE;2017;0.063301375
BE;2018;0.066039666
BJ;2000;0
BJ;2005;0
BJ;2010;0
BJ;2015;0
BJ;2016;0
BJ;2017;0
BJ;2018;0
BD;2000;0
BD;2005;0
BD;2010;0
BD;2015;0
BD;2016;0
BD;2017;0
BD;2018;0
BG;2000;0
BG;2005;0
BG;2010;0
BG;2015;0.058365763
BG;2016;0.062553979
BG;2017;0.050130612
BG;2018;0.056499929
BH;2000;0
BH;2005;0
BH;2010;0
BH;2015;0
BH;2016;0
BH;2017;0
BH;2018;0
BA;2000;0
BA;2005;0
BA;2010;0
BA;2015;0
BA;2016;0
BA;2017;0
BA;2018;0
BY;2000;0
BY;2005;0
BY;2010;0
BY;2015;0
BY;2016;0
BY;2017;0
BY;2018;0
BO;2000;0
BO;2005;0
BO;2010;0
BO;2015;0
BO;2016;0
BO;2017;0
BO;2018;0
BR;2000;0.186804837
BR;2005;0.230763754
BR;2010;0.17786519
BR;2015;0.20076947
BR;2016;0.196879933
BR;2017;0.20619486
BR;2018;0.201925897
BN;2000;0
BN;2005;0
BN;2010;0
BN;2015;0
BN;2016;0
BN;2017;0
BN;2018;0
BW;2000;0
BW;2005;0
BW;2010;0
BW;2015;0
BW;2016;0
BW;2017;0
BW;2018;0
CA;2000;0.004428943
CA;2005;0.005828629
CA;2010;0.028417081
CA;2015;0.041502469
CA;2016;0.039945207
CA;2017;0.044312715
CA;2018;0.042598277
CH;2000;0
CH;2005;0.000168237
CH;2010;0.00038334
CH;2015;0.005342726
CH;2016;0.007506812
CH;2017;0.009789725
CH;2018;0.011576289
CL;2000;0
CL;2005;0
CL;2010;0
CL;2015;0
CL;2016;0
CL;2017;0
CL;2018;0
CN;2000;0
CN;2005;0.013346268
CN;2010;0.016599913
CN;2015;0.012682779
CN;2016;0.013187205
CN;2017;0.013096372
CN;2018;0.01266676
CI;2000;0
CI;2005;0
CI;2010;0
CI;2015;0
CI;2016;0
CI;2017;0
CI;2018;0
CM;2000;0
CM;2005;0
CM;2010;0
CM;2015;0
CM;2016;0
CM;2017;0
CM;2018;0
CD;2000;0
CD;2005;0
CD;2010;0
CD;2015;0
CD;2016;0
CD;2017;0
CD;2018;0
CG;2000;0
CG;2005;0
CG;2010;0
CG;2015;0
CG;2016;0
CG;2017;0
CG;2018;0
CO;2000;0
CO;2005;0.003867991
CO;2010;0.052697279
CO;2015;0.050078711
CO;2016;0.043816025
CO;2017;0.038990152
CO;2018;0.051781961
CR;2000;0
CR;2005;0
CR;2010;0
CR;2015;0
CR;2016;0
CR;2017;0
CR;2018;0
CU;2000;0
CU;2005;0
CU;2010;0
CU;2015;0
CU;2016;0
CU;2017;0
CU;2018;0
CW;2000;0
CW;2005;0
CW;2010;0
CW;2015;0
CW;2016;0
CW;2017;0
CW;2018;0
CY;2000;0
CY;2005;0
CY;2010;0
CY;2015;0
CY;2016;0
CY;2017;0
CY;2018;0
CZ;2000;0
CZ;2005;0
CZ;2010;0.030290967
CZ;2015;0.039096887
CZ;2016;0.029164809
CZ;2017;0.036062705
CZ;2018;0.037194953
DE;2000;0
DE;2005;0.006342806
DE;2010;0.037815062
DE;2015;0.040537841
DE;2016;0.040576228
DE;2017;0.039392184
DE;2018;0.04165197
DK;2000;0
DK;2005;0
DK;2010;0.016652474
DK;2015;0.030565281
DK;2016;0.030744765
DK;2017;0.030402672
DK;2018;0.029886936
DO;2000;0
DO;2005;0
DO;2010;0
DO;2015;0
DO;2016;0
DO;2017;0
DO;2018;0
DZ;2000;0
DZ;2005;0
DZ;2010;0
DZ;2015;0
DZ;2016;0
DZ;2017;0
DZ;2018;0
EC;2000;0
EC;2005;0
EC;2010;0.001323181
EC;2015;0.002894383
EC;2016;0.003930792
EC;2017;0.00668066
EC;2018;0.005776316
EG;2000;0
EG;2005;0
EG;2010;0
EG;2015;0
EG;2016;0
EG;2017;0
EG;2018;0
ER;2000;0
ER;2005;0
ER;2010;0
ER;2015;0
ER;2016;0
ER;2017;0
ER;2018;0
ES;2000;0
ES;2005;0.014740037
ES;2010;0.039933608
ES;2015;0.040310841
ES;2016;0.027551561
ES;2017;0.027749229
ES;2018;0.029614925
EE;2000;0
EE;2005;0
EE;2010;0.015267258
EE;2015;0.010527027
EE;2016;0.007494045
EE;2017;0.003584252
EE;2018;0.017559053
ET;2000;0
ET;2005;0
ET;2010;0.019298135
ET;2015;0.01144569
ET;2016;0.008217339
ET;2017;0.007461827
ET;2018;0.007461888
FI;2000;0
FI;2005;0
FI;2010;0.042425241
FI;2015;0.045570429
FI;2016;0.047081486
FI;2017;0.057625988
FI;2018;0.06100556
FR;2000;0.004142854
FR;2005;0.009107579
FR;2010;0.050901441
FR;2015;0.060214558
FR;2016;0.06455338
FR;2017;0.070084073
FR;2018;0.073684431
GA;2000;0
GA;2005;0
GA;2010;0
GA;2015;0
GA;2016;0
GA;2017;0
GA;2018;0
GB;2000;0
GB;2005;0.002168582
GB;2010;0.020495284
GB;2015;0.030858931
GB;2016;0.029843714
GB;2017;0.029987617
GB;2018;0.030815828
GE;2000;0
GE;2005;0
GE;2010;0
GE;2015;0
GE;2016;0
GE;2017;0
GE;2018;0
GH;2000;0
GH;2005;0
GH;2010;0
GH;2015;0
GH;2016;0
GH;2017;0
GH;2018;0
GI;2000;0
GI;2005;0
GI;2010;0
GI;2015;0
GI;2016;0
GI;2017;0
GI;2018;0
GR;2000;0
GR;2005;0
GR;2010;0
GR;2015;0
GR;2016;0
GR;2017;0
GR;2018;0
GT;2000;0
GT;2005;0
GT;2010;0
GT;2015;0
GT;2016;0
GT;2017;0
GT;2018;0
HK;2000;0
HK;2005;0
HK;2010;0
HK;2015;0
HK;2016;0
HK;2017;0
HK;2018;0
HN;2000;0
HN;2005;0
HN;2010;0
HN;2015;0
HN;2016;0
HN;2017;0
HN;2018;0
HR;2000;0
HR;2005;0
HR;2010;0
HR;2015;0
HR;2016;0
HR;2017;0.000320994
HR;2018;0.000785739
HT;2000;0
HT;2005;0
HT;2010;0
HT;2015;0
HT;2016;0
HT;2017;0
HT;2018;0
HU;2000;0
HU;2005;0.001641254
HU;2010;0.040248639
HU;2015;0.032108113
HU;2016;0.030610729
HU;2017;0.032784175
HU;2018;0.034192806
ID;2000;0
ID;2005;0
ID;2010;0
ID;2015;0
ID;2016;0
ID;2017;0
ID;2018;0
IN;2000;0.009852603
IN;2005;0.01088021
IN;2010;0.001682987
IN;2015;0.014677173
IN;2016;0.021719556
IN;2017;0.012103583
IN;2018;0.026171631
IE;2000;0
IE;2005;4.95E-06
IE;2010;0.019647757
IE;2015;0.023463551
IE;2016;0.026353174
IE;2017;0.025781557
IE;2018;0.032579271
IR;2000;0
IR;2005;0
IR;2010;0
IR;2015;0
IR;2016;0
IR;2017;0
IR;2018;0
IQ;2000;0
IQ;2005;0
IQ;2010;0
IQ;2015;0
IQ;2016;0
IQ;2017;0
IQ;2018;0
IS;2000;0
IS;2005;0
IS;2010;0
IS;2015;0.009144159
IS;2016;0.022062298
IS;2017;0.020530561
IS;2018;0.028570593
IL;2000;0
IL;2005;0
IL;2010;0
IL;2015;0
IL;2016;0
IL;2017;0
IL;2018;0
IT;2000;0
IT;2005;0
IT;2010;0.011741153
IT;2015;0.003018412
IT;2016;0.004236206
IT;2017;0.00442836
IT;2018;0.004250365
JM;2000;0
JM;2005;0
JM;2010;0
JM;2015;0.069574168
JM;2016;0.060862337
JM;2017;0.064251409
JM;2018;0.063989925
JO;2000;0
JO;2005;0
JO;2010;0
JO;2015;0
JO;2016;0
JO;2017;0
JO;2018;0
JP;2000;0
JP;2005;1.25E-08
JP;2010;0.00421129
JP;2015;0.007984227
JP;2016;0.009157533
JP;2017;0.010122981
JP;2018;0.010601755
KZ;2000;0
KZ;2005;0
KZ;2010;0
KZ;2015;0
KZ;2016;0
KZ;2017;0
KZ;2018;0
KE;2000;0
KE;2005;0
KE;2010;0
KE;2015;0
KE;2016;0
KE;2017;0
KE;2018;0
KG;2000;0
KG;2005;0
KG;2010;0
KG;2015;0
KG;2016;0
KG;2017;0
KG;2018;0
KH;2000;0
KH;2005;0
KH;2010;0
KH;2015;0
KH;2016;0
KH;2017;0
KH;2018;0
KR;2000;0
KR;2005;0
KR;2010;0
KR;2015;0
KR;2016;0
KR;2017;0
KR;2018;0
KW;2000;0
KW;2005;0
KW;2010;0
KW;2015;0
KW;2016;0
KW;2017;0
KW;2018;0
LB;2000;0
LB;2005;0
LB;2010;0
LB;2015;0
LB;2016;0
LB;2017;0
LB;2018;0
LY;2000;0
LY;2005;0
LY;2010;0
LY;2015;0
LY;2016;0
LY;2017;0
LY;2018;0
LK;2000;0
LK;2005;0
LK;2010;0
LK;2015;0
LK;2016;0
LK;2017;0
LK;2018;0
LT;2000;0
LT;2005;0.001833913
LT;2010;0.034231239
LT;2015;0.046206681
LT;2016;0.029063342
LT;2017;0.037428465
LT;2018;0.033269895
LU;2000;0
LU;2005;0
LU;2010;0.001931157
LU;2015;0.023335349
LU;2016;0.029487398
LU;2017;0.021382458
LU;2018;0.028909088
LV;2000;0
LV;2005;0
LV;2010;0.027501535
LV;2015;0.036128409
LV;2016;0.040007387
LV;2017;0.039593605
LV;2018;0.043952277
MA;2000;0
