adsorption and desorption unit, carbon dioxide capture process;energy chain
algae cultivation | algae broth production;energy chain
algae harvesting| dry algae production;energy chain
Ammonia;direct - exhaust
Ancillary BoP;energy storage
Anode;energy storage
Anode current collector, LFP;energy storage
Anode current collector, NCA;energy storage
Anode paste, LFP;energy storage
Anode paste, NCA;energy storage
anode production, graphite, for lithium-ion battery;energy storage
Battery BoP;energy storage
Battery cell, LFP;energy storage
Battery cell, NCA;energy storage
Battery cell, NMC;energy storage
Battery management system;energy storage
Battery packaging;energy storage
Battery retention;energy storage
Battery tray;energy storage
Benzene;direct - exhaust
Bimetallic busbars and washers;energy storage
Biodiesel from algae;energy chain
Biodiesel from cooking oil;energy chain
biogas upgrading - sewage sludge - amine scrubbing - best;energy chain
biomethane from biogas upgrading - biowaste - amine scrubbing, best - with biogenic carbon uptake, lower bound C sequestration, digestate incineration;energy chain
Bipolar plate;energy storage
Buffer tank;energy chain
Cadmium;direct - exhaust
carbon black production;energy storage
carbon dioxide capture system;energy chain
carbon dioxide, captured from atmosphere;energy chain
Carbon dioxide, fossil;direct - exhaust
Carbon dioxide, from soil or biomass stock;direct - exhaust
Carbon dioxide, in air;energy chain
Carbon dioxide, non-fossil;direct - exhaust
Carbon dioxide, to soil or biomass stock;energy chain
Carbon fibre, from acrylonitrile;energy storage
Carbon monoxide, fossil;direct - exhaust
Carbon monoxide, non-fossil;direct - exhaust
Catalyst layer;energy storage
Cathode;energy storage
Cathode current collector, LFP;energy storage
Cathode current collector, NCA;energy storage
Cathode paste, LFP;energy storage
Cathode paste, NCA;energy storage
Cell container;energy storage
Chromium;direct - exhaust
Chromium VI;direct - exhaust
Clamps and fasteners;energy storage
CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m;energy chain
Coating and curing, general manufacturing;energy storage
cobalt production;energy storage
Cobalt sulfate;energy storage
container, with pipes and fittings, for diaphragm compressor;energy storage
control panel, carbon dioxide capture process;energy chain
Cooling system;energy storage
cooling unit, carbon dioxide capture process;energy chain
Copper;energy storage
diaphragm compressor module, high pressure;energy chain
diaphragms, for diaphragm compressor;energy chain
Diesel production, synthetic, Fischer Tropsch process;energy chain
diesel, burned in building machine;energy chain
diesel, burned in diesel-electric generating set, 18.5kW;energy chain
Dinitrogen monoxide;direct - exhaust
Disposal, hydrogen fuelling station;energy chain
distribution network construction, electricity, low voltage;energy chain
drawing of pipe, steel;energy storage
drilling, deep borehole/m;energy chain
electricity market for energy storage production;energy storage
electricity market for fuel preparation;energy chain
electricity production, deep geothermal;energy chain
electricity production, hard coal;energy chain
electricity production, hydro, run-of-river;energy chain
electricity production, natural gas, conventional power plant;energy chain
electricity production, nuclear, pressure water reactor;energy chain
electricity production, oil;energy chain
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;energy chain
electricity production, wind, >3MW turbine, onshore;energy chain
electricity production, wind, 1-3MW turbine, onshore;energy chain
electricity supply for electric vehicles;energy chain
Electrolyte;energy storage
Electrolyte, LFP;energy storage
Electrolyte, NCA;energy storage
electronics production, for control units;energy storage
End plate;energy storage
End-busbar aluminum;energy storage
End-busbar copper;energy storage
Energy, gross calorific value, in biomass;energy chain
epoxy resin production, liquid;energy storage
Essential BoP;energy storage
Ethanol from forest residues;energy chain
Ethanol from maize starch;energy chain
Ethanol from sugarbeet;energy chain
Ethanol from wheat straw pellets;energy chain
ethylene glycol production;energy chain
Fischer Tropsch reactor and upgrading plant, construction;energy chain
frequency converter, for diaphragm compressor;energy chain
fuel supply for diesel vehicles;energy chain
fuel supply for gas vehicles;energy chain
fuel supply for gasoline vehicles;energy chain
fuel supply for hydrogen vehicles;energy chain
Fuel tank, compressed hydrogen gas, 700bar;energy storage
Fuel tank, compressed hydrogen gas, 700bar, with aluminium liner;energy storage
Fuel tank, compressed hydrogen gas, 700bar, with HDPE liner;energy storage
Gas Diffusion Layer;energy storage
Gasoline production, synthetic, from methanol;energy chain
glass fibre reinforced plastic production, polyamide, injection moulded;energy storage
glass fibre reinforced plastic production, polyester resin, hand lay-up;energy storage
Glider lightweighting;glider
graphite production;energy storage
hardwood forestry, mixed species, sustainable forest management, CF = -1;energy chain
harvesting, forestry harvester;energy chain
heat exchanger, carbon dioxide capture process;energy chain
Heat transfer plate;energy storage
High voltage system;energy storage
hot water tank, carbon dioxide capture process;energy chain
Hydrocarbons, aromatic;direct - exhaust
Hydrogen chloride;energy chain
Hydrogen dispenser, for gaseous hydrogen;energy chain
hydrogen peroxide production, product in 50% solution state;energy chain
Hydrogen refuelling station, SMR;energy chain
