activity;type;sub_type;train_RER;lorry_RER;barge_RER;train_CH;lorry_CH;barge_CH
market for ammonia, anhydrous, liquid;inorganic chemical;other;600;100;0;600;50;0
market for hexane;gases;oxygen;100;50;0;100;50;0
treatment of scrap steel, inert material landfill;waste;inert material landfill;0;15;0;0;15;0
market for electronic component, passive, unspecified;metals;copper;200;100;0;600;50;0
glass fibre reinforced plastic production, polyamide, injection moulded;plastic;other;200;100;0;200;50;0
epichlorohydrin production from allyl chloride;organic chemical;other;600;100;0;600;50;0
market for butyl acrylate;inorganic chemical;other;600;100;0;600;50;0
tin production;metals;copper;200;100;0;600;50;0
market for ethanol, without water, in 99.7% solution state, from ethylene;fuel;liquid;44;59;670;33;33;0
market for chemicals, inorganic;inorganic chemical;other;600;100;0;600;50;0
argon production, liquid;gases;oxygen;100;50;0;100;50;0
steel production, electric, low-alloyed;metals;steel/iron;200;100;0;600;50;0
market for concrete block;mineral;concrete;0;50;0;0;20;0
steel production, converter, low-alloyed;metals;steel/iron;200;100;0;600;50;0
market for sulfuric acid;inorganic chemical;sulphuric acid;600;100;0;600;50;0
market for gypsum fibreboard;mineral;gravel/sand;0;50;0;0;20;0
treatment of waste gypsum, inert material landfill;waste;inert material landfill;0;15;0;0;15;0
steel production, chromium steel 18/8, hot rolled;metals;steel/iron;200;100;0;600;50;0
market for quicklime, milled, packed;mineral;cement;100;100;0;100;20;0
market group for inorganic potassium fertiliser, as K2O;agricultural;K-fertiliser;100;100;100;100;100;100
smelting of copper concentrate, sulfide ore;metals;copper;200;100;0;600;50;0
market for nickel sulfate;inorganic chemical;other;600;100;0;600;50;0
reinforcing steel production;metals;steel/iron;200;100;0;600;50;0
production of nickle-based catalyst for methanation;metals;copper;200;100;0;600;50;0
market for integrated circuit, logic type;plastic;other;200;100;0;200;50;0
market for lithium hexafluorophosphate;inorganic chemical;other;600;100;0;600;50;0
synthetic rubber production;plastic;other;200;100;0;200;50;0
market for polyvinylchloride, suspension polymerised;plastic;polyvinylchloride;200;100;0;200;50;0
nickel mine operation and benefication to nickel concentrate, 7% Ni;metals;copper;200;100;0;600;50;0
market group for diesel, low-sulfur;fuel;liquid;44;59;670;33;33;0
market for zinc oxide;metals;copper;200;100;0;600;50;0
