name;location;unit;reference product;UVEK name;UVEK location;UVEK unit;UVEK ref prod
market for acrylic acid;RoW;kilogram;acrylic acid;Acrylic acid, at plant;RER;kilogram;Acrylic acid, at plant
Sohio process;RoW;kilogram;acrylonitrile;Acrylonitrile from Sohio process, at plant;RER;kilogram;Acrylonitrile from Sohio process, at plant
market for acrylonitrile-butadiene-styrene copolymer;GLO;kilogram;acrylonitrile-butadiene-styrene copolymer;Acrylonitrile-butadiene-styrene copolymer, ABS, at plant;RER;kilogram;Acrylonitrile-butadiene-styrene copolymer, ABS, at plant
activated bentonite production;DE;kilogram;activated bentonite;Bentonite, at processing;DE;kilogram;Bentonite, at processing
activated silica production;GLO;kilogram;activated silica;Silica sand, at plant;DE;kilogram;Silica sand, at plant
market for air compressor, screw-type compressor, 300kW;GLO;unit;air compressor, screw-type compressor, 300kW;Air compressor, screw-type compressor, 300 kW, at plant;RER;unit;Air compressor, screw-type compressor, 300 kW, at plant
market for aluminium alloy, AlLi;GLO;kilogram;aluminium alloy, AlLi;Aluminium alloy, AlMg3, at plant;RER;kilogram;Aluminium alloy, AlMg3, at plant
market for aluminium alloy, AlMg3;GLO;kilogram;aluminium alloy, AlMg3;Aluminium alloy, AlMg3, at plant;RER;kilogram;Aluminium alloy, AlMg3, at plant
market for aluminium casting facility;GLO;unit;aluminium casting facility;Aluminium casting, plant;RER;unit;Aluminium casting, plant
aluminium hydroxide production;CN;kilogram;aluminium hydroxide;Aluminium hydroxide, at plant;RER;kilogram;Aluminium hydroxide, at plant
market for aluminium oxide, metallurgical;IAI Area, EU27 & EFTA;kilogram;aluminium oxide, metallurgical;aluminium oxide, at plant/kg;RER;kilogram;aluminium oxide, at plant/kg
market for aluminium scrap, new;RER;kilogram;aluminium scrap, new;Aluminium scrap, new, at plant;RER;kilogram;Aluminium scrap, new, at plant
market for aluminium, cast alloy;GLO;kilogram;aluminium, cast alloy;aluminium, production mix, cast alloy, at plant/kg;RER;kilogram;aluminium, production mix, cast alloy, at plant/kg
aluminium production, primary, ingot;IAI Area, Asia, without China and GCC;kilogram;aluminium, primary, ingot;aluminium, production mix, at plant/kg;RER;kilogram;aluminium, production mix, at plant/kg
aluminium production, primary, ingot;IAI Area, EU27 & EFTA;kilogram;aluminium, primary, ingot;aluminium, production mix, at plant/kg;RER;kilogram;aluminium, production mix, at plant/kg
aluminium ingot, primary, to aluminium, wrought alloy market;GLO;kilogram;aluminium, wrought alloy;aluminium, production mix, wrought alloy, at plant/kg;RER;kilogram;aluminium, production mix, wrought alloy, at plant/kg
market for aluminium, wrought alloy;GLO;kilogram;aluminium, wrought alloy;aluminium, production mix, wrought alloy, at plant/kg;RER;kilogram;aluminium, production mix, wrought alloy, at plant/kg
market for ammonia, liquid;RER;kilogram;ammonia, liquid;Ammonia, liquid, at regional storehouse;CH;kilogram;Ammonia, liquid, at regional storehouse
market for ammonium sulfate, as N;GLO;kilogram;ammonium sulfate, as N;Ammonium sulphate, as N, at regional storehouse;RER;kilogram;Ammonium sulphate, as N, at regional storehouse
anode production, graphite, for lithium-ion battery;RoW;kilogram;anode, graphite, for lithium-ion battery;Anode, lithium-ion battery, graphite, at plant;CN;kilogram;Anode, lithium-ion battery, graphite, at plant
market for anode, graphite, for lithium-ion battery;GLO;kilogram;anode, graphite, for lithium-ion battery;Anode, lithium-ion battery, graphite, at plant;CN;kilogram;Anode, lithium-ion battery, graphite, at plant
market for anodising, aluminium sheet;GLO;square meter;anodising, aluminium sheet;Anodising, aluminium sheet;RER;square meter;Anodising, aluminium sheet
argon production, liquid;RoW;kilogram;argon, liquid;Argon, liquid, at plant;RER;kilogram;Argon, liquid, at plant
barite production;RER;kilogram;barite;Barite, at plant;RER;kilogram;Barite, at plant
treatment of sewage sludge by anaerobic digestion;CH;cubic meter;biogas;Biogas, from sewage sludge, at storage;CH;cubic meter;Biogas, from sewage sludge, at storage
market for blasting;GLO;kilogram;blasting;Blasting;RER;kilogram;Blasting
market for blow moulding;GLO;kilogram;blow moulding;Blow moulding;RER;kilogram;Blow moulding
market for brake wear emissions, passenger car;GLO;kilogram;brake wear emissions, passenger car;brake wear emissions, passenger car;RER;kilogram;brake wear emissions, passenger car
market for brass;CH;kilogram;brass;Brass, at plant;CH;kilogram;Brass, at plant
market for butadiene;RER;kilogram;butadiene;Butadiene, at plant;RER;kilogram;Butadiene, at plant
market for butyl acrylate;RoW;kilogram;butyl acrylate;Butyl acrylate, at plant;RER;kilogram;Butyl acrylate, at plant
market for cable, ribbon cable, 20-pin, with plugs;GLO;kilogram;cable, ribbon cable, 20-pin, with plugs;Cable, ribbon cable, 20-pin, with plugs, at plant;GLO;kilogram;Cable, ribbon cable, 20-pin, with plugs, at plant
market for calcium chloride;RER;kilogram;calcium chloride;Calcium chloride, CaCl2, at plant;RER;kilogram;Calcium chloride, CaCl2, at plant
carbon black production;GLO;kilogram;carbon black;Carbon black, at plant;GLO;kilogram;Carbon black, at plant
market for carbon black;GLO;kilogram;carbon black;Carbon black, at plant;GLO;kilogram;Carbon black, at plant
market for carbon monoxide;RER;kilogram;carbon monoxide;Carbon monoxide, CO, at plant;RER;kilogram;Carbon monoxide, CO, at plant
market for carboxymethyl cellulose, powder;GLO;kilogram;carboxymethyl cellulose, powder;Carboxymethyl cellulose, powder, at plant;RER;kilogram;Carboxymethyl cellulose, powder, at plant
cast iron production;RoW;kilogram;cast iron;Cast iron, at plant;RER;kilogram;Cast iron, at plant
market for cast iron;GLO;kilogram;cast iron;Cast iron, at plant;RER;kilogram;Cast iron, at plant
market for casting, brass;GLO;kilogram;casting, brass;Casting, brass;CH;kilogram;Casting, brass
cement production, Portland;CH;kilogram;cement, Portland;Portland cement, strength class Z 42.5, at plant;CH;kilogram;Portland cement, strength class Z 42.5, at plant
market for charger, electric passenger car;GLO;kilogram;charger, electric passenger car;charger, for electric passenger car;RER;kilogram;charger, for electric passenger car
market for chemical factory;GLO;kilogram;chemical factory;Chemical plant, organics;RER;unit;Chemical plant, organics
chemical factory construction, organics;RER;unit;chemical factory, organics;Chemical plant, organics;RER;unit;Chemical plant, organics
chemical factory construction, organics;RoW;unit;chemical factory, organics;Chemical plant, organics;RER;unit;Chemical plant, organics
market for chemical factory, organics;GLO;unit;chemical factory, organics;Chemical plant, organics;RER;unit;Chemical plant, organics
market for chemicals, inorganic;GLO;kilogram;chemical, inorganic;Chemicals inorganic, at plant;GLO;kilogram;Chemicals inorganic, at plant
market for chemical, organic;GLO;kilogram;chemical, organic;Chemicals organic, at plant;GLO;kilogram;Chemicals organic, at plant
market for chromium oxide, flakes;GLO;kilogram;chromium oxide, flakes;Chromium oxide, flakes, at plant;RER;kilogram;Chromium oxide, flakes, at plant
cobalt production;GLO;kilogram;cobalt;Cobalt, at plant;GLO;kilogram;Cobalt, at plant
market for cobalt;GLO;kilogram;cobalt;Cobalt, at plant;GLO;kilogram;Cobalt, at plant
computer production, desktop, without screen;GLO;unit;computer, desktop, without screen;Desktop computer, without screen, at plant;GLO;unit;Desktop computer, without screen, at plant
market for concrete block;DE;kilogram;concrete block;Concrete block, at plant;DE;kilogram;Concrete block, at plant
market for concrete, high exacting requirements;CH;cubic meter;concrete, high exacting requirements;Concrete, exacting, at plant;CH;cubic meter;Concrete, exacting, at plant
market for concrete, normal;RoW;cubic meter;concrete, normal;Concrete, normal, at plant;CH;cubic meter;Concrete, normal, at plant
market for concrete, normal;CH;cubic meter;concrete, normal;Concrete, normal, at plant;CH;cubic meter;Concrete, normal, at plant
market for converter, for electric passenger car;GLO;kilogram;converter, for electric passenger car;converter, for electric passenger car;RER;kilogram;converter, for electric passenger car
market for copper;GLO;kilogram;copper;Copper, primary, at refinery;RLA;kilogram;Copper, primary, at refinery
market for copper oxide;GLO;kilogram;copper oxide;Copper oxide, at plant;RER;kilogram;Copper oxide, at plant
copper production, blister-copper;RER;kilogram;copper, blister-copper;Copper, blister-copper, at primary smelter;RER;kilogram;Copper, blister-copper, at primary smelter
market for corrugated board box;RoW;kilogram;corrugated board box;Corrugated board base paper, kraftliner, at plant;RER;kilogram;Corrugated board base paper, kraftliner, at plant
market for cyclohexane;GLO;kilogram;cyclohexane;Cyclohexane, at plant;RER;kilogram;Cyclohexane, at plant
market for diesel;Europe without Switzerland;kilogram;diesel;Diesel, at regional storage;RER;kilogram;Diesel, at regional storage
market group for diesel;RER;kilogram;diesel;Diesel, at regional storage;RER;kilogram;Diesel, at regional storage
diesel, burned in building machine;GLO;megajoule;diesel, burned in building machine;diesel, burned in building machine, average/MJ;CH;megajoule;diesel, burned in building machine, average/MJ
market for diesel, burned in building machine;GLO;megajoule;diesel, burned in building machine;diesel, burned in building machine, average/MJ;CH;megajoule;diesel, burned in building machine, average/MJ
diesel, burned in diesel-electric generating set, 18.5kW;GLO;megajoule;diesel, burned in diesel-electric generating set, 18.5kW;Diesel, burned in diesel-electric generating set;GLO;megajoule;Diesel, burned in diesel-electric generating set
market for diethanolamine;GLO;kilogram;diethanolamine;Diethanolamine, at plant;RER;kilogram;Diethanolamine, at plant
market for display, liquid crystal, 17 inches;GLO;unit;display, liquid crystal, 17 inches;LCD flat screen, 17 inches, at plant;GLO;unit;LCD flat screen, 17 inches, at plant
distribution network construction, electricity, low voltage;CH;kilometer;distribution network, electricity, low voltage;distribution network, electricity, low voltage/km;CH;kilometer;distribution network, electricity, low voltage/km
market for dolomite;RER;kilogram;dolomite;Dolomite, at plant;RER;kilogram;Dolomite, at plant
drawing of pipe, steel;RER;kilogram;drawing of pipe, steel;Drawing of pipes, steel;RER;kilogram;Drawing of pipes, steel
treatment of drilling waste, landfarming;CH;kilogram;drilling waste;Disposal, drilling waste, 71.5% water, to landfarming;CH;kilogram;Disposal, drilling waste, 71.5% water, to landfarming
treatment of drilling waste, residual material landfill;CH;kilogram;drilling waste;Disposal, drilling waste, 71.5% water, to residual material landfill;CH;kilogram;Disposal, drilling waste, 71.5% water, to residual material landfill
market for electric connector, wire clamp;GLO;kilogram;electric connector, wire clamp;Connector, clamp connection, at plant;GLO;kilogram;Connector, clamp connection, at plant
market for electric motor, electric passenger car;GLO;kilogram;electric motor, electric passenger car;electric motor, for electric passenger car;RER;kilogram;electric motor, for electric passenger car
treatment of municipal solid waste, incineration;DE;kilowatt hour;electricity, for reuse in municipal waste incineration only;Electricity from waste, at municipal waste incineration plant;CH;kilowatt hour;Electricity from waste, at municipal waste incineration plant
electricity production, hard coal;DE;kilowatt hour;electricity, high voltage;Electricity, hard coal, at power plant;DE;kilowatt hour;Electricity, hard coal, at power plant
electricity production, hydro, run-of-river;DE;kilowatt hour;electricity, high voltage;electricity, high voltage, production from hydro power, at grid;CH;kilowatt hour;electricity, high voltage, production from hydro power, at grid
electricity production, natural gas, conventional power plant;DE;kilowatt hour;electricity, high voltage;Electricity, natural gas, at power plant;DE;kilowatt hour;Electricity, natural gas, at power plant
electricity production, nuclear, pressure water reactor;DE;kilowatt hour;electricity, high voltage;Electricity, nuclear, at power plant pressure water reactor;DE;kilowatt hour;Electricity, nuclear, at power plant pressure water reactor
electricity production, wind, 1-3MW turbine, onshore;DE;kilowatt hour;electricity, high voltage;Electricity, at wind power plant;RER;kilowatt hour;Electricity, at wind power plant
electricity production, oil;DE;kilowatt hour;electricity, high voltage;Electricity, oil, at power plant;UCTE;kilowatt hour;Electricity, oil, at power plant
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;DE;kilowatt hour;electricity, high voltage;Electricity, at cogen 6400kWth, wood, allocation heat;CH;kilowatt hour;Electricity, at cogen 6400kWth, wood, allocation heat
market group for electricity, high voltage;ENTSO-E;kilowatt hour;electricity, high voltage;electricity, high voltage, production ENTSO, at grid/kWh;ENTSO;kilowatt hour;electricity, high voltage, production ENTSO, at grid/kWh
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;DE;kilowatt hour;electricity, low voltage;electricity, PV, at 3kWp facade installation, multi-Si, panel, mounted/kWh;CH;kilowatt hour;electricity, PV, at 3kWp facade installation, multi-Si, panel, mounted/kWh
market group for electricity, low voltage;ENTSO-E;kilowatt hour;electricity, low voltage;electricity, low voltage, production ENTSO, at grid/kWh;ENTSO;kilowatt hour;electricity, low voltage, production ENTSO, at grid/kWh
market group for electricity, low voltage;GLO;kilowatt hour;electricity, low voltage;electricity, low voltage, production GLO, at grid/kWh;GLO;kilowatt hour;electricity, low voltage, production GLO, at grid/kWh
market for electricity, medium voltage;JP;kilowatt hour;electricity, medium voltage;electricity, medium voltage, production JP, at grid/kWh;JP;kilowatt hour;electricity, medium voltage, production JP, at grid/kWh
market group for electricity, medium voltage;ENTSO-E;kilowatt hour;electricity, medium voltage;electricity, medium voltage, production ENTSO, at grid/kWh;ENTSO;kilowatt hour;electricity, medium voltage, production ENTSO, at grid/kWh
market group for electricity, medium voltage;GLO;kilowatt hour;electricity, medium voltage;electricity, medium voltage, production GLO, at grid/kWh;GLO;kilowatt hour;electricity, medium voltage, production GLO, at grid/kWh
market for electronic component factory;GLO;unit;electronic component factory;Electronic component production plant;GLO;unit;Electronic component production plant
market for electronic component, passive, unspecified;GLO;kilogram;electronic component, passive, unspecified;Electronic component, passive, unspecified, at plant;GLO;kilogram;Electronic component, passive, unspecified, at plant
electronics production, for control units;RoW;kilogram;electronics, for control units;Electronics for control units;RER;kilogram;Electronics for control units
electronics production, for control units;RER;kilogram;electronics, for control units;Electronics for control units;RER;kilogram;Electronics for control units
epichlorohydrin production from allyl chloride;RoW;kilogram;epichlorohydrin;Epichlorohydrin, from hypochlorination of allyl chloride, at plant;RER;kilogram;Epichlorohydrin, from hypochlorination of allyl chloride, at plant
epoxy resin production, liquid;RER;kilogram;epoxy resin, liquid;Epoxy resin, liquid, at plant;RER;kilogram;Epoxy resin, liquid, at plant
epoxy resin production, liquid;RoW;kilogram;epoxy resin, liquid;Epoxy resin, liquid, at plant;RER;kilogram;Epoxy resin, liquid, at plant
market for ethanol, without water, in 99.7% solution state, from ethylene;RER;kilogram;ethanol, without water, in 99.7% solution state, from ethylene;Ethanol, 99.7% in H2O, from biomass, at distillation;RER;kilogram;Ethanol, 99.7% in H2O, from biomass, at distillation
market for ethylene carbonate;GLO;kilogram;ethylene carbonate;Ethylene carbonate, at plant;CN;kilogram;Ethylene carbonate, at plant
ethylene glycol production;RER;kilogram;ethylene glycol;Ethylene glycol, at plant;RER;kilogram;Ethylene glycol, at plant
ethylene glycol production;RoW;kilogram;ethylene glycol;Ethylene glycol, at plant;RER;kilogram;Ethylene glycol, at plant
market for ethylene glycol;GLO;kilogram;ethylene glycol;Ethylene glycol, at plant;RER;kilogram;Ethylene glycol, at plant
market for extrusion, plastic film;GLO;kilogram;extrusion, plastic film;Extrusion, plastic film;RER;kilogram;Extrusion, plastic film
market for flat glass, coated;RER;kilogram;flat glass, coated;Flat glass, coated, at plant;RER;kilogram;Flat glass, coated, at plant
market for flat glass, uncoated;RER;kilogram;flat glass, uncoated;Flat glass, uncoated, at plant;RER;kilogram;Flat glass, uncoated, at plant
gas motor production, 206kW;RER;unit;gas motor, 206kW;Gas motor 206kW;RER;unit;Gas motor 206kW
market for gas turbine, 10MW electrical;GLO;unit;gas turbine, 10MW electrical;Gas turbine, 10MWe, at production plant;RER;unit;Gas turbine, 10MWe, at production plant
market for glass fibre;GLO;kilogram;glass fibre;Glass fibre, at plant;RER;kilogram;Glass fibre, at plant
glass fibre reinforced plastic production, polyamide, injection moulded;RoW;kilogram;glass fibre reinforced plastic, polyamide, injection moulded;Glass fibre reinforced plastic, polyamide, injection moulding, at plant;RER;kilogram;Glass fibre reinforced plastic, polyamide, injection moulding, at plant
glass fibre reinforced plastic production, polyamide, injection moulded;RER;kilogram;glass fibre reinforced plastic, polyamide, injection moulded;Glass fibre reinforced plastic, polyamide, injection moulding, at plant;RER;kilogram;Glass fibre reinforced plastic, polyamide, injection moulding, at plant
