1-Pentene;('air',);kilogram
1-Pentene;('air', 'low population density, long-term');kilogram
1-Pentene;('air', 'non-urban air or from high stacks');kilogram
1-Pentene;('air', 'urban air close to ground');kilogram
2,4-D;('soil', 'agricultural');kilogram
AOX, Adsorbable Organic Halogen as Cl;('water', 'surface water');kilogram
ATR BM + CCS (MDEA), 98 (average), with digestate incineration, 25 bar;CH;megajoule;Hydrogen, gaseous, 25 bar
ATR BM, with digestate incineration, 25 bar;CH;megajoule;Hydrogen, gaseous, 25 bar
ATR NG + CCS (MDEA), 98 (average), 25 bar;RER;megajoule;Hydrogen, gaseous, 25 bar
ATR NG, 25 bar;RER;megajoule;Hydrogen, gaseous, 25 bar
Acetaldehyde;('air',);kilogram
Acetaldehyde;('air', 'low population density, long-term');kilogram
Acetaldehyde;('air', 'non-urban air or from high stacks');kilogram
Acetaldehyde;('air', 'urban air close to ground');kilogram
Acetamide;('soil', 'agricultural');kilogram
Acetic acid;('air',);kilogram
Acetochlor;('soil', 'agricultural');kilogram
Acetone;('air',);kilogram
Acetone;('air', 'low population density, long-term');kilogram
Acetone;('air', 'non-urban air or from high stacks');kilogram
Acetone;('air', 'urban air close to ground');kilogram
Acrolein;('air',);kilogram
Acrolein;('air', 'low population density, long-term');kilogram
Acrolein;('air', 'non-urban air or from high stacks');kilogram
Acrolein;('air', 'urban air close to ground');kilogram
Alachlor;('soil', 'agricultural');kilogram
Aluminium;('water', 'surface water');kilogram
Ammonia;('air',);kilogram
Ammonia;('air', 'low population density, long-term');kilogram
Ammonia;('air', 'non-urban air or from high stacks');kilogram
Ammonia;('air', 'urban air close to ground');kilogram
Ammonium, ion;('water',);kilogram
Ancillary BoP;GLO;kilogram;Ancillary BoP
Anode current collector, LFP;JP;kilogram;Anode current collector, LFP
Anode current collector, LTO;JP;kilogram;Anode current collector, LTO
Anode paste, LFP;JP;kilogram;Anode paste, LFP
Anode paste, LTO;JP;kilogram;Anode paste, LTO
Anthraquinone;('soil', 'agricultural');kilogram
Argon-40;('air',);kilogram
Arsenic;('air',);kilogram
Arsenic;('air', 'low population density, long-term');kilogram
Arsenic;('air', 'non-urban air or from high stacks');kilogram
Arsenic;('air', 'urban air close to ground');kilogram
Arsenic, ion;('water', 'surface water');kilogram
Atrazine;('soil', 'agricultural');kilogram
Azoxystrobin;('soil', 'agricultural');kilogram
BOD5, Biological Oxygen Demand;('water',);kilogram
BOD5, Biological Oxygen Demand;('water', 'surface water');kilogram
Barium;('water', 'surface water');kilogram
Battery BoP;GLO;kilogram;Battery BoP
Battery cell, LFP;GLO;kilogram;Battery cell
Battery cell, LTO;GLO;kilogram;Battery cell
Battery cell, NCA;GLO;kilogram;Battery cell
Battery cell, NMC-111;GLO;kilogram;Battery cell
Battery cell, NMC-622;GLO;kilogram;Battery cell
Battery cell, NMC-811;GLO;kilogram;Battery cell
Benzaldehyde;('air',);kilogram
Benzaldehyde;('air', 'low population density, long-term');kilogram
Benzaldehyde;('air', 'non-urban air or from high stacks');kilogram
Benzaldehyde;('air', 'urban air close to ground');kilogram
Benzene;('air',);kilogram
Benzene;('air', 'low population density, long-term');kilogram
Benzene;('air', 'non-urban air or from high stacks');kilogram
Benzene;('air', 'urban air close to ground');kilogram
Benzo(a)pyrene;('air',);kilogram
Beta-cyfluthrin;('soil', 'agricultural');kilogram
Bifenox;('soil', 'agricultural');kilogram
Bifenthrin;('soil', 'agricultural');kilogram
Biodiesel production, via transesterification, from algae, energy allocation;RER;kilogram;biodiesel, from algae
Biodiesel production, via transesterification, from palm oil, energy allocation;ID;kilogram;biodiesel, from palm oil
Biodiesel production, via transesterification, from rapeseed oil, energy allocation;RER;kilogram;biodiesel, from rapeseed oil
Biodiesel production, via transesterification, from used cooking oil, energy allocation;RER;kilogram;biodiesel, from cooking oil
Biodiesel, from algae, at fuelling station;RER;kilogram;biodiesel, vehicle grade
Biodiesel, from palm oil, at fuelling station;ID;kilogram;biodiesel, vehicle grade
Biodiesel, from rapeseed oil, at fuelling station;RER;kilogram;biodiesel, vehicle grade
Biodiesel, from used cooking oil, at fuelling station;RER;kilogram;biodiesel, vehicle grade
Biomethane, gaseous, 5 bar, from sewage sludge fermentation, at fuelling station;RER;kilogram;biomethane, high pressure
Bipolar plate;GLO;kilowatt;Bipolar plate
Bitertanol;('soil', 'agricultural');kilogram
Boron;('water', 'surface water');kilogram
