Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m;Target speed, city;Target speed, coach
1;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0
3;0;0;1.8;0;1.8;0;0;64
4;0;0;5.4;0;5.4;0;0;64
5;0;0;9;0;9;0;0;64
6;0;0;12.6;0;12.6;0;0;64
7;0;0;16.2;0;16.2;0;0;64
8;0;0;19.8;0;19.8;0;0;64
9;0;0;23.4;0;23.4;0;0;64
10;0;0;26.9675;0;26.9675;0;0;64
11;0;0;30.4266;0;30.2952;0;0;64
12;0;0;33.7161;0;33.1149;0;0;64
13;0.72;0.72;36.829;0.72;35.6499;0.72;9.48;64
14;3.24;3.24;39.782;3.24;38.2556;3.24;23.7;64
15;6.84;6.84;42.5851;6.84;40.9479;6.84;23.7;64
16;10.44;10.44;45.2454;10.44;43.647;10.44;23.7;64
17;14.04;14.04;47.7705;14.04;46.2532;14.04;23.7;64
18;17.64;17.64;50.1675;17.64;48.7272;17.64;23.7;64
19;21.0294;21.0294;52.443;21.0294;51.0757;21.0294;23.7;64
20;23.1594;23.1594;54.603;23.1594;53.305;23.1594;23.7;64
21;23.7;23.7;56.6534;23.7;55.4213;23.7;23.7;64
22;23.7;23.7;58.5998;23.7;57.4302;23.7;23.7;64
23;23.7;23.7;60.4541;23.7;59.3375;23.7;23.7;64
24;23.7;23.7;62.2605;23.7;61.1664;23.7;23.7;64
25;23.7;23.7;63.5802;23.7;62.909;23.7;23.7;64
26;23.7;23.7;64;23.7;63.8758;23.7;23.7;64
27;23.5793;23.5793;64;23.5793;64;23.5793;23.7;64
28;21.6586;21.6586;64;21.6586;64;21.6586;23.7;64
29;18.0586;18.0586;64;18.0586;64;18.0586;23.7;64
30;14.4586;14.4586;64;14.4586;64;14.4586;23.7;64
31;11.3293;11.3293;64;11.3293;64;11.3293;22.6377;64
32;10;10;64;10;64;10;10;64
33;11.5895;11.47;64;11.7956;64;11.7956;18.3793;64
34;14.9789;14.6946;64;15.3911;64;15.2878;18.4;64
35;17.5895;17.4246;64;17.7956;64;17.6923;18.4;64
36;18.4;18.4;64;18.4;64;18.4;18.4;64
37;18.4;18.4;64;18.4;64;18.4;18.4;64
38;18.4;18.4;64;18.4;64;18.4;18.4;64
