Time (s);WLTC;WLTC 3.1;WLTC 3.2;WLTC 3.3;WLTC 3.4;CADC Urban;CADC Road;CADC Motorway;CADC Motorway 130;CADC;NEDC;SORT 1;SORT 2;SORT 3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;2.2;0;0;0;0;0;0;4;4;3
2;0;0;0;0;4.4;0;0;0;0;0;0;7;7;6
3;0;0;0;0;6.3;0;0;0;0;0;0;11;11;8
4;0;0;0;0.8;7.9;0;0;0;0;0;0;15;15;11
5;0;0;0;3.6;9.2;0;2;0;0;0;0;19;19;14
6;0;0;0;8.6;10.4;0;9.4;2.4;2.4;0;0;20;20;17
7;0;0;0;14.6;11.5;0;16.3;2.9;2.9;0;0;20;20;19
8;0;0;0;20;12.9;0;19.7;5.3;5.3;0;0;20;20;22
9;0;0;0;24.4;14.7;0;21.2;11.5;11.5;0;0;20;20;25
10;0;0;0;28.2;17;0;24.1;16.8;16.8;0;0;20;20;28
11;0;0;1;31.7;19.8;0;27.6;19.7;19.7;0;0;20;20;30
12;0.2;0.2;2.1;35;23.1;0;29.1;21.1;21.1;0;3.8;20;20;30
13;1.7;1.7;4.8;37.6;26.7;0;32.5;24.5;24.5;0;7.5;20;20;30
14;5.4;5.4;9.1;39.7;30.5;0;36.5;26.9;26.9;0;11.3;20;20;30
15;9.9;9.9;14.2;41.5;34.1;0;37;28.3;28.3;0;15;20;20;30
16;13.1;13.1;19.8;43.6;37.5;0;38.4;28.3;28.3;0;15;20;20;30
17;16.9;16.9;25.5;46;40.6;0;41.4;27.9;27.9;0;15;20;20;30
18;21.7;21.7;30.5;48.4;43.3;0;43.4;27.9;27.9;0;15;17;17;30
19;26;26;34.8;50.5;45.7;0;44.4;29.8;29.8;0;15;14;14;30
20;27.5;27.5;38.8;51.9;47.7;0;45.8;31.2;31.2;0;15;11;11;30
21;28.1;28.1;42.9;52.6;49.3;0.7;47.3;32.2;32.2;0.7;15;8;8;30
22;28.3;28.3;46.4;52.8;50.5;2.1;48.3;32.7;32.7;2.1;15;6;6;30
23;28.8;28.8;48.3;52.9;51.3;9.2;49.3;33.1;33.1;9.2;15;3;3;30
24;29.1;29.1;48.7;53.1;52.1;15.6;49.8;36;36;15.6;12;0;0;30
25;30.8;30.8;48.5;53.3;52.7;19.8;49.3;40.3;40.3;19.8;9;0;0;27
26;31.9;31.9;48.4;53.1;53.4;19.8;46.3;40.8;40.8;19.8;6;0;0;24
27;34.1;34.1;48.2;52.3;54;22.7;42.4;40.3;40.3;22.7;3;0;0;21
28;36.6;36.6;47.8;50.7;54.5;25.5;38.4;37.9;37.9;25.5;0;0;0;18
29;39.1;39.1;47;48.8;55;29.8;34.5;36.5;36.5;29.8;0;0;0;16
30;41.3;41.3;45.9;46.5;55.6;34;28.6;34.1;34.1;34;0;0;0;13
31;42.5;42.5;44.9;43.8;56.3;36.9;24.6;30.7;30.7;36.9;0;0;0;10
32;43.3;43.3;44.4;40.3;57.2;38.3;21.7;24.5;24.5;38.3;0;0;0;7
33;43.9;43.9;44.3;36;58.5;40.4;19.7;15.8;15.8;40.4;0;0;0;4
34;44.4;44.4;44.5;30.7;60.2;43.2;18.2;8.6;8.6;43.2;0;0;0;1
35;44.5;44.5;45.1;25.4;62.3;46.1;18.7;4.3;4.3;46.1;0;0;0;0
36;44.2;44.2;45.7;21;64.7;46.1;20.2;1.4;1.4;46.1;0;0;0;0
37;42.7;42.7;46;16.7;67.1;46.1;23.2;0.5;0.5;46.1;0;0;0;0
38;39.9;39.9;46;13.4;69.2;44.6;25.6;0;0;44.6;0;0;0;0
39;37;37;46;12;70.7;46.1;30.1;0;0;46.1;0;0;0;0
40;34.6;34.6;46.1;12.1;71.9;48.2;33.5;0;0;48.2;0;0;0;0
41;32.3;32.3;46.7;12.8;72.7;48.9;37.9;0;0;48.9;0;0;0;0
42;29;29;47.7;15.6;73.4;48.2;37.9;0;0;48.2;0;0;0;0
43;25.1;25.1;48.9;19.9;73.8;46.8;39.4;0.5;0.5;46.8;0;0;0;0
44;22.2;22.2;50.3;23.4;74.1;44.6;42.4;5.8;5.8;44.6;0;3;2;0
