Time;Urban delivery, 3.5t;Regional delivery, 3.5t;Long haul, 3.5t;Urban delivery, 7.5t;Regional delivery, 7.5t;Long haul, 7.5t;Urban delivery, 18t;Regional delivery, 18t;Long haul, 18t;Urban delivery, 26t;Regional delivery, 26t;Long haul, 26t;Urban delivery, 32t;Regional delivery, 32t;Long haul, 32t;Urban delivery, 40t;Regional delivery, 40t;Long haul, 40t;Urban delivery, 60t;Regional delivery, 60t;Long haul, 60t
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;2;2;2;2;2;1.8;1.8;1.7042;1.4369;1.4349;0.8828;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.6
4;5;5;5;5;5;5;5.2791;5.2788;4.9733;4.361;4.3558;2.9703;5.4;5.4;5.4;5.4;5.4;5.3543;5.4;5.4;5
5;9;9;9;9;9;9;8.4892;8.4883;8.3382;7.6267;7.6201;5.3532;7.8197;7.8185;7.5112;7.8303;7.8292;7.436;7.8;7.8;6
6;11;13;13;11;13;13;9.8308;9.8278;10.3089;10.0575;10.9655;8.2137;9.3608;9.3572;8.4338;9.2425;9.2388;8.1354;9.1;9.1;6.9
7;12;16;15;12;16;16;9.6904;9.6834;9.7827;10.5578;12.3577;11.5499;11.1411;12.0773;10.8452;11.0122;11.8192;10.0607;9.9;9.8;8.7
8;13;16;16;13;17;16;10.8304;11.4961;9.7284;11.0348;12.1466;12.5406;11.9845;15.1477;13.8458;11.9886;14.8985;12.8581;10.9;11.4;9.4
9;15;16;15;15;16;15;13.6619;15.0618;11.7628;13.1668;13.6923;11.1894;11.9396;16.5542;14.7806;11.9153;16.3081;13.7367;12.5;13.3;11.1
10;17;18;16;17;18;16;17.2026;18.6618;14.9322;16.3192;16.8027;11.7263;13.5772;18.2276;16.1509;13.3339;18.0336;14.5907;13.3;14.4;12.6
11;16;21;20;16;22;20;20.6058;21.5104;18.4568;19.4932;19.6928;14.1066;17.0442;21.5545;19.5751;16.6145;20.6507;17.3288;15.1;16.5;12.9
12;17;25;23;18;26;24;22.0127;22.1515;21.0384;21.5876;21.8098;16.4834;19.2276;24.2867;21.0908;18.853;21.679;18.6116;17.3;17.8;14.3
13;21;28;27;22;29;27;21.7697;21.9519;21.1751;21.9689;22.1481;18.821;20.543;25.181;21.5932;19.983;22.8636;18.7797;18.3;18.4;16.1
14;25;28;28;25;30;31;23.2003;23.3971;20.3868;22.1696;21.5738;20.9141;23.2599;26.1764;23.8104;22.1739;25.2634;20.2577;19.8;19.9;16.3
15;28;27;27;28;29;32;26.1648;25.8535;21.3765;23.5009;22.1025;22.5367;26.214;28.4218;25.8565;24.7187;26.1262;22.4961;21.5;21.4;16.6
16;29;29;27;29;30;30;29.0848;28.2144;23.5399;25.4356;23.46;22.5013;27.4702;30.7312;26.2276;25.7619;26.1104;24.7532;22.1;21.6;18.2
17;28;32;30;29;33;31;31.8308;30.3637;25.7348;27.402;24.7608;21.283;28.8215;32.8026;26.9125;26.7168;27.1928;25.3947;23.3;21.9;19.5
18;30;36;34;31;36;34;34.3548;32.2359;27.9328;29.3031;25.9788;21.3525;31.5001;33.0659;28.9399;28.8312;28.6713;25.2169;25;23.1;19.5
19;33;39;37;34;39;37;36.6603;33.8294;30.0371;31.1046;27.0877;22.535;32.8813;32.5715;31.1259;31.1232;30.0625;26.2257;25.7;24.3;19.5
20;36;42;40;37;42;40;37.7877;35.267;31.996;32.792;28.048;23.7087;33.4217;33.4176;32.4842;32.8752;31.3518;27.7653;25.9;25.3;20.5
21;39;44;43;40;44;43;37.5388;36.6738;33.8057;34.379;28.9359;24.9106;35.0744;34.8027;32.4845;33.441;32.6303;29.3757;27.1;25.7;21.7
22;42;45;45;43;45;45;37.8777;38.0281;35.4773;35.9223;29.8481;26.1224;37.3309;36.3456;32.812;34.1287;33.3349;30.9481;28.5;25;22.9
23;45;45;46;45;45;48;39.4621;38.0567;37.0193;37.4334;30.7938;27.3263;39.682;37.9675;34.1951;35.794;33.0729;32.4336;30;24.6;24.1
24;46;45;44;47;45;50;41.433;36.8018;37.8136;38.3014;31.7676;28.4924;42.0036;39.5966;35.7692;37.6881;33.1755;33.2601;31.4;25;25.2
25;46;45;45;47;45;53;43.4235;36.7222;37.1987;38.2608;32.7607;29.613;43.0951;41.1667;37.384;39.6209;34.1748;33.0416;32.9;25.6;25.9
26;46;45;47;47;45;53;45.3568;37.8523;36.4245;38.4252;33.7594;30.6948;43.6106;42.6564;38.9869;41.515;35.3346;33.1257;33.7;26.3;25.5
27;48;45;50;49;45;52;47.2045;39.0314;36.8519;39.4;34.7326;31.731;45.0876;42.7568;40.5381;42.9243;36.5152;34.0685;34.1;27;25.3
28;51;45;52;52;45;52;48.9487;40.1982;37.9602;40.7041;35.6558;32.7277;46.921;42.3114;42.0344;43.4569;37.6853;35.1667;34.9;27.9;25.9
29;53;45;54;54;45;54;50.6075;41.3086;39.1384;41.9971;36.5248;33.6869;48.7613;42.9049;42.8243;44.1128;38.7948;36.3049;36.1;28.7;26.6
30;55;45;56;56;45;56;52.2011;42.3448;40.3451;43.2416;37.3081;34.611;50.5604;43.7477;42.649;45.4184;39.8088;37.4623;37.4;29.6;27.3
31;57;45;58;58;45;58;53.7339;43.2999;41.5655;44.4516;37.9767;35.5036;52.3048;44.5845;42.8675;46.8369;40.7276;38.6152;38.6;30.4;28.1
32;59;45;60;60;45;60;55.2084;44.1782;42.79;45.6334;38.5364;36.3648;53.9918;44.9963;43.9102;48.2678;41.5595;39.7465;39.8;31.2;28.9
33;61;45;60;62;45;60;56.6232;44.7991;44.0318;46.7866;38.1712;37.1855;55.6224;45;45.1597;49.6821;42.3123;40.8532;40.9;31.9;29.7
34;63;45;60;63;45;60;57.9663;45;45.3238;47.9099;36.8245;37.9552;56.2246;45;46.5259;51.0627;42.9885;41.957;42;32.6;30.5
35;65;43;60;65;43;60;58.9564;45;46.6779;49.0029;36.0611;38.4454;56.4444;45;48.0025;52.4065;43.588;43.0994;43.1;33.2;31.3
36;66;40;60;66;39;60;59.1025;45;48.0922;50.0664;36.0939;38.0151;57.5423;44.0863;49.5737;53.714;43.079;43.2546;43.6;33.7;32
37;68;37;60;66;37;60;59.0547;44.086;49.5567;51.1071;36.234;37.1628;58.9779;41.3725;51.2109;55.0037;42.1705;43.1237;43.8;34.1;32.7
38;68;37;60;65;37;60;59.938;41.372;51.0789;52.164;36.366;37.2017;60.5592;38.2337;52.9114;55.9538;42.1317;43.9819;44.3;34.5;33.5
39;67;37;60;65;37;60;61.4468;38.1882;52.6558;53.2805;36.4802;37.9761;62.2392;36.8975;54.6613;56.379;41.3816;45.1899;45.1;34.8;33.8
40;65;37;60;64;37;60;62.9599;36.8448;54.2714;54.4718;36.5709;38.8887;63.4961;36.9;55.8863;57.1161;38.9849;46.5389;45.9;35.1;33.5
41;64;37;60;63;37;60;63.6545;36.8926;55.9203;55.7241;36.6446;39.9023;63.8058;36.9;56.1055;58.4324;37.1106;47.9886;46.8;35.4;33.4
42;63;37;60;63;37;60;63.3032;36.9;57.5909;56.9806;36.7273;41.0094;63.4985;36.6059;55.8555;59.8392;36.8513;49.5161;47.8;35.6;34
