time (s);Kick-scooter;Bicycle <25km;Bicycle <45km;Bicycle cargo;Moped <4kW;Scooter <4kW;Scooter 4-11kW;Motorcycle 4-11kW;Motorcycle 11-35kW;Motorcycle >35kW
1;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0
22;0.5;0.5;0.9;0.5;1;1;1;1;1;1
23;1.3;1.3;2.34;1.3;2.6;2.6;2.6;2.6;2.6;2.6
24;2.4;2.4;4.32;2.4;4.8;4.8;4.8;4.8;4.8;4.8
25;3.6;3.6;6.48;3.6;7.2;7.2;7.2;7.2;7.2;7.2
26;4.8;4.8;8.64;4.8;9.6;9.6;9.6;9.6;9.6;9.6
27;6;6;10.8;6;12;12;12;12;12;12
28;7.15;7.15;12.87;7.15;14.3;14.3;14.3;14.3;14.3;14.3
29;8.3;8.3;14.94;8.3;16.6;16.6;16.6;16.6;16.6;16.6
30;9.45;9.45;17.01;9.45;18.9;18.9;18.9;18.9;18.9;18.9
31;10.6;10.6;19.08;10.6;21.2;21.2;21.2;21.2;21.2;21.2
32;11.75;11.75;21.15;11.75;23.5;23.5;23.5;23.5;23.5;23.5
33;12.8;12.8;23.04;12.8;25.6;25.6;25.6;25.6;25.6;25.6
34;13.55;13.55;24.39;13.55;27.1;27.1;27.1;27.1;27.1;27.1
35;14;14;25.2;14;28;28;28;28;28;28
36;14.35;14.35;25.83;14.35;28.7;28.7;28.7;28.7;28.7;28.7
37;14.6;14.6;26.28;14.6;29.2;29.2;29.2;29.2;29.2;29.2
38;14.9;14.9;26.82;14.9;29.8;29.8;29.8;29.8;29.8;29.8
39;15.15;15.15;27.27;15.15;30.3;30.3;30.3;30.3;30.4;30.4
40;14.8;14.8;26.64;14.8;29.6;29.6;29.6;29.6;29.6;29.6
41;14.35;14.35;25.83;14.35;28.7;28.7;28.7;28.7;28.7;28.7
42;13.95;13.95;25.11;13.95;27.9;27.9;27.9;27.9;27.9;27.9
43;13.7;13.7;24.66;13.7;27.4;27.4;27.4;27.4;27.5;27.5
44;13.65;13.65;24.57;13.65;27.3;27.3;27.3;27.3;27.3;27.3
45;13.65;13.65;24.57;13.65;27.3;27.3;27.3;27.3;27.4;27.4
46;13.7;13.7;24.66;13.7;27.4;27.4;27.4;27.4;27.5;27.5
47;13.75;13.75;24.75;13.75;27.5;27.5;27.5;27.5;27.6;27.6
