powertrain,euro_class,component,value
BEV,0,Benzene,0
ICEV-p,0,Ethane,0
ICEV-p,0,Propane,0
ICEV-p,0,Butane,0
ICEV-p,0,Pentane,0
ICEV-p,0,Hexane,0
ICEV-p,0,Cyclohexane,0
ICEV-p,0,Heptane,0
ICEV-p,0,Ethene,0
ICEV-p,0,Propene,0
ICEV-p,0,1-Pentene,0
ICEV-p,0,Toluene,0
ICEV-p,0,m-Xylene,0
ICEV-p,0,o-Xylene,0
ICEV-p,0,Formaldehyde,0
ICEV-p,0,Acetaldehyde,0
ICEV-p,0,Benzaldehyde,0
ICEV-p,0,Acetone,0
ICEV-p,0,Methyl ethyl ketone,0
ICEV-p,0,Acrolein,0
ICEV-p,0,Styrene,0
ICEV-p,0,PAH polycyclic aromatic hydrocarbons,0
ICEV-p,0,Arsenic,0
ICEV-p,0,Selenium,0
ICEV-p,0,Zinc,0
ICEV-p,0,Copper,0
ICEV-p,0,Nickel,0
ICEV-p,0,Chromium,0
ICEV-p,0,Chromium VI,0
ICEV-p,0,Mercury,0
ICEV-p,0,Cadmium,0
ICEV-d,0,Benzene,7.16E-07
ICEV-d,0,Methane,1.03E-06
ICEV-d,0,Carbon monoxide,0.000215491
ICEV-d,0,Hydrocarbon,4.29E-05
ICEV-d,0,Dinitrogen oxide,0
ICEV-d,0,Ammonia,1.00E-06
ICEV-d,0,Non-methane hydrocarbon,4.18E-05
ICEV-d,0,Nitrogen dioxide,1.95E-05
ICEV-d,0,Nitrogen oxides,0.000243458
ICEV-d,0,Particulate matters 2.5,3.68E-05
ICEV-d,0,Lead,0
ICEV-p,1,Hydrocarbon,0.049233229
ICEV-p,2,Hydrocarbon,0.016571577
ICEV-p,3,Hydrocarbon,0.009311372
ICEV-p,4,Hydrocarbon,0.00455484
ICEV-p,5,Hydrocarbon,0.005500442
ICEV-p,6,Hydrocarbon,0.003162039
ICEV-p,6.1,Hydrocarbon,0.001070885
ICEV-p,6.3,Hydrocarbon,0.002282782
ICEV-p,6.2,Hydrocarbon,0.002261953
ICEV-p,7,Hydrocarbon,0.00172876
ICEV-p,1,Lead,0
ICEV-p,2,Lead,0
ICEV-p,3,Lead,0
ICEV-p,4,Lead,0
ICEV-p,5,Lead,0
ICEV-p,6,Lead,0
ICEV-p,6.1,Lead,0
ICEV-p,6.3,Lead,0
ICEV-p,6.2,Lead,0
ICEV-d,1,Hydrocarbon,0.023623508
ICEV-d,2,Hydrocarbon,0.013321193
ICEV-d,3,Hydrocarbon,0.009213708
ICEV-d,4,Hydrocarbon,0.004197051
ICEV-d,5,Hydrocarbon,0.003246442
ICEV-d,6.1,Hydrocarbon,0.00564108
ICEV-d,6,Hydrocarbon,0.007781243
ICEV-d,6.2,Hydrocarbon,0.004338596
ICEV-d,6.3,Hydrocarbon,0.004010222
ICEV-d,7,Hydrocarbon,0.002153913
ICEV-g,2,Hydrocarbon,0.028610322
