powertrain,euro_class,component,size,value
BEV,1,Benzene,3.5t,0
ICEV-d,1,Ethane,3.5t,0
ICEV-d,1,Propane,3.5t,0
ICEV-d,1,Butane,3.5t,0
ICEV-d,1,Pentane,3.5t,0
ICEV-d,1,Hexane,3.5t,0
ICEV-d,1,Cyclohexane,3.5t,0
ICEV-d,1,Heptane,3.5t,0
ICEV-d,1,Ethene,3.5t,0
ICEV-d,1,Propene,3.5t,0
ICEV-d,1,1-Pentene,3.5t,0
ICEV-d,1,Toluene,3.5t,0
ICEV-d,1,m-Xylene,3.5t,0
ICEV-d,1,o-Xylene,3.5t,0
ICEV-d,1,Formaldehyde,3.5t,0
ICEV-d,1,Acetaldehyde,3.5t,0
ICEV-d,1,Benzaldehyde,3.5t,0
ICEV-d,1,Acetone,3.5t,0
ICEV-d,1,Methyl ethyl ketone,3.5t,0
ICEV-d,1,Acrolein,3.5t,0
ICEV-d,1,Styrene,3.5t,0
ICEV-d,1,PAH polycyclic aromatic hydrocarbons,3.5t,0
ICEV-d,1,Arsenic,3.5t,0
ICEV-d,1,Selenium,3.5t,0
ICEV-d,1,Zinc,3.5t,0
ICEV-d,1,Copper,3.5t,0
ICEV-d,1,Nickel,3.5t,0
ICEV-d,1,Chromium,3.5t,0
ICEV-d,1,Chromium VI,3.5t,0
ICEV-d,1,Mercury,3.5t,0
ICEV-d,1,Cadmium,3.5t,0
ICEV-d,1,Benzene,3.5t,0.000740364
ICEV-d,1,Methane,3.5t,0.001063997
ICEV-d,1,Carbon monoxide,3.5t,0.156983283
ICEV-d,1,Hydrocarbon,3.5t,0.044333194
ICEV-d,1,Dinitrogen oxide,3.5t,0.000657863
ICEV-d,1,Ammonia,3.5t,0.000464344
ICEV-d,1,Non-methane hydrocarbon,3.5t,0.043269196
ICEV-d,1,Nitrogen dioxide,3.5t,0.051915667
ICEV-d,1,Nitrogen oxides,3.5t,0.741652346
ICEV-d,1,Lead,3.5t,0
ICEV-d,1,Particulate matters 2.5,3.5t,0.029402372
ICEV-d,1,Benzene,18t,0.000519756
ICEV-d,1,Methane,18t,0.000746955
ICEV-d,1,Carbon monoxide,18t,0.147427412
ICEV-d,1,Hydrocarbon,18t,0.031123128
ICEV-d,1,Dinitrogen oxide,18t,0.000834272
ICEV-d,1,Ammonia,18t,0.000296558
ICEV-d,1,Non-methane hydrocarbon,18t,0.030376174
ICEV-d,1,Nitrogen dioxide,18t,0.050326339
ICEV-d,1,Nitrogen oxides,18t,0.718947684
ICEV-d,1,Lead,18t,0
ICEV-d,1,Particulate matters 2.5,18t,0.024973258
ICEV-d,1,Benzene,26t,0.000752842
ICEV-d,1,Methane,26t,0.001081928
ICEV-d,1,Carbon monoxide,26t,0.145025635
ICEV-d,1,Hydrocarbon,26t,0.045080336
ICEV-d,1,Dinitrogen oxide,26t,0.000596604
ICEV-d,1,Ammonia,26t,0.000212074
ICEV-d,1,Non-methane hydrocarbon,26t,0.043998408
ICEV-d,1,Nitrogen dioxide,26t,0.048845471
ICEV-d,1,Nitrogen oxides,26t,0.697792458
ICEV-d,1,Lead,26t,0
ICEV-d,1,Particulate matters 2.5,26t,0.030438551
ICEV-d,1,Benzene,32t,0.000624913
ICEV-d,1,Methane,32t,0.000898079
ICEV-d,1,Carbon monoxide,32t,0.152219611
ICEV-d,1,Hydrocarbon,32t,0.037419956
ICEV-d,1,Dinitrogen oxide,32t,0.000890625
ICEV-d,1,Ammonia,32t,0.000210552
ICEV-d,1,Non-methane hydrocarbon,32t,0.036521877
ICEV-d,1,Nitrogen dioxide,32t,0.052467729
ICEV-d,1,Nitrogen oxides,32t,0.749538943
ICEV-d,1,Lead,32t,0
ICEV-d,1,Particulate matters 2.5,32t,0.028280329
ICEV-d,1,Benzene,40t,0.000696297
ICEV-d,1,Methane,40t,0.001000666
ICEV-d,1,Carbon monoxide,40t,0.156431943
ICEV-d,1,Hydrocarbon,40t,0.041694422
ICEV-d,1,Dinitrogen oxide,40t,0.000755808
ICEV-d,1,Ammonia,40t,0.000165212
