size,powertrain,euro_class,component,value
Kick-scooter,BEV,1,Carbon monoxide,0
Bicycle <25,BEV,1,Carbon monoxide,0
Bicycle <45,BEV,1,Carbon monoxide,0
Bicycle cargo,BEV,1,Carbon monoxide,0
Moped <4kW,BEV,1,Carbon monoxide,0
Moped <4kW,BEV,1,Hydrocarbons,0
Moped <4kW,BEV,1,Lead,0
Moped <4kW,BEV,1,Nitrogen dioxide,0
Moped <4kW,ICEV-p,1,Carbon monoxide,5.2543
Moped <4kW,ICEV-p,1,Nitrogen oxides,0.2056
Moped <4kW,ICEV-p,1,Non-methane hydrocarbon,1.9729
Moped <4kW,ICEV-p,1,Particulate matters 2.5,0.0514
Moped <4kW,ICEV-p,1,Methane,0.05
Moped <4kW,ICEV-p,1,Ammonia,0.0011
Moped <4kW,ICEV-p,1,Dinitrogen oxide,0.0011
Moped <4kW,ICEV-p,1,Ethane,0.1243
Moped <4kW,ICEV-p,1,Propane,0.0272
Moped <4kW,ICEV-p,1,Butane,0.2019
Moped <4kW,ICEV-p,1,Pentane,0.0854
Moped <4kW,ICEV-p,1,Hexane,0.0621
Moped <4kW,ICEV-p,1,Cyclohexane,0.0427
Moped <4kW,ICEV-p,1,Heptane,0.0272
Moped <4kW,ICEV-p,1,Ethene,0.2835
Moped <4kW,ICEV-p,1,Propene,0.1476
Moped <4kW,ICEV-p,1,1-Pentene,0.0039
Moped <4kW,ICEV-p,1,Toluene,0.4272
Moped <4kW,ICEV-p,1,m-Xylene,0.2097
Moped <4kW,ICEV-p,1,o-Xylene,0.0893
Moped <4kW,ICEV-p,1,Formaldehyde,0.066
Moped <4kW,ICEV-p,1,Acetaldehyde,0.0311
Moped <4kW,ICEV-p,1,Benzaldehyde,0.0078
Moped <4kW,ICEV-p,1,Acetone,0.0233
Moped <4kW,ICEV-p,1,Methyl ethyl ketone,0.0039
Moped <4kW,ICEV-p,1,Acrolein,0.0078
Moped <4kW,ICEV-p,1,Styrene,0.0388
Moped <4kW,ICEV-p,1,PAHs,1.92E-11
Moped <4kW,ICEV-p,1,Arsenic,1.66E-13
Moped <4kW,ICEV-p,1,Selenium,1.11E-13
Moped <4kW,ICEV-p,1,Zinc,1.19E-09
Moped <4kW,ICEV-p,1,Copper,2.32E-11
Moped <4kW,ICEV-p,1,Nickel,7.18E-12
Moped <4kW,ICEV-p,1,Chromium,8.83E-12
Moped <4kW,ICEV-p,1,Chromium VI,1.77E-14
Moped <4kW,ICEV-p,1,Mercury,4.81E-12
Moped <4kW,ICEV-p,1,Cadmium,5.96E-12
Moped <4kW,ICEV-p,2,Carbon monoxide,3.1982
Moped <4kW,ICEV-p,2,Nitrogen oxides,0.1942
Moped <4kW,ICEV-p,2,Non-methane hydrocarbon,1.5087
Moped <4kW,ICEV-p,2,Particulate matters 2.5,0.0297
Moped <4kW,ICEV-p,2,Methane,0.0275
Moped <4kW,ICEV-p,2,Ammonia,0.0011
Moped <4kW,ICEV-p,2,Dinitrogen oxide,0.0011
Moped <4kW,ICEV-p,2,Ethane,0.095
Moped <4kW,ICEV-p,2,Propane,0.0208
Moped <4kW,ICEV-p,2,Butane,0.1544
Moped <4kW,ICEV-p,2,Pentane,0.0653
Moped <4kW,ICEV-p,2,Hexane,0.0475
Moped <4kW,ICEV-p,2,Cyclohexane,0.0327
Moped <4kW,ICEV-p,2,Heptane,0.0208
Moped <4kW,ICEV-p,2,Ethene,0.2168
Moped <4kW,ICEV-p,2,Propene,0.1129
Moped <4kW,ICEV-p,2,1-Pentene,0.003
Moped <4kW,ICEV-p,2,Toluene,0.3267
Moped <4kW,ICEV-p,2,m-Xylene,0.1604
Moped <4kW,ICEV-p,2,o-Xylene,0.0683
Moped <4kW,ICEV-p,2,Formaldehyde,0.0505
Moped <4kW,ICEV-p,2,Acetaldehyde,0.0238
Moped <4kW,ICEV-p,2,Benzaldehyde,0.0059
Moped <4kW,ICEV-p,2,Acetone,0.0178
Moped <4kW,ICEV-p,2,Methyl ethyl ketone,0.003
