size,powertrain,octave,coefficient,value
bicycle,ICEV,1,a,0
bicycle,ICEV,2,a,0
bicycle,ICEV,3,a,0
bicycle,ICEV,4,a,0
bicycle,ICEV,5,a,0
bicycle,ICEV,6,a,0
bicycle,ICEV,7,a,0
bicycle,ICEV,8,a,0
bicycle,BEV,1,a,0
bicycle,BEV,2,a,0
bicycle,BEV,3,a,0
bicycle,BEV,4,a,0
bicycle,BEV,5,a,0
bicycle,BEV,6,a,0
bicycle,BEV,7,a,0
bicycle,BEV,8,a,0
scooter,ICEV,1,a,4.2
scooter,ICEV,2,a,7.4
scooter,ICEV,3,a,9.8
scooter,ICEV,4,a,11.6
scooter,ICEV,5,a,15.7
scooter,ICEV,6,a,18.9
scooter,ICEV,7,a,20.3
scooter,ICEV,8,a,20.6
scooter,BEV,1,a,4.2
scooter,BEV,2,a,7.4
scooter,BEV,3,a,9.8
scooter,BEV,4,a,11.6
scooter,BEV,5,a,15.7
scooter,BEV,6,a,18.9
scooter,BEV,7,a,20.3
scooter,BEV,8,a,20.6
bicycle,BEV,1,b,0
bicycle,BEV,2,b,0
bicycle,BEV,3,b,0
bicycle,BEV,4,b,0
bicycle,BEV,5,b,0
bicycle,BEV,6,b,0
bicycle,BEV,7,b,0
bicycle,BEV,8,b,0
bicycle,ICEV,1,b,0
bicycle,ICEV,2,b,0
bicycle,ICEV,3,b,0
bicycle,ICEV,4,b,0
bicycle,ICEV,5,b,0
bicycle,ICEV,6,b,0
bicycle,ICEV,7,b,0
bicycle,ICEV,8,b,0
scooter,ICEV,1,b,88
scooter,ICEV,2,b,87.5
scooter,ICEV,3,b,89.5
scooter,ICEV,4,b,93.7
scooter,ICEV,5,b,96.6
scooter,ICEV,6,b,98.8
scooter,ICEV,7,b,93.9
scooter,ICEV,8,b,88.7
scooter,BEV,1,b,88
scooter,BEV,2,b,87.5
scooter,BEV,3,b,89.5
scooter,BEV,4,b,93.7
scooter,BEV,5,b,96.6
scooter,BEV,6,b,98.8
scooter,BEV,7,b,93.9
scooter,BEV,8,b,88.7
motorcycle,ICEV,1,a,3.2
motorcycle,ICEV,2,a,5.9
motorcycle,ICEV,3,a,11.9
motorcycle,ICEV,4,a,11.6
motorcycle,ICEV,5,a,11.5
motorcycle,ICEV,6,a,12.6
motorcycle,ICEV,7,a,11.1
motorcycle,ICEV,8,a,12
motorcycle,BEV,1,a,3.2
motorcycle,BEV,2,a,5.9
motorcycle,BEV,3,a,11.9
motorcycle,BEV,4,a,11.6
motorcycle,BEV,5,a,11.5
motorcycle,BEV,6,a,12.6
motorcycle,BEV,7,a,11.1
motorcycle,BEV,8,a,12
motorcycle,ICEV,1,b,95
motorcycle,ICEV,2,b,97.2
motorcycle,ICEV,3,b,92.7
motorcycle,ICEV,4,b,92.9
motorcycle,ICEV,5,b,94.7
motorcycle,ICEV,6,b,93.2
motorcycle,ICEV,7,b,90.1
motorcycle,ICEV,8,b,86.5
motorcycle,BEV,1,b,95
motorcycle,BEV,2,b,97.2
motorcycle,BEV,3,b,92.7
motorcycle,BEV,4,b,92.9
motorcycle,BEV,5,b,94.7
motorcycle,BEV,6,b,93.2
motorcycle,BEV,7,b,90.1
motorcycle,BEV,8,b,86.5
