Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
1;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
2;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
3;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
4;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
5;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
6;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
7;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
8;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
9;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
10;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
11;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
12;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
13;-0.07;-0.07;-0.000202;-0.07;-0.000202;-0.07
14;-0.07;-0.07;-0.000202;-0.07;-0.000392;-0.07
15;-0.07;-0.07;-0.000984;-0.07;-0.001729;-0.07
16;-0.070246;-0.070246;-0.001753;-0.070246;-0.002207;-0.070246
17;-0.071104;-0.071104;-0.002328;-0.071104;-0.002955;-0.071104
18;-0.071837;-0.071837;-0.002955;-0.071837;-0.003039;-0.071837
19;-0.072401;-0.072401;-0.002955;-0.072401;-0.00407;-0.072401
20;-0.072548;-0.072548;-0.003799;-0.072548;-0.004123;-0.072548
21;-0.071346;-0.071346;-0.00407;-0.071346;-0.005064;-0.071346
22;-0.068667;-0.068667;-0.004419;-0.068667;-0.005203;-0.068667
23;-0.063991;-0.063991;-0.005114;-0.063991;-0.006157;-0.063991
24;-0.057975;-0.057975;-0.005261;-0.057975;-0.006696;-0.057975
25;-0.049528;-0.049528;-0.006157;-0.049528;-0.009076;-0.049528
26;-0.039985;-0.039985;-0.006378;-0.039985;-0.010798;-0.039985
27;-0.028348;-0.028348;-0.008673;-0.028348;-0.011842;-0.028348
28;-0.016872;-0.016872;-0.010455;-0.016903;-0.012283;-0.016903
29;-0.005537;-0.005537;-0.011477;-0.005694;-0.013036;-0.005694
30;0.003242;0.003242;-0.011996;0.003419;-0.013714;0.003419
31;0.010189;0.010189;-0.012852;0.010242;-0.0142;0.010242
32;0.016085;0.016085;-0.013256;0.016109;-0.015086;0.016109
33;0.021448;0.021411;-0.014125;0.021587;-0.015503;0.021587
34;0.028308;0.027917;-0.014694;0.028558;-0.016318;0.028558
35;0.03536;0.035318;-0.015272;0.035822;-0.016942;0.035744
36;0.043679;0.043422;-0.016082;0.044087;-0.016646;0.044016
37;0.050356;0.050147;-0.016476;0.050692;-0.014981;0.050634
38;0.05634;0.056161;-0.017279;0.056607;-0.014805;0.05656
39;0.060561;0.060445;-0.015456;0.060736;-0.014805;0.060705
40;0.063349;0.063273;-0.014805;0.063466;-0.014805;0.063446
41;0.064708;0.064673;-0.014805;0.064763;-0.014805;0.064753
42;0.064912;0.064926;-0.014805;0.06489;-0.014805;0.064893
43;0.063977;0.064028;-0.014805;0.063897;-0.014805;0.063911
44;0.06207;0.06216;-0.014805;0.061929;-0.014805;0.061954
45;0.058942;0.059049;-0.014805;0.058774;-0.014805;0.058804
46;0.055611;0.055747;-0.014805;0.055399;-0.014805;0.055436
47;0.0512;0.051375;-0.014805;0.050928;-0.014805;0.050976
48;0.045896;0.046071;-0.014805;0.045622;-0.014805;0.045671
49;0.041571;0.041718;-0.014805;0.04134;-0.014805;0.04138
50;0.038204;0.038269;-0.014805;0.038102;-0.014314;0.03812
51;0.03736;0.03736;-0.014805;0.03736;-0.012359;0.03736
52;0.034933;0.03505;-0.014724;0.03475;-0.010186;0.034783
53;0.034;0.034;-0.013246;0.034;-0.007906;0.034
54;0.034;0.034;-0.011091;0.034;-0.005707;0.034
55;0.034;0.034;-0.008921;0.034;-0.003541;0.034
56;0.034;0.034;-0.006649;0.034;-0.001376;0.034
57;0.034;0.034;-0.004439;0.034;0.000841;0.034
58;0.034;0.034;-0.002274;0.034;0.003123;0.034
59;0.033545;0.03364;-0.000108;0.033396;0.006213;0.033423
60;0.029236;0.029375;0.002096;0.029018;0.011373;0.029057
61;0.024607;0.024778;0.004604;0.024339;0.016639;0.024387
62;0.017658;0.018036;0.009149;0.017071;0.02073;0.017175
63;0.008614;0.009001;0.014494;0.008056;0.023874;0.008155
64;-0.000707;-0.00038;0.019115;-0.001067;0.025038;-0.001004
65;-0.011023;-0.010434;0.022569;-0.011559;0.025931;-0.011464
66;-0.020235;-0.01945;0.024923;-0.020865;0.026294;-0.020753
67;-0.028623;-0.027989;0.025406;-0.028986;0.026658;-0.028922
68;-0.034913;-0.034485;0.026294;-0.03514;0.027586;-0.0351
