Time;Urban delivery, 3.5t;Regional delivery, 3.5t;Long haul, 3.5t;Urban delivery, 7.5t;Regional delivery, 8.5t;Long haul, 7.5t;Urban delivery, 18t;Regional delivery, 18t;Long haul, 18t;Urban delivery, 26t;Regional delivery, 26t;Long haul, 26t;Urban delivery, 32t;Regional delivery, 32t;Long haul, 32t;Urban delivery, 40t;Regional delivery, 40t;Long haul, 40t;Urban delivery, 60t;Regional delivery, 60t;Long haul, 60t
1;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502
2;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502
3;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502
4;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502
5;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502
6;-0.000008;0.000102;0.029512;-0.000008;0.000102;0.029512;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502;-0.000008;0.000102;0.029502
7;-0.000008;0.002773;0.030385;-0.000008;0.002773;0.030385;-0.000008;0.000411;0.029887;-0.000008;0.000584;0.029502;-0.000008;0.000763;0.02969;-0.000008;0.000706;0.029639;-0.000008;0.000313;0.029502
8;-0.000008;0.005102;0.03068;-0.000008;0.005102;0.03068;-0.000008;0.00432;0.03068;-0.000008;0.004907;0.03033;-0.000008;0.004644;0.030647;-0.000008;0.004579;0.030587;-0.000008;0.003967;0.030158
9;-0.000008;0.006562;0.03068;-0.000008;0.006753;0.03068;-0.000008;0.005102;0.03068;-0.000008;0.005102;0.03068;-0.000008;0.005135;0.03068;-0.000008;0.005102;0.03068;-0.000008;0.005102;0.03068
10;-0.000008;0.010102;0.03068;-0.000008;0.010102;0.03068;-0.000008;0.007144;0.03068;-0.000008;0.007087;0.03068;-0.000008;0.008975;0.03068;-0.000008;0.008738;0.03068;-0.000008;0.005901;0.03068
11;-0.000008;0.011766;0.03068;-0.000007;0.012186;0.03068;-0.000008;0.010102;0.03068;-0.000008;0.010102;0.03068;-0.000008;0.010627;0.03068;-0.000008;0.010432;0.03068;-0.000008;0.009733;0.03068
12;0.001391;0.015102;0.03068;0.001542;0.015408;0.03068;0.001414;0.013721;0.03068;0.000914;0.012897;0.03068;0.000437;0.014588;0.03068;0.00034;0.014396;0.03068;-0.000008;0.010698;0.03068
13;0.002747;0.019429;0.03068;0.002777;0.019628;0.03068;0.002778;0.01585;0.03068;0.002704;0.015553;0.03068;0.002518;0.017851;0.03068;0.002426;0.016582;0.03068;0.002065;0.014455;0.03068
14;0.003906;0.023017;0.03068;0.004022;0.02384;0.03068;0.004075;0.019665;0.03068;0.004008;0.019289;0.03068;0.003343;0.021088;0.03068;0.003153;0.020006;0.03068;0.002715;0.015973;0.03068
15;0.004983;0.026436;0.03068;0.005158;0.028206;0.03068;0.005014;0.022818;0.03068;0.004754;0.021364;0.03068;0.004567;0.024829;0.03068;0.004413;0.024295;0.03068;0.004176;0.019711;0.03068
16;0.006262;0.030168;0.03068;0.006421;0.03233;0.03068;0.006276;0.026359;0.03068;0.006089;0.025079;0.03068;0.005853;0.029467;0.03068;0.005699;0.027371;0.03068;0.004781;0.022231;0.03068
17;0.007525;0.034716;0.03068;0.007569;0.036592;0.03068;0.007512;0.030317;0.03068;0.007265;0.028603;0.03068;0.007093;0.033703;0.03068;0.006693;0.030944;0.03068;0.00608;0.025102;0.03068
18;0.007569;0.03914;0.03068;0.007623;0.03888;0.03068;0.007667;0.034767;0.03068;0.007569;0.031497;0.03068;0.007569;0.038092;0.03068;0.007569;0.034792;0.03068;0.0071;0.028985;0.03068
19;0.008283;0.037227;0.03068;0.008458;0.035758;0.03068;0.008528;0.039285;0.03068;0.007973;0.035362;0.03068;0.008006;0.03819;0.03068;0.00768;0.039084;0.03068;0.007569;0.031526;0.03068
20;0.008721;0.033575;0.03068;0.008628;0.032291;0.030593;0.008432;0.037312;0.03068;0.008721;0.039111;0.03068;0.008721;0.035334;0.03068;0.008579;0.037816;0.03068;0.007619;0.034964;0.03068
21;0.007243;0.030102;0.029943;0.00663;0.029155;0.029629;0.006309;0.034119;0.03068;0.008276;0.037895;0.03068;0.008032;0.032372;0.03068;0.008721;0.035048;0.03068;0.008556;0.03901;0.03068
22;0.004817;0.02728;0.029555;0.00432;0.026578;0.029134;0.004244;0.031159;0.03068;0.005906;0.035483;0.03068;0.005742;0.029699;0.030352;0.006729;0.032242;0.03068;0.008721;0.038519;0.03068
23;0.002618;0.026139;0.028436;0.00222;0.026139;0.028411;0.00235;0.02844;0.02981;0.003933;0.032787;0.03068;0.003698;0.027309;0.029637;0.004781;0.02974;0.03063;0.007821;0.036539;0.03068
24;0.001148;0.026139;0.027911;0.000992;0.026141;0.027407;0.001071;0.026304;0.029617;0.002074;0.030431;0.03068;0.001791;0.026145;0.029345;0.002909;0.0276;0.029683;0.005843;0.033844;0.03068
25;0.000992;0.026463;0.02725;0.000992;0.026993;0.026691;0.000992;0.026139;0.028548;0.000992;0.028233;0.030394;0.000992;0.026139;0.028461;0.001281;0.026186;0.029617;0.00408;0.031987;0.03068
26;0.001054;0.028247;0.026311;0.001257;0.028799;0.025912;0.001003;0.026139;0.028436;0.000992;0.026377;0.029617;0.000992;0.026139;0.028069;0.000992;0.026139;0.028668;0.002336;0.030146;0.03068
27;0.002177;0.030063;0.025728;0.002612;0.030832;0.024852;0.002076;0.026237;0.027336;0.000992;0.026139;0.029513;0.001237;0.027524;0.027264;0.000992;0.026139;0.028436;0.001094;0.028258;0.030126
