Applies to ,Component,Formula,Dataset name,Location,Source
All,Glider,``glider base mass`` / ``lifetime kilometers``,"market for glider, passenger car",GLO,ecoinvent cutoff 3.6
All,Glider light-weighting,(``glider base mass`` x ``lightweighting``) / ``lifetime kilometers``,ligthweighting,GLO,PSI
All,Maintenance,``curb mass`` / 1600 / 150000,"maintenance, passenger car",RER,ecoinvent cutoff 3.6
BEV/FCEV/HEV/PHEV,Dismantling of electric car,``curb mass`` x (1 - ``combustion power share``) / 1180 / ``lifetime kilometers``,market for manual dismantling of used electric passenger car,GLO,ecoinvent cutoff 3.6
ICEV/HEV/PHEV,Dismantling of internal combustion engine car,``curb mass`` x ``combustion power share`` / 1600 / ``lifetime kilometers``,market for manual dismantling of used passenger car with internal combustion engine,GLO,ecoinvent cutoff 3.6
BEV/FCEV/PHEV,Battery charger,``charger mass`` / ``lifetime kilometers``,"market for charger, electric passenger car",GLO,ecoinvent cutoff 3.6
BEV/FCEV/PHEV,Converter,``converter mass`` / ``lifetime kilometers``,"market for converter, for electric passenger car",GLO,ecoinvent cutoff 3.6
BEV/FCEV/PHEV,Electric motor,``electric engine mass`` / ``lifetime kilometers``,"market for electric motor, electric passenger car",GLO,ecoinvent cutoff 3.6
BEV/FCEV/PHEV,Inverter,``inverter mass`` / ``lifetime kilometers``,"market for inverter, for electric passenger car",GLO,ecoinvent cutoff 3.6
BEV/FCEV/PHEV,Power distribution unit,``power distribution unit mass`` / ``lifetime kilometers``,"market for power distribution unit, for electric passenger car",GLO,ecoinvent cutoff 3.6
BEV/FCEV/PHEV,Dismantling of electric powertrain,(``charger mass`` + ``converter mass`` + ``inverter mass`` + ``power distribution unit mass`` + ``electric engine mass`` + ``fuel cell stack mass`` + ``fuel cell ancillary BoP mass`` + ``fuel cell essential BoP mass`` + ``battery cell mass`` + ``battery BoP mass``) / ``lifetime kilometers``,"market for used powertrain from electric passenger car, manual dismantling",GLO,ecoinvent cutoff 3.6
ICEV/HEV/PHEV,Internal combustion engine,(``combustion engine mass`` +`` powertrain mass``) / ``lifetime kilometers``,"market for internal combustion engine, passenger car",GLO,ecoinvent cutoff 3.6
FCEV,"Fuel cell stack, ancillary BoP",``fuel cell ancillary BoP mass`` / ``lifetime kilometers``,Ancillary BoP,GLO,Evangelisti et al. 2017. Journal of Cleaner Production 142. DOI: 10.1016/j.jclepro.2016.11.159
FCEV,"Fuel cell stack, essential BoP",``fuel cell essential BoP mass`` / ``lifetime kilometers``,Essential BoP,GLO,Evangelisti et al. 2017. Journal of Cleaner Production 142. DOI: 10.1016/j.jclepro.2016.11.159
FCEV,Fuel cell stack,``fuel cell stack mass`` / ``lifetime kilometers``,Stack,GLO,Evangelisti et al. 2017. Journal of Cleaner Production 142. DOI: 10.1016/j.jclepro.2016.11.159
BEV/FCEV/HEV/PHEV,Energy battery BoP,(``battery BoP mass`` x (1 + ``battery lifetime replacements``)) / ``lifetime kilometers``,Battery BoP,GLO,Schmidt et al. 2019. Environ. Sci. Technol. 53. DOI: 10.1021/acs.est.8b05313
BEV/FCEV/HEV/PHEV,Energy battery cell,(``battery cell mass`` x (1 + ``battery lifetime replacements``)) / ``lifetime kilometers``,Battery cell NMC/LFP/NCA,GLO,Schmidt et al. 2019. Environ. Sci. Technol. 53. DOI: 10.1021/acs.est.8b05313
ICEV-d/-p,Fuel tank,``fuel tank mass`` / ``lifetime kilometers``,"polyethylene production, high density, granulate",RER,ecoinvent cutoff 3.6
ICEV-g,Fuel tank,``fuel tank mass`` / ``lifetime kilometers``,"glass fibre reinforced plastic production, polyamide, injection moulded",RER,ecoinvent cutoff 3.6
FCEV,Fuel tank,``fuel tank mass`` / ``lifetime kilometers``,"Fuel tank, compressed hydrogen gas, 700 bar",GLO,Evangelisti et al. 2017. Journal of Cleaner Production 142. DOI: 10.1016/j.jclepro.2016.11.159
FCEV,Hydrogen supply,``fuel mass`` / ``range``,"Hydrogen, gaseous, 700 bar, from electrolysis/SMR NG w CCS/SMR NG wo CCS, at H2 fuelling station",RER,
ICEV-g,Compressed gas supply,``fuel mass`` / ``range``,"market for natural gas, from high pressure network/biogas/methane, from electrochemical methanation",GLO/RER,ecoinvent cutoff 3.6/PSI
ICEV-d,Diesel supply,``fuel mass`` / ``range``,market for diesel/biodiesel/synthetic diesel,RER,ecoinvent cutoff 3.6/PSI
ICEV-p,Gasoline supply,``fuel mass`` / ``range``,"market for petrol, low-sulfur/bioethanol/synthetic gasoline",RER/PSI,ecoinvent cutoff 3.6/PSI
All,Road wear emissions,``driving mass`` x 1e-08,"market for road wear emissions, passenger car",GLO,ecoinvent cutoff 3.6
All,Tyre wear emissions,``driving mass`` x 6e-08,"market for brake wear emissions, passenger cars",GLO,ecoinvent cutoff 3.6
All,Road,``driving mass`` x 5.37e-7,market for road,GLO,ecoinvent cutoff 3.6
ICEV/HEV/PHEV,CO2 emissions,(``CO2 per kg fuel`` x ``fuel mass``) / ``range``,,,
ICEV/HEV/PHEV,Hot pollutants,,,,
All,Noise,,,,
