Applies to,Fuel type,Description,Source
ICEV-p,"Gasoline, low-sulfur","Regular gasoline, from the refining of crude oil.",ecoinvent cutoff 3.6
ICEV-p,Bioethanol - wheat straw,Second generation bioethanol.,Francesco Cozzolini. 2018. PSI.
ICEV-p,Bioethanol - forest residues,Second generation bioethanol.,Francesco Cozzolini. 2018. PSI.
ICEV-p,Bioethanol - sugarbeet,First generation bioethanol.,Francesco Cozzolini. 2018. PSI.
ICEV-p,Bioethanol - maize starch,First generation bioethanol.,Francesco Cozzolini. 2018. PSI.
ICEV-p,Synthetic,Based on a methanol-to-gasoline process.,Hank et al. 2019. Sustainable Energy and Fuels. DOI: 10.1039/c9se00658c
ICEV-d,Diesel,"Regular diesel, from the refining of crude oil.",ecoinvent cutoff 3.6
ICEV-d,Biodiesel - algae,Third generation biofuel from micro-algae.,Francesco Cozzolini. 2018. PSI.
ICEV-d,Biodiesel - cooking oil,Second generation bioduesel from used cooking oil.,Francesco Cozzolini. 2018. PSI.
ICEV-d,Synthetic,Based on a Fischer-Tropsch process.,van der Giesen et al. 2014.
ICEV-g,Compressed natural gas,High pressure.,ecoinvent cutoff 3.6
ICEV-g,Biogas,"From sewage sludge, by amine scrubbing.",Zhang et al. 2019. Sustainable Energy and Fuels. DOI: 10.1039/C9SE00986H
ICEV-g,Synthetic,"From electromethanation, with carbon from atmosphere CO2 capture.",Zhang et al. 2019. Sustainable Energy and Fuels. DOI: 10.1039/C9SE00986H
FCEV,Hydrogen - electrolysis,,Antonini et al. 2020. Sustainable Energy and Fuels. DOI: 10.1039/D0SE00222D
FCEV,Hydrogen - from SMR,By Steam Methane Reforming of natural gas.,Antonini et al. 2020. Sustainable Energy and Fuels. DOI: 10.1039/D0SE00222D
FCEV,Hydrogen - from SMR,By Steam Methane Reforming of biomass gas.,Antonini et al. 2020. Sustainable Energy and Fuels. DOI: 10.1039/D0SE00222D
FCEV,Hydrogen - from SMR with CCS,"By Steam Methane Reforming of natural gas with carbon capture and storage.",Antonini et al. 2020. Sustainable Energy and Fuels. DOI: 10.1039/D0SE00222D
FCEV,Hydrogen - from SMR with CCS,"By Steam Methane Reforming of biomass gas with carbon capture and storage.",Antonini et al. 2020. Sustainable Energy and Fuels. DOI: 10.1039/D0SE00222D
